time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (C. Paul gains possession)
11:44.0,C. Paul misses 2-pt shot from 5 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by D. Green
11:36.0,,,0-0,,H. Barnes misses 2-pt shot from 11 ft
11:35.0,Defensive rebound by D. Jordan,,0-0,,
11:13.0,B. Griffin misses 2-pt shot from 9 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by A. Bogut
10:58.0,,,0-2,2,D. Green makes 2-pt shot from 14 ft (assist by A. Bogut)
10:46.0,J. Redick makes 2-pt shot from 11 ft,2,2-2,,
10:46.0,Shooting foul by K. Thompson (drawn by J. Redick),,2-2,,
10:46.0,J. Redick makes free throw 1 of 1,1,3-2,,
10:28.0,,,3-2,,S. Curry misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by J. Redick,,3-2,,
10:23.0,,,3-2,,Personal foul by S. Curry (drawn by J. Redick)
10:17.0,Turnover by J. Redick (bad pass; steal by D. Green),,3-2,,
10:01.0,,,3-2,,Turnover by D. Green (lost ball; steal by C. Paul)
9:55.0,C. Paul misses 2-pt shot from 1 ft,,3-2,,
9:54.0,,,3-2,,Defensive rebound by A. Bogut
9:36.0,,,3-5,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green)
9:19.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,5-5,,
9:10.0,,,5-5,,Turnover by S. Curry (bad pass; steal by C. Paul)
9:06.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,7-5,,
8:49.0,,,7-7,2,A. Bogut makes 2-pt shot at rim (assist by H. Barnes)
8:27.0,J. Redick misses 2-pt shot from 11 ft (block by K. Thompson),,7-7,,
8:25.0,,,7-7,,Defensive rebound by A. Bogut
8:17.0,,,7-7,,Turnover by S. Curry (bad pass; steal by D. Jordan)
8:11.0,J. Redick misses 3-pt shot from 24 ft,,7-7,,
8:09.0,,,7-7,,Defensive rebound by K. Thompson
7:58.0,,,7-7,,K. Thompson misses 2-pt shot from 7 ft (block by D. Jordan)
7:57.0,Defensive rebound by C. Paul,,7-7,,
7:52.0,B. Griffin misses 2-pt shot from 10 ft,,7-7,,
7:50.0,,,7-7,,Defensive rebound by A. Bogut
7:43.0,,,7-7,,S. Curry misses 2-pt shot from 3 ft
7:41.0,Defensive rebound by M. Barnes,,7-7,,
7:26.0,C. Paul misses 2-pt shot from 13 ft,,7-7,,
7:25.0,,,7-7,,Defensive rebound by A. Bogut
7:11.0,,,7-7,,Turnover by A. Bogut (bad pass)
6:50.0,M. Barnes misses 3-pt shot from 25 ft,,7-7,,
6:48.0,Offensive rebound by D. Jordan,,7-7,,
6:48.0,Shooting foul by K. Thompson (drawn by D. Jordan),,7-7,,
6:48.0,D. Jordan makes free throw 1 of 2,1,8-7,,
6:48.0,,,8-7,,L. Barbosa enters the game for K. Thompson
6:48.0,D. Jordan makes free throw 2 of 2,1,9-7,,
6:40.0,,,9-7,,L. Barbosa misses 2-pt shot from 8 ft
6:39.0,Defensive rebound by D. Jordan,,9-7,,
6:31.0,B. Griffin misses 2-pt shot from 19 ft,,9-7,,
6:30.0,,,9-7,,Defensive rebound by A. Bogut
6:19.0,,,9-10,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut)
6:15.0,Turnover by B. Griffin (bad pass; steal by S. Curry),,9-10,,
6:11.0,,,9-12,2,S. Curry makes 2-pt shot from 2 ft
6:00.0,B. Griffin misses 2-pt shot from 18 ft,,9-12,,
5:59.0,,,9-12,,Defensive rebound by A. Bogut
5:53.0,,,9-12,,Golden State full timeout
5:39.0,,,9-14,2,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Green)
5:13.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,11-14,,
4:53.0,,,11-17,3,D. Green makes 3-pt shot from 25 ft (assist by L. Barbosa)
4:34.0,B. Griffin misses 2-pt shot from 8 ft,,11-17,,
4:32.0,,,11-17,,Defensive rebound by S. Curry
4:26.0,,,11-19,2,S. Curry makes 2-pt shot at rim
4:02.0,D. Jordan misses 2-pt shot from 5 ft,,11-19,,
4:00.0,,,11-19,,Defensive rebound by D. Green
3:50.0,,,11-19,,S. Curry misses 2-pt shot from 6 ft
3:49.0,,,11-19,,Offensive rebound by A. Bogut
3:49.0,,,11-21,2,A. Bogut makes 2-pt shot from 1 ft
3:36.0,LA Clippers full timeout,,11-21,,
3:36.0,J. Crawford enters the game for J. Redick,,11-21,,
3:36.0,,,11-21,,D. Lee enters the game for H. Barnes
3:36.0,,,11-21,,A. Iguodala enters the game for D. Green
3:21.0,B. Griffin makes 2-pt shot from 1 ft,2,13-21,,
3:01.0,,,13-21,,L. Barbosa misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by D. Jordan,,13-21,,
2:38.0,J. Crawford makes 2-pt shot from 13 ft (assist by C. Paul),2,15-21,,
2:19.0,,,15-23,2,L. Barbosa makes 2-pt shot from 17 ft (assist by A. Bogut)
2:00.0,B. Griffin misses 2-pt shot from 20 ft,,15-23,,
1:59.0,,,15-23,,Defensive rebound by A. Bogut
1:54.0,,,15-23,,D. Lee misses 2-pt shot from 3 ft
1:52.0,Defensive rebound by J. Crawford,,15-23,,
1:48.0,,,15-23,,Personal foul by L. Barbosa (drawn by J. Crawford)
1:48.0,S. Hawes enters the game for D. Jordan,,15-23,,
1:48.0,R. Bullock enters the game for M. Barnes,,15-23,,
