time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. P. Gasol (A. Stoudemire gains possession),,,,Jump ball: C. Aldrich vs. P. Gasol (A. Stoudemire gains possession)
11:44.0,Turnover by A. Stoudemire (bad pass),,0-0,,
11:37.0,,,0-2,2,P. Gasol makes 2-pt shot at rim (assist by J. Butler)
11:20.0,T. Wear makes 2-pt shot from 9 ft,2,2-2,,
10:58.0,,,2-2,,J. Noah misses 2-pt shot from 2 ft (block by A. Stoudemire)
10:58.0,,,2-2,,Offensive rebound by Team
10:54.0,,,2-2,,P. Gasol misses 2-pt shot from 1 ft (block by A. Stoudemire)
10:53.0,,,2-2,,Offensive rebound by J. Noah
10:53.0,,,2-2,,J. Noah misses 2-pt shot from 3 ft
10:53.0,,,2-2,,Offensive rebound by Team
10:53.0,,,2-2,,Turnover by Team (shot clock)
10:31.0,T. Hardaway misses 3-pt shot from 24 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by J. Noah
10:16.0,,,2-2,,Turnover by K. Hinrich (bad pass; steal by C. Aldrich)
10:08.0,T. Wear makes 2-pt shot from 22 ft (assist by J. Calderon),2,4-2,,
9:50.0,,,4-2,,K. Hinrich misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by C. Aldrich,,4-2,,
9:43.0,T. Hardaway misses 2-pt shot from 2 ft (block by J. Butler),,4-2,,
9:42.0,Offensive rebound by Team,,4-2,,
9:29.0,T. Hardaway misses 2-pt shot from 16 ft,,4-2,,
9:28.0,,,4-2,,Defensive rebound by P. Gasol
9:26.0,Personal foul by T. Wear (drawn by P. Gasol),,4-2,,
9:11.0,Violation by A. Stoudemire (def goaltending),,4-2,,
9:11.0,,,4-4,2,P. Gasol makes 2-pt shot from 7 ft
8:54.0,C. Aldrich makes 2-pt shot from 10 ft,2,6-4,,
8:40.0,,,6-7,3,J. Butler makes 3-pt shot from 24 ft (assist by P. Gasol)
8:16.0,A. Stoudemire misses 2-pt shot from 11 ft,,6-7,,
8:15.0,,,6-7,,Defensive rebound by P. Gasol
8:00.0,,,6-9,2,J. Butler makes 2-pt shot from 17 ft
7:43.0,Turnover by A. Stoudemire (lost ball),,6-9,,
7:31.0,,,6-9,,Turnover by J. Noah (lost ball; steal by A. Stoudemire)
7:20.0,Shooting foul by K. Hinrich (drawn by J. Calderon),,6-9,,
7:20.0,J. Calderon makes free throw 1 of 2,1,7-9,,
7:20.0,J. Calderon makes free throw 2 of 2,1,8-9,,
7:10.0,Personal foul by T. Hardaway (drawn by J. Butler),,8-9,,
7:02.0,,,8-9,,M. Dunleavy misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by A. Stoudemire,,8-9,,
6:56.0,T. Wear misses 2-pt shot from 21 ft,,8-9,,
6:55.0,,,8-9,,Defensive rebound by J. Noah
6:44.0,,,8-11,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler)
6:25.0,Turnover by T. Hardaway (bad pass; steal by J. Butler),,8-11,,
6:21.0,,,8-11,,K. Hinrich misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by Team,,8-11,,
6:03.0,J. Calderon misses 2-pt shot from 11 ft,,8-11,,
6:03.0,Offensive rebound by Team,,8-11,,
6:03.0,,,8-11,,Loose ball foul by M. Dunleavy (drawn by C. Aldrich)
5:57.0,A. Stoudemire makes 2-pt shot from 4 ft (assist by C. Aldrich),2,10-11,,
5:57.0,Shooting foul by J. Noah (drawn by A. Stoudemire),,10-11,,
5:57.0,,,10-11,,Chicago full timeout
5:57.0,S. Dalembert enters the game for C. Aldrich,,10-11,,
5:57.0,A. Stoudemire misses free throw 1 of 1,,10-11,,
5:56.0,Offensive rebound by Team,,10-11,,
5:56.0,New York full timeout,,10-11,,
5:41.0,A. Stoudemire misses 2-pt shot from 4 ft,,10-11,,
5:40.0,,,10-11,,Defensive rebound by Team
5:23.0,,,10-11,,Shooting foul by S. Dalembert (drawn by J. Noah)
5:23.0,,,10-11,,J. Noah misses free throw 1 of 2
5:23.0,,,10-11,,Offensive rebound by Team
5:23.0,,,10-11,,J. Noah misses free throw 2 of 2
5:22.0,Defensive rebound by S. Dalembert,,10-11,,
5:08.0,,,10-11,,Personal foul by J. Noah (drawn by A. Stoudemire)
5:08.0,,,10-11,,N. Mirotic enters the game for J. Noah
5:03.0,S. Dalembert misses 2-pt shot from 8 ft (block by P. Gasol),,10-11,,
5:01.0,,,10-11,,Defensive rebound by N. Mirotic
4:49.0,,,10-13,2,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler)
4:28.0,T. Hardaway makes 3-pt shot from 23 ft (assist by A. Stoudemire),3,13-13,,
4:12.0,,,13-13,,P. Gasol misses 2-pt shot from 19 ft
4:11.0,Defensive rebound by T. Wear,,13-13,,
3:59.0,Turnover by T. Hardaway (bad pass; steal by N. Mirotic),,13-13,,
3:56.0,,,13-15,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by N. Mirotic)
3:34.0,T. Hardaway makes 2-pt shot from 1 ft,2,15-15,,
3:14.0,,,15-18,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by N. Mirotic)
2:49.0,T. Wear makes 2-pt shot from 18 ft,2,17-18,,
2:37.0,,,17-21,3,J. Butler makes 3-pt shot from 24 ft (assist by N. Mirotic)
2:24.0,A. Stoudemire misses 2-pt shot from 3 ft (block by P. Gasol),,17-21,,
2:24.0,Offensive rebound by Team,,17-21,,
2:24.0,New York full timeout,,17-21,,
2:24.0,,,17-21,,T. Snell enters the game for M. Dunleavy
2:24.0,,,17-21,,A. Brooks enters the game for K. Hinrich
2:24.0,S. Larkin enters the game for J. Calderon,,17-21,,
2:24.0,J. Smith enters the game for A. Stoudemire,,17-21,,
2:24.0,P. Prigioni enters the game for T. Hardaway,,17-21,,
2:23.0,,,17-21,,Personal foul by T. Snell (drawn by S. Larkin)
2:23.0,S. Larkin misses free throw 1 of 2,,17-21,,
2:23.0,Offensive rebound by Team,,17-21,,
2:23.0,S. Larkin makes free throw 2 of 2,1,18-21,,
2:03.0,,,18-24,3,A. Brooks makes 3-pt shot from 24 ft (assist by J. Butler)
1:49.0,Turnover by J. Smith (lost ball; steal by N. Mirotic),,18-24,,
1:48.0,Personal foul by S. Dalembert (drawn by N. Mirotic),,18-24,,
1:41.0,,,18-24,,Turnover by T. Snell (bad pass; steal by P. Prigioni)
1:28.0,S. Dalembert makes 2-pt shot from 11 ft (assist by J. Smith),2,20-24,,
1:10.0,Personal foul by T. Wear (drawn by J. Butler),,20-24,,
1:10.0,,,20-25,1,J. Butler makes free throw 1 of 2
1:10.0,T. Hardaway enters the game for T. Wear,,20-25,,
1:10.0,,,20-26,1,J. Butler makes free throw 2 of 2
0:51.0,T. Hardaway misses 2-pt shot from 20 ft,,20-26,,
0:50.0,,,20-26,,Defensive rebound by A. Brooks
0:43.0,,,20-28,2,N. Mirotic makes 2-pt shot from 16 ft (assist by A. Brooks)
0:29.0,P. Prigioni misses 2-pt shot from 2 ft,,20-28,,
0:28.0,,,20-28,,Defensive rebound by J. Butler
0:24.0,,,20-30,2,J. Butler makes 2-pt shot from 18 ft
0:02.0,S. Larkin misses 2-pt shot from 15 ft,,20-30,,
0:01.0,Offensive rebound by S. Dalembert,,20-30,,
0:00.0,S. Dalembert misses 2-pt shot from 10 ft,,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,20-30,,J. Noah misses 2-pt shot from 2 ft
11:36.0,,,20-30,,Offensive rebound by Team
11:36.0,,,20-30,,Turnover by Team (shot clock)
11:24.0,Shooting foul by T. Snell (drawn by Q. Acy),,20-30,,
11:24.0,Q. Acy makes free throw 1 of 2,1,21-30,,
11:24.0,Q. Acy makes free throw 2 of 2,1,22-30,,
11:04.0,,,22-33,3,J. Butler makes 3-pt shot from 25 ft (assist by J. Noah)
10:47.0,S. Larkin makes 2-pt shot from 15 ft,2,24-33,,
10:38.0,,,24-35,2,A. Brooks makes 2-pt shot from 14 ft
10:19.0,C. Aldrich makes 2-pt shot from 7 ft,2,26-35,,
10:05.0,,,26-35,,N. Mirotic misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by P. Prigioni,,26-35,,
9:44.0,C. Aldrich misses 2-pt shot from 10 ft,,26-35,,
