time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Kaman (N. Batum gains possession),,,,Jump ball: M. Gasol vs. C. Kaman (N. Batum gains possession)
11:36.0,C. Kaman misses 2-pt shot from 6 ft,,0-0,,
11:34.0,Offensive rebound by L. Aldridge,,0-0,,
11:30.0,C. Kaman misses 2-pt shot from 2 ft (block by M. Gasol),,0-0,,
11:30.0,Offensive rebound by Team,,0-0,,
11:27.0,L. Aldridge misses 2-pt shot from 22 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by M. Gasol
11:12.0,,,0-2,2,M. Gasol makes 2-pt shot from 20 ft (assist by C. Lee)
10:50.0,L. Aldridge misses 2-pt shot from 14 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by M. Gasol
10:44.0,,,0-2,,Turnover by T. Allen (lost ball; steal by D. Lillard)
10:38.0,D. Lillard misses 2-pt shot from 12 ft,,0-2,,
10:35.0,Offensive rebound by C. Kaman,,0-2,,
10:35.0,C. Kaman makes 2-pt shot from 4 ft,2,2-2,,
10:20.0,,,2-4,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
9:57.0,W. Matthews makes 3-pt shot from 25 ft (assist by N. Batum),3,5-4,,
9:40.0,Personal foul by C. Kaman (drawn by M. Gasol),,5-4,,
9:33.0,,,5-4,,Turnover by B. Udrih (bad pass; steal by N. Batum)
9:16.0,D. Lillard misses 2-pt shot from 18 ft,,5-4,,
9:15.0,,,5-4,,Defensive rebound by Z. Randolph
9:06.0,,,5-6,2,Z. Randolph makes 2-pt shot from 14 ft (assist by C. Lee)
8:46.0,,,5-6,,Personal foul by C. Lee (drawn by C. Kaman)
8:33.0,N. Batum misses 2-pt shot from 16 ft,,5-6,,
8:32.0,,,5-6,,Defensive rebound by Z. Randolph
8:11.0,,,5-8,2,M. Gasol makes 2-pt shot from 8 ft
7:53.0,D. Lillard misses 3-pt shot from 25 ft,,5-8,,
7:52.0,,,5-8,,Defensive rebound by Team
7:33.0,,,5-8,,M. Gasol misses 2-pt shot from 9 ft
7:32.0,Defensive rebound by W. Matthews,,5-8,,
7:26.0,W. Matthews makes 2-pt shot from 8 ft,2,7-8,,
7:12.0,,,7-8,,Shooting foul by D. Lillard (drawn by B. Udrih)
7:12.0,,,7-8,,B. Udrih misses free throw 1 of 2
7:12.0,,,7-8,,Offensive rebound by Team
7:12.0,,,7-9,1,B. Udrih makes free throw 2 of 2
6:51.0,Shooting foul by M. Gasol (drawn by L. Aldridge),,7-9,,
6:51.0,L. Aldridge makes free throw 1 of 2,1,8-9,,
