time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. N. Vucevic (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. N. Vucevic (S. Larkin gains possession)
11:43.0,,,0-0,,I. Shumpert misses 2-pt shot from 8 ft
11:42.0,,,0-0,,Offensive rebound by Q. Acy
11:23.0,,,0-2,2,C. Anthony makes 2-pt shot from 23 ft (assist by S. Larkin)
10:59.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,3-2,,
10:45.0,,,3-2,,S. Dalembert misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by T. Harris,,3-2,,
10:21.0,Shooting foul by I. Shumpert (drawn by E. Fournier),,3-2,,
10:21.0,E. Fournier makes free throw 1 of 2,1,4-2,,
10:21.0,E. Fournier makes free throw 2 of 2,1,5-2,,
10:02.0,,,5-4,2,I. Shumpert makes 2-pt shot at rim (assist by S. Dalembert)
9:36.0,N. Vucevic misses 2-pt shot from 4 ft (block by S. Dalembert),,5-4,,
9:35.0,,,5-4,,Defensive rebound by Q. Acy
9:29.0,,,5-6,2,I. Shumpert makes 2-pt shot from 14 ft
9:27.0,,,5-6,,Violation by Team (delay of game)
9:20.0,,,5-6,,Personal foul by S. Larkin (drawn by C. Frye)
9:08.0,N. Vucevic makes 2-pt shot from 17 ft (assist by T. Harris),2,7-6,,
8:51.0,,,7-6,,I. Shumpert misses 2-pt shot from 18 ft
8:50.0,,,7-6,,Offensive rebound by Q. Acy
8:39.0,Personal foul by T. Harris (drawn by C. Anthony),,7-6,,
8:34.0,,,7-8,2,S. Larkin makes 2-pt shot from 19 ft (assist by Q. Acy)
8:24.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,9-8,,
8:15.0,Personal foul by E. Fournier (drawn by I. Shumpert),,9-8,,
8:09.0,,,9-8,,Shooting foul by E. Payton (drawn by S. Larkin)
8:09.0,,,9-9,1,S. Larkin makes free throw 1 of 2
8:09.0,,,9-10,1,S. Larkin makes free throw 2 of 2
7:52.0,T. Harris misses 2-pt shot from 13 ft,,9-10,,
7:51.0,Offensive rebound by N. Vucevic,,9-10,,
7:48.0,E. Fournier misses 3-pt shot from 26 ft,,9-10,,
7:47.0,,,9-10,,Defensive rebound by Q. Acy
7:30.0,,,9-10,,Turnover by Q. Acy (bad pass; steal by E. Fournier)
7:26.0,Shooting foul by Q. Acy (drawn by E. Fournier),,9-10,,
7:26.0,E. Fournier makes free throw 1 of 2,1,10-10,,
7:26.0,E. Fournier misses free throw 2 of 2,,10-10,,
7:26.0,,,10-10,,Defensive rebound by I. Shumpert
7:07.0,,,10-12,2,Q. Acy makes 2-pt shot from 19 ft (assist by S. Dalembert)
6:51.0,Shooting foul by C. Anthony (drawn by T. Harris),,10-12,,
6:51.0,T. Harris misses free throw 1 of 2,,10-12,,
6:51.0,Offensive rebound by Team,,10-12,,
6:51.0,T. Harris makes free throw 2 of 2,1,11-12,,
6:33.0,,,11-12,,S. Larkin misses 2-pt shot from 7 ft
6:32.0,,,11-12,,Offensive rebound by S. Dalembert
6:27.0,,,11-12,,Turnover by Team (shot clock)
6:17.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,13-12,,
6:03.0,,,13-14,2,I. Shumpert makes 2-pt shot from 18 ft
5:53.0,E. Fournier makes 3-pt shot from 24 ft (assist by C. Frye),3,16-14,,
5:41.0,Def 3 sec tech foul by N. Vucevic,,16-14,,
5:41.0,,,16-14,,New York full timeout
5:41.0,,,16-15,1,C. Anthony makes technical free throw
5:38.0,Personal foul by T. Harris (drawn by C. Anthony),,16-15,,
5:38.0,A. Gordon enters the game for T. Harris,,16-15,,
5:31.0,,,16-15,,S. Larkin misses 2-pt shot from 12 ft
5:30.0,Defensive rebound by C. Frye,,16-15,,
5:11.0,Shooting foul by I. Shumpert (drawn by A. Gordon),,16-15,,
