time,Dallas,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. L. Sanders (J. Parker gains possession),,,,Jump ball: T. Chandler vs. L. Sanders (J. Parker gains possession)
11:46.0,,,0-0,,O. Mayo misses 2-pt shot from 5 ft
11:45.0,Defensive rebound by C. Parsons,,0-0,,
11:33.0,,,0-0,,Personal foul by B. Knight (drawn by M. Ellis)
11:22.0,J. Nelson misses 3-pt shot from 26 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:14.0,,,0-2,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:55.0,M. Ellis misses 3-pt shot from 27 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by Team
10:47.0,,,0-2,,B. Knight misses 2-pt shot from 6 ft
10:45.0,,,0-2,,Offensive rebound by J. Parker
10:36.0,,,0-2,,Turnover by J. Parker (lost ball; steal by J. Nelson)
10:30.0,Turnover by A. Aminu (bad pass; steal by B. Knight),,0-2,,
10:22.0,Shooting block foul by M. Ellis (drawn by J. Parker),,0-2,,
10:22.0,,,0-3,1,J. Parker makes free throw 1 of 2
10:22.0,,,0-4,1,J. Parker makes free throw 2 of 2
9:58.0,Turnover by Team (shot clock),,0-4,,
9:47.0,,,0-6,2,L. Sanders makes 2-pt shot at rim (assist by B. Knight)
9:45.0,Dallas full timeout,,0-6,,
9:28.0,A. Aminu makes 3-pt shot from 23 ft (assist by M. Ellis),3,3-6,,
9:11.0,,,3-8,2,O. Mayo makes 2-pt shot at rim
8:58.0,C. Parsons misses 3-pt shot from 23 ft,,3-8,,
8:58.0,Offensive rebound by Team,,3-8,,
8:52.0,Turnover by J. Nelson (bad pass; steal by B. Knight),,3-8,,
8:50.0,,,3-8,,Shooting foul by J. Nelson (drawn by G. Antetokounmpo)
8:50.0,,,3-8,,G. Antetokounmpo misses free throw 1 of 2
8:50.0,,,3-8,,Offensive rebound by Team
8:50.0,,,3-9,1,G. Antetokounmpo makes free throw 2 of 2
8:33.0,M. Ellis misses 2-pt shot from 15 ft,,3-9,,
8:32.0,Offensive rebound by C. Parsons,,3-9,,
8:32.0,A. Aminu makes 2-pt shot at rim (assist by C. Parsons),2,5-9,,
8:32.0,Shooting foul by G. Antetokounmpo (drawn by A. Aminu),,5-9,,
8:32.0,R. Jefferson enters the game for C. Parsons,,5-9,,
8:32.0,B. Wright enters the game for T. Chandler,,5-9,,
8:32.0,A. Aminu makes free throw 1 of 1,1,6-9,,
8:21.0,,,6-9,,Shooting foul by A. Aminu (drawn by B. Knight)
8:21.0,,,6-10,1,B. Knight makes free throw 1 of 2
8:21.0,,,6-11,1,B. Knight makes free throw 2 of 2
8:14.0,,,6-11,,Personal foul by O. Mayo (drawn by M. Ellis)
8:05.0,M. Ellis makes 2-pt shot from 6 ft,2,8-11,,
7:57.0,,,8-11,,Turnover by G. Antetokounmpo (traveling)
7:34.0,M. Ellis misses 2-pt shot from 16 ft,,8-11,,
7:33.0,,,8-11,,Defensive rebound by G. Antetokounmpo
7:22.0,,,8-14,3,O. Mayo makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
7:13.0,J. Nelson makes 2-pt shot from 8 ft,2,10-14,,
6:48.0,,,10-14,,O. Mayo misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by A. Aminu,,10-14,,
6:41.0,,,10-14,,Shooting block foul by L. Sanders (drawn by R. Jefferson)
6:41.0,R. Jefferson makes free throw 1 of 2,1,11-14,,
6:41.0,,,11-14,,Z. Pachulia enters the game for L. Sanders
6:41.0,R. Jefferson makes free throw 2 of 2,1,12-14,,
6:29.0,,,12-16,2,B. Knight makes 2-pt shot from 17 ft (assist by O. Mayo)
6:16.0,A. Aminu makes 3-pt shot from 25 ft (assist by J. Nelson),3,15-16,,
6:00.0,,,15-18,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
5:39.0,A. Aminu misses 3-pt shot from 23 ft,,15-18,,
5:37.0,,,15-18,,Defensive rebound by G. Antetokounmpo
5:30.0,,,15-21,3,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:18.0,B. Wright makes 2-pt shot at rim (assist by M. Ellis),2,17-21,,
