time,Minnesota,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. M. Gortat (K. Humphries gains possession),,,,Jump ball: G. Dieng vs. M. Gortat (K. Humphries gains possession)
11:43.0,,,0-0,,B. Beal misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by G. Dieng,,0-0,,
11:26.0,,,0-0,,Personal foul by B. Beal (drawn by A. Wiggins)
11:13.0,T. Young makes 2-pt shot from 19 ft,2,2-0,,
10:53.0,,,2-0,,M. Gortat misses 2-pt shot from 16 ft
10:52.0,Defensive rebound by C. Brewer,,2-0,,
10:49.0,Turnover by Z. LaVine (bad pass; steal by B. Beal),,2-0,,
10:43.0,,,2-2,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
10:24.0,G. Dieng misses 2-pt shot from 16 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by K. Humphries
10:17.0,,,2-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:54.0,C. Brewer misses 2-pt shot from 14 ft,,2-4,,
9:54.0,,,2-4,,Defensive rebound by K. Humphries
9:47.0,,,2-6,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:26.0,T. Young misses 2-pt shot from 18 ft,,2-6,,
9:25.0,,,2-6,,Defensive rebound by O. Porter
9:18.0,,,2-6,,K. Humphries misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by Z. LaVine,,2-6,,
9:06.0,T. Young misses 2-pt shot from 5 ft,,2-6,,
9:05.0,,,2-6,,Defensive rebound by O. Porter
8:57.0,,,2-6,,J. Wall misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by Team,,2-6,,
8:44.0,A. Wiggins misses 2-pt shot from 14 ft,,2-6,,
8:43.0,,,2-6,,Defensive rebound by O. Porter
8:36.0,,,2-9,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
8:34.0,Minnesota full timeout,,2-9,,
8:18.0,Z. LaVine misses 2-pt shot from 21 ft,,2-9,,
8:17.0,,,2-9,,Defensive rebound by K. Humphries
7:59.0,,,2-12,3,J. Wall makes 3-pt shot from 25 ft
7:33.0,A. Wiggins misses 2-pt shot from 6 ft,,2-12,,
7:32.0,,,2-12,,Defensive rebound by K. Humphries
7:28.0,Personal foul by A. Wiggins (drawn by O. Porter),,2-12,,
7:25.0,,,2-14,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
7:07.0,C. Brewer makes 2-pt shot at rim,2,4-14,,
6:59.0,Personal foul by C. Brewer (drawn by K. Humphries),,4-14,,
6:49.0,,,4-14,,B. Beal misses 2-pt shot from 4 ft (block by G. Dieng)
6:49.0,,,4-14,,Offensive rebound by Team
6:44.0,,,4-16,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:19.0,Shooting foul by M. Gortat (drawn by G. Dieng),,4-16,,
6:19.0,G. Dieng makes free throw 1 of 2,1,5-16,,
6:19.0,G. Dieng misses free throw 2 of 2,,5-16,,
6:18.0,,,5-16,,Defensive rebound by M. Gortat
6:00.0,,,5-16,,M. Gortat misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by C. Brewer,,5-16,,
5:50.0,A. Wiggins misses 2-pt shot from 5 ft,,5-16,,
5:49.0,,,5-16,,Defensive rebound by O. Porter
5:44.0,,,5-16,,Turnover by J. Wall (bad pass; steal by T. Young)
5:41.0,,,5-16,,Personal foul by O. Porter (drawn by T. Young)
5:41.0,S. Muhammad enters the game for A. Wiggins,,5-16,,
5:37.0,,,5-16,,Personal foul by O. Porter (drawn by S. Muhammad)
5:29.0,C. Brewer misses 2-pt shot from 20 ft,,5-16,,
5:28.0,,,5-16,,Defensive rebound by M. Gortat
5:18.0,,,5-18,2,J. Wall makes 2-pt shot from 17 ft
5:18.0,,,5-18,,Shooting foul by Z. LaVine (drawn by J. Wall)
5:18.0,,,5-18,,R. Butler enters the game for O. Porter
5:18.0,,,5-18,,J. Wall misses free throw 1 of 1
5:17.0,Defensive rebound by G. Dieng,,5-18,,
4:55.0,Z. LaVine makes 3-pt shot from 25 ft (assist by T. Young),3,8-18,,
4:38.0,,,8-18,,J. Wall misses 2-pt shot from 13 ft
4:36.0,Defensive rebound by T. Young,,8-18,,
4:22.0,T. Young misses 2-pt shot from 7 ft,,8-18,,
4:21.0,Offensive rebound by S. Muhammad,,8-18,,
4:18.0,S. Muhammad makes 2-pt shot from 6 ft,2,10-18,,
3:56.0,,,10-20,2,M. Gortat makes 2-pt shot from 4 ft
3:38.0,Z. LaVine misses 2-pt shot from 20 ft,,10-20,,
3:37.0,Offensive rebound by T. Young,,10-20,,
3:29.0,S. Muhammad misses 3-pt shot from 24 ft,,10-20,,
3:28.0,Offensive rebound by Team,,10-20,,
3:19.0,,,10-20,,Personal foul by K. Humphries (drawn by T. Young)
3:19.0,T. Young misses free throw 1 of 2,,10-20,,
3:19.0,Offensive rebound by Team,,10-20,,
3:19.0,T. Young misses free throw 2 of 2,,10-20,,
3:18.0,Offensive rebound by Team,,10-20,,
3:16.0,S. Muhammad makes 2-pt shot from 2 ft (assist by C. Brewer),2,12-20,,
3:04.0,,,12-20,,Washington full timeout
2:49.0,,,12-20,,B. Beal misses 2-pt shot from 18 ft
2:48.0,Defensive rebound by S. Muhammad,,12-20,,
2:45.0,Turnover by S. Muhammad (bad pass),,12-20,,
2:20.0,,,12-22,2,J. Wall makes 2-pt shot from 18 ft
2:00.0,T. Young misses 2-pt shot from 1 ft,,12-22,,
