time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. H. Whiteside (J. Noah gains possession),,,,Jump ball: P. Gasol vs. H. Whiteside (J. Noah gains possession)
11:47.0,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose),2,2-0,,
11:25.0,,,2-2,2,U. Haslem makes 2-pt shot from 14 ft (assist by L. Deng)
11:05.0,D. Rose misses 2-pt shot from 8 ft,,2-2,,
11:04.0,Offensive rebound by P. Gasol,,2-2,,
11:00.0,P. Gasol makes 2-pt shot from 14 ft,2,4-2,,
10:37.0,,,4-2,,L. Deng misses 2-pt shot from 18 ft
10:36.0,,,4-2,,Offensive rebound by H. Whiteside
10:35.0,,,4-4,2,H. Whiteside makes 2-pt shot at rim
10:22.0,M. Dunleavy misses 2-pt shot from 9 ft,,4-4,,
10:21.0,,,4-4,,Defensive rebound by L. Deng
10:04.0,,,4-6,2,H. Whiteside makes 2-pt shot from 11 ft
9:39.0,P. Gasol misses 2-pt shot from 18 ft,,4-6,,
9:38.0,,,4-6,,Defensive rebound by L. Deng
9:28.0,,,4-8,2,D. Wade makes 2-pt shot from 1 ft
9:21.0,D. Rose makes 2-pt shot from 16 ft,2,6-8,,
9:04.0,,,6-10,2,H. Whiteside makes 2-pt shot from 4 ft
8:47.0,D. Rose makes 2-pt shot at rim (assist by J. Noah),2,8-10,,
8:22.0,,,8-10,,U. Haslem misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by T. Snell,,8-10,,
8:13.0,D. Rose makes 2-pt shot from 15 ft,2,10-10,,
8:01.0,,,10-10,,G. Dragic misses 2-pt shot from 8 ft
8:00.0,Defensive rebound by P. Gasol,,10-10,,
7:44.0,P. Gasol misses 2-pt shot from 2 ft (block by U. Haslem),,10-10,,
7:43.0,Offensive rebound by Team,,10-10,,
7:40.0,D. Rose misses 2-pt shot from 16 ft,,10-10,,
7:39.0,,,10-10,,Defensive rebound by Team
7:23.0,,,10-10,,H. Whiteside misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by P. Gasol,,10-10,,
7:16.0,P. Gasol makes 2-pt shot from 1 ft,2,12-10,,
6:54.0,,,12-10,,G. Dragic misses 2-pt shot from 1 ft
6:53.0,,,12-10,,Offensive rebound by L. Deng
6:52.0,,,12-12,2,L. Deng makes 2-pt shot from 1 ft
6:32.0,P. Gasol makes 2-pt shot from 9 ft,2,14-12,,
6:10.0,,,14-12,,G. Dragic misses 2-pt shot from 13 ft
6:09.0,Defensive rebound by T. Snell,,14-12,,
5:58.0,J. Noah misses 2-pt shot from 4 ft,,14-12,,
5:57.0,,,14-12,,Defensive rebound by U. Haslem
5:49.0,,,14-12,,D. Wade misses 2-pt shot from 8 ft
5:48.0,Defensive rebound by J. Noah,,14-12,,
5:42.0,D. Rose misses 3-pt shot from 24 ft,,14-12,,
5:41.0,Offensive rebound by P. Gasol,,14-12,,
5:38.0,P. Gasol misses 2-pt shot at rim,,14-12,,
5:37.0,Offensive rebound by P. Gasol,,14-12,,
5:34.0,M. Dunleavy misses 3-pt shot from 24 ft,,14-12,,
5:33.0,Offensive rebound by J. Noah,,14-12,,
5:32.0,Turnover by J. Noah (lost ball; steal by L. Deng),,14-12,,
5:27.0,,,14-12,,Miami full timeout
5:27.0,,,14-12,,M. Chalmers enters the game for G. Dragic
5:18.0,,,14-12,,Turnover by D. Wade (bad pass; steal by M. Dunleavy)
5:03.0,J. Noah misses 2-pt shot from 18 ft,,14-12,,
5:02.0,,,14-12,,Defensive rebound by U. Haslem
4:54.0,,,14-12,,Turnover by D. Wade (bad pass)
4:54.0,A. Brooks enters the game for D. Rose,,14-12,,
4:54.0,T. Gibson enters the game for J. Noah,,14-12,,
4:34.0,A. Brooks makes 2-pt shot from 10 ft,2,16-12,,
4:14.0,,,16-12,,L. Deng misses 2-pt shot from 18 ft
4:13.0,,,16-12,,Offensive rebound by H. Whiteside
4:09.0,,,16-14,2,H. Whiteside makes 2-pt shot from 5 ft
3:39.0,T. Gibson misses 2-pt shot from 11 ft,,16-14,,
3:38.0,,,16-14,,Defensive rebound by U. Haslem
3:22.0,,,16-14,,U. Haslem misses 2-pt shot from 14 ft
3:21.0,Defensive rebound by M. Dunleavy,,16-14,,
3:07.0,A. Brooks makes 2-pt shot from 7 ft,2,18-14,,
2:53.0,,,18-14,,D. Wade misses 2-pt shot from 18 ft
2:52.0,Defensive rebound by P. Gasol,,18-14,,
2:42.0,P. Gasol misses 2-pt shot from 15 ft,,18-14,,
2:41.0,,,18-14,,Defensive rebound by D. Wade
2:18.0,,,18-14,,D. Wade misses 2-pt shot from 19 ft
2:17.0,Defensive rebound by P. Gasol,,18-14,,
2:14.0,M. Dunleavy misses 2-pt shot from 1 ft (block by L. Deng),,18-14,,
2:13.0,,,18-14,,Defensive rebound by M. Chalmers
2:08.0,,,18-14,,D. Wade misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by Team,,18-14,,
2:07.0,,,18-14,,Loose ball foul by H. Whiteside (drawn by P. Gasol)
2:07.0,Chicago full timeout,,18-14,,
2:07.0,,,18-14,,C. Andersen enters the game for L. Deng
2:07.0,,,18-14,,J. Ennis enters the game for H. Whiteside
2:07.0,,,18-14,,G. Dragic enters the game for D. Wade
1:58.0,M. Dunleavy misses 2-pt shot from 20 ft,,18-14,,
1:57.0,,,18-14,,Defensive rebound by C. Andersen
1:43.0,,,18-16,2,C. Andersen makes 2-pt shot from 13 ft (assist by G. Dragic)
1:16.0,P. Gasol misses 2-pt shot from 19 ft,,18-16,,
1:15.0,,,18-16,,Defensive rebound by M. Chalmers
1:06.0,,,18-18,2,G. Dragic makes 2-pt shot from 1 ft
0:52.0,P. Gasol makes 2-pt shot from 13 ft,2,20-18,,
0:39.0,,,20-18,,M. Chalmers misses 2-pt shot from 6 ft
0:38.0,Defensive rebound by T. Gibson,,20-18,,
0:29.0,T. Snell misses 2-pt shot from 10 ft,,20-18,,
0:28.0,Offensive rebound by T. Snell,,20-18,,
0:28.0,,,20-18,,Personal foul by U. Haslem (drawn by T. Snell)
0:28.0,K. Hinrich enters the game for M. Dunleavy,,20-18,,
0:28.0,N. Mirotic enters the game for T. Snell,,20-18,,
0:12.0,P. Gasol misses 2-pt shot from 11 ft,,20-18,,
0:11.0,,,20-18,,Defensive rebound by C. Andersen
0:06.0,Personal foul by K. Hinrich (drawn by G. Dragic),,20-18,,
0:02.0,,,20-18,,M. Chalmers misses 3-pt shot from 25 ft
0:00.0,,,20-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-18,,G. Dragic misses 2-pt shot from 13 ft
11:44.0,,,20-18,,Offensive rebound by G. Dragic
11:35.0,,,20-20,2,M. Chalmers makes 2-pt shot from 15 ft
11:11.0,N. Mirotic misses 3-pt shot from 24 ft,,20-20,,
11:10.0,,,20-20,,Defensive rebound by M. Chalmers
11:06.0,,,20-22,2,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers)
10:37.0,T. Gibson makes 2-pt shot from 4 ft,2,22-22,,
10:20.0,,,22-22,,Turnover by G. Dragic (bad pass; steal by N. Mirotic)
10:17.0,Shooting foul by J. Ennis (drawn by N. Mirotic),,22-22,,
10:17.0,N. Mirotic makes free throw 1 of 2,1,23-22,,
10:17.0,D. Rose enters the game for A. Brooks,,23-22,,
10:17.0,N. Mirotic makes free throw 2 of 2,1,24-22,,
10:05.0,,,24-22,,Turnover by J. Ennis (bad pass; steal by N. Mirotic)
10:01.0,Shooting foul by M. Chalmers (drawn by D. Rose),,24-22,,
10:01.0,D. Rose makes free throw 1 of 2,1,25-22,,
10:01.0,D. Rose makes free throw 2 of 2,1,26-22,,
9:43.0,,,26-22,,C. Andersen misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by T. Gibson,,26-22,,
9:36.0,D. Rose misses 2-pt shot from 20 ft,,26-22,,
9:35.0,,,26-22,,Defensive rebound by M. Beasley
9:32.0,,,26-22,,Offensive charge foul by G. Dragic
9:32.0,,,26-22,,Turnover by G. Dragic (offensive foul)
9:20.0,J. Noah misses 2-pt shot from 1 ft (block by C. Andersen),,26-22,,
9:19.0,,,26-22,,Defensive rebound by M. Chalmers
9:13.0,,,26-24,2,G. Dragic makes 2-pt shot from 1 ft
8:58.0,Turnover by K. Hinrich (bad pass),,26-24,,
8:58.0,Official timeout,,26-24,,
8:44.0,,,26-24,,Turnover by J. Ennis (bad pass; steal by K. Hinrich)
8:31.0,T. Gibson misses 2-pt shot at rim,,26-24,,
8:28.0,Offensive rebound by D. Rose,,26-24,,
8:28.0,Turnover by K. Hinrich (bad pass),,26-24,,
8:11.0,,,26-26,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Beasley)
8:11.0,,,26-26,,Shooting foul by T. Gibson (drawn by J. Ennis)
8:11.0,,,26-26,,H. Whiteside enters the game for C. Andersen
8:11.0,,,26-27,1,J. Ennis makes free throw 1 of 1
8:00.0,Shooting foul by M. Beasley (drawn by J. Noah),,26-27,,
8:00.0,J. Noah misses free throw 1 of 2,,26-27,,
8:00.0,Offensive rebound by Team,,26-27,,
8:00.0,J. Noah makes free throw 2 of 2,1,27-27,,
7:44.0,,,27-29,2,G. Dragic makes 2-pt shot from 19 ft (assist by J. Ennis)
7:32.0,D. Rose misses 3-pt shot from 24 ft,,27-29,,
7:31.0,,,27-29,,Defensive rebound by J. Ennis
7:25.0,,,27-29,,G. Dragic misses 2-pt shot from 4 ft
7:24.0,Defensive rebound by T. Gibson,,27-29,,
7:13.0,K. Hinrich misses 2-pt shot from 18 ft (block by G. Dragic),,27-29,,
7:12.0,Offensive rebound by N. Mirotic,,27-29,,
7:05.0,D. Rose misses 2-pt shot from 15 ft,,27-29,,
7:04.0,,,27-29,,Defensive rebound by H. Whiteside
6:50.0,,,27-32,3,M. Beasley makes 3-pt shot from 23 ft (assist by M. Chalmers)
6:31.0,D. Rose misses 2-pt shot from 7 ft (block by H. Whiteside),,27-32,,
6:30.0,Offensive rebound by N. Mirotic,,27-32,,
6:30.0,Shooting foul by M. Beasley (drawn by N. Mirotic),,27-32,,
6:30.0,N. Mirotic makes free throw 1 of 2,1,28-32,,
6:30.0,,,28-32,,D. Wade enters the game for G. Dragic
6:30.0,N. Mirotic misses free throw 2 of 2,,28-32,,
6:29.0,Offensive rebound by N. Mirotic,,28-32,,
6:21.0,T. Gibson misses 2-pt shot from 2 ft,,28-32,,
6:20.0,,,28-32,,Defensive rebound by J. Ennis
5:57.0,,,28-34,2,D. Wade makes 2-pt shot from 11 ft
5:51.0,Turnover by D. Rose (lost ball),,28-34,,
5:51.0,,,28-34,,Miami full timeout
5:51.0,T. Snell enters the game for K. Hinrich,,28-34,,
5:51.0,,,28-34,,L. Deng enters the game for J. Ennis
5:37.0,,,28-36,2,M. Beasley makes 2-pt shot from 14 ft (assist by D. Wade)
5:18.0,N. Mirotic misses 3-pt shot from 24 ft,,28-36,,
5:17.0,Offensive rebound by Team,,28-36,,
5:08.0,T. Snell misses 3-pt shot from 24 ft,,28-36,,
5:07.0,Offensive rebound by Team,,28-36,,
5:07.0,,,28-36,,Loose ball foul by M. Chalmers (drawn by J. Noah)
5:07.0,J. Noah misses free throw 1 of 2,,28-36,,
5:07.0,Offensive rebound by Team,,28-36,,
5:07.0,J. Noah misses free throw 2 of 2,,28-36,,
5:05.0,Offensive rebound by T. Gibson,,28-36,,
5:00.0,Offensive foul by J. Noah,,28-36,,
5:00.0,Turnover by J. Noah (offensive foul),,28-36,,
5:00.0,P. Gasol enters the game for J. Noah,,28-36,,
4:50.0,,,28-39,3,M. Beasley makes 3-pt shot from 24 ft (assist by L. Deng)
4:34.0,T. Gibson makes 2-pt shot from 15 ft (assist by N. Mirotic),2,30-39,,
4:19.0,,,30-39,,D. Wade misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by D. Rose,,30-39,,
4:15.0,D. Rose misses 2-pt shot from 1 ft,,30-39,,
4:14.0,Offensive rebound by T. Gibson,,30-39,,
4:13.0,T. Gibson misses 2-pt shot at rim,,30-39,,
4:12.0,Offensive rebound by T. Gibson,,30-39,,
4:09.0,N. Mirotic misses 3-pt shot from 24 ft,,30-39,,
4:08.0,,,30-39,,Defensive rebound by L. Deng
4:01.0,,,30-39,,D. Wade misses 2-pt shot from 1 ft (block by T. Gibson)
4:00.0,,,30-39,,Offensive rebound by H. Whiteside
3:52.0,,,30-42,3,M. Beasley makes 3-pt shot from 23 ft (assist by L. Deng)
3:44.0,Chicago full timeout,,30-42,,
3:44.0,A. Brooks enters the game for D. Rose,,30-42,,
3:44.0,M. Dunleavy enters the game for N. Mirotic,,30-42,,
3:30.0,P. Gasol misses 2-pt shot from 14 ft,,30-42,,
3:29.0,,,30-42,,Defensive rebound by H. Whiteside
3:16.0,,,30-44,2,M. Beasley makes 2-pt shot from 13 ft
3:00.0,A. Brooks misses 2-pt shot from 1 ft,,30-44,,
2:58.0,Offensive rebound by Team,,30-44,,
