time,Memphis,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Hibbert (C. Miles gains possession),,,,Jump ball: M. Gasol vs. R. Hibbert (C. Miles gains possession)
11:38.0,,,0-0,,Turnover by L. Scola (lost ball; steal by T. Allen)
11:34.0,T. Allen misses 2-pt shot from 2 ft (block by C. Miles),,0-0,,
11:33.0,Offensive rebound by C. Lee,,0-0,,
11:32.0,Shooting foul by S. Hill (drawn by C. Lee),,0-0,,
11:32.0,C. Lee makes free throw 1 of 2,1,1-0,,
11:32.0,C. Lee makes free throw 2 of 2,1,2-0,,
11:13.0,,,2-0,,R. Hibbert misses 2-pt shot from 5 ft
11:12.0,Defensive rebound by M. Gasol,,2-0,,
10:59.0,M. Conley misses 2-pt shot from 11 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by L. Scola
10:40.0,,,2-2,2,C. Miles makes 2-pt shot from 17 ft
10:21.0,M. Gasol makes 2-pt shot from 14 ft (assist by Z. Randolph),2,4-2,,
10:02.0,,,4-2,,Turnover by L. Scola (bad pass)
9:47.0,M. Gasol makes 2-pt shot from 18 ft (assist by C. Lee),2,6-2,,
9:30.0,,,6-4,2,C. Miles makes 2-pt shot from 20 ft (assist by L. Scola)
9:17.0,C. Lee makes 2-pt shot from 18 ft,2,8-4,,
8:59.0,,,8-4,,Turnover by C. Miles (bad pass; steal by Z. Randolph)
8:54.0,M. Conley misses 2-pt shot from 1 ft,,8-4,,
8:53.0,,,8-4,,Defensive rebound by S. Hill
8:46.0,,,8-7,3,D. Sloan makes 3-pt shot from 23 ft (assist by C. Miles)
8:27.0,Z. Randolph misses 2-pt shot from 17 ft,,8-7,,
8:26.0,,,8-7,,Defensive rebound by R. Hibbert
8:08.0,,,8-7,,Turnover by L. Scola (bad pass)
7:48.0,Shooting foul by R. Hibbert (drawn by M. Gasol),,8-7,,
7:48.0,M. Gasol makes free throw 1 of 2,1,9-7,,
7:48.0,M. Gasol misses free throw 2 of 2,,9-7,,
7:48.0,,,9-7,,Defensive rebound by R. Hibbert
7:32.0,,,9-7,,Turnover by L. Scola (bad pass; steal by T. Allen)
7:19.0,Shooting foul by R. Hibbert (drawn by Z. Randolph),,9-7,,
7:19.0,Z. Randolph makes free throw 1 of 2,1,10-7,,
7:19.0,,,10-7,,I. Mahinmi enters the game for R. Hibbert
7:19.0,K. Koufos enters the game for M. Gasol,,10-7,,
7:19.0,Z. Randolph misses free throw 2 of 2,,10-7,,
7:19.0,,,10-7,,Defensive rebound by I. Mahinmi
7:03.0,,,10-7,,Turnover by C. Miles (bad pass)
6:48.0,M. Conley misses 3-pt shot from 26 ft,,10-7,,
6:47.0,Offensive rebound by K. Koufos,,10-7,,
6:33.0,K. Koufos misses 2-pt shot from 19 ft,,10-7,,
6:32.0,,,10-7,,Defensive rebound by C. Miles
6:25.0,,,10-7,,C. Miles misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by Z. Randolph,,10-7,,
6:15.0,K. Koufos makes 2-pt shot from 2 ft (assist by M. Conley),2,12-7,,
5:52.0,,,12-7,,D. Sloan misses 2-pt shot from 16 ft
5:51.0,Defensive rebound by Z. Randolph,,12-7,,
5:50.0,,,12-7,,Indiana full timeout
5:50.0,B. Udrih enters the game for M. Conley,,12-7,,
5:39.0,Turnover by B. Udrih (bad pass; steal by C. Miles),,12-7,,
5:19.0,,,12-7,,C. Miles misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by C. Lee,,12-7,,
5:08.0,,,12-7,,Def 3 sec tech foul by L. Scola
5:08.0,C. Lee makes technical free throw,1,13-7,,
5:08.0,,,13-7,,C. Copeland enters the game for S. Hill
5:08.0,Q. Pondexter enters the game for T. Allen,,13-7,,
4:56.0,Z. Randolph misses 2-pt shot from 15 ft,,13-7,,
4:55.0,,,13-7,,Defensive rebound by L. Scola
4:41.0,,,13-10,3,C. Copeland makes 3-pt shot from 22 ft (assist by C. Miles)
4:26.0,B. Udrih makes 2-pt shot from 20 ft,2,15-10,,
4:14.0,Personal foul by Q. Pondexter (drawn by C. Copeland),,15-10,,
4:14.0,J. Leuer enters the game for Z. Randolph,,15-10,,
4:00.0,,,15-10,,D. Sloan misses 3-pt shot from 26 ft
3:59.0,,,15-10,,Offensive rebound by L. Scola
3:59.0,Personal foul by J. Leuer (drawn by L. Scola),,15-10,,
3:56.0,Personal foul by C. Lee (drawn by C. Miles),,15-10,,
3:48.0,,,15-10,,C. Copeland misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by B. Udrih,,15-10,,
3:40.0,Q. Pondexter misses 3-pt shot from 26 ft,,15-10,,
3:39.0,Offensive rebound by J. Leuer,,15-10,,
3:25.0,Shooting foul by I. Mahinmi (drawn by K. Koufos),,15-10,,
3:25.0,K. Koufos makes free throw 1 of 2,1,16-10,,
3:25.0,K. Koufos misses free throw 2 of 2,,16-10,,
3:25.0,,,16-10,,Defensive rebound by I. Mahinmi
3:01.0,,,16-10,,C. Copeland misses 2-pt shot from 21 ft
3:00.0,Defensive rebound by C. Lee,,16-10,,
2:52.0,C. Lee makes 3-pt shot from 25 ft (assist by B. Udrih),3,19-10,,
2:31.0,,,19-10,,C. Miles misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by K. Koufos,,19-10,,
2:18.0,B. Udrih makes 2-pt shot from 2 ft,2,21-10,,
1:59.0,,,21-10,,C. Copeland misses 2-pt shot from 1 ft
1:58.0,,,21-10,,Offensive rebound by C. Copeland
1:58.0,,,21-12,2,C. Copeland makes 2-pt shot from 1 ft
1:48.0,Memphis full timeout,,21-12,,
1:48.0,M. Gasol enters the game for K. Koufos,,21-12,,
1:48.0,,,21-12,,L. Allen enters the game for L. Scola
1:33.0,Q. Pondexter misses 3-pt shot from 25 ft,,21-12,,
1:32.0,,,21-12,,Defensive rebound by D. Sloan
1:16.0,,,21-12,,C. Copeland misses 3-pt shot from 24 ft
1:15.0,,,21-12,,Offensive rebound by D. Sloan
1:10.0,,,21-14,2,C. Miles makes 2-pt shot from 7 ft
1:00.0,M. Gasol makes 2-pt shot from 20 ft (assist by B. Udrih),2,23-14,,
0:41.0,,,23-17,3,C. Miles makes 3-pt shot from 26 ft
0:24.0,M. Gasol misses 2-pt shot from 6 ft,,23-17,,
0:23.0,,,23-17,,Defensive rebound by D. Sloan
0:08.0,Personal foul by Q. Pondexter (drawn by C. Copeland),,23-17,,
0:08.0,T. Allen enters the game for J. Leuer,,23-17,,
0:02.0,,,23-17,,D. Sloan misses 2-pt shot from 8 ft
0:02.0,,,23-17,,Offensive rebound by L. Allen
0:00.0,,,23-17,,Shooting foul by M. Gasol (drawn by L. Allen)
0:00.0,,,23-18,1,L. Allen makes free throw 1 of 2
0:00.0,J. Leuer enters the game for T. Allen,,23-18,,
0:00.0,,,23-19,1,L. Allen makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by V. Carter (bad pass),,23-19,,
11:28.0,,,23-19,,Turnover by R. Stuckey (lost ball; steal by M. Gasol)
11:21.0,M. Conley misses 3-pt shot from 24 ft,,23-19,,
11:20.0,,,23-19,,Defensive rebound by C. Copeland
11:04.0,Personal foul by M. Gasol (drawn by R. Stuckey),,23-19,,
10:58.0,,,23-22,3,D. Rudez makes 3-pt shot from 25 ft (assist by L. Allen)
10:40.0,V. Carter misses 2-pt shot from 6 ft,,23-22,,
10:39.0,,,23-22,,Defensive rebound by L. Allen
10:31.0,,,23-24,2,R. Stuckey makes 2-pt shot from 5 ft
10:17.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Leuer),3,26-24,,
9:53.0,,,26-24,,C. Copeland misses 2-pt shot from 13 ft
9:52.0,,,26-24,,Offensive rebound by I. Mahinmi
9:51.0,,,26-26,2,I. Mahinmi makes 2-pt shot from 1 ft
9:42.0,Memphis full timeout,,26-26,,
9:27.0,M. Gasol makes 2-pt shot from 5 ft,2,28-26,,
9:06.0,,,28-28,2,R. Stuckey makes 2-pt shot from 21 ft
