time,Phoenix,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (G. Dragic gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (G. Dragic gains possession)
11:37.0,Turnover by E. Bledsoe (lost ball; steal by B. Knight),,0-0,,
11:32.0,,,0-0,,Turnover by B. Knight (bad pass)
11:25.0,E. Bledsoe makes 2-pt shot at rim,2,2-0,,
11:08.0,,,2-3,3,B. Knight makes 3-pt shot from 26 ft
10:50.0,,,2-3,,Violation by Z. Pachulia (kicked ball)
10:40.0,M. Morris makes 2-pt shot from 4 ft,2,4-3,,
10:23.0,,,4-3,,J. O'Bryant misses 2-pt shot from 4 ft
10:22.0,Defensive rebound by A. Len,,4-3,,
10:07.0,Offensive charge foul by E. Bledsoe,,4-3,,
10:07.0,Turnover by E. Bledsoe (offensive foul),,4-3,,
9:50.0,,,4-3,,B. Knight misses 3-pt shot from 23 ft
9:49.0,,,4-3,,Offensive rebound by Z. Pachulia
9:38.0,,,4-3,,K. Middleton misses 2-pt shot from 12 ft
9:37.0,,,4-3,,Offensive rebound by Z. Pachulia
9:36.0,,,4-3,,Z. Pachulia misses 2-pt shot from 1 ft (block by A. Len)
9:33.0,,,4-3,,Offensive rebound by Z. Pachulia
9:31.0,,,4-3,,G. Antetokounmpo misses 2-pt shot at rim
9:28.0,,,4-3,,Offensive rebound by G. Antetokounmpo
9:28.0,,,4-5,2,G. Antetokounmpo makes 2-pt shot from 1 ft
9:17.0,M. Morris makes 2-pt shot from 13 ft (assist by G. Dragic),2,6-5,,
9:02.0,,,6-5,,Turnover by Z. Pachulia (bad pass)
8:39.0,G. Dragic misses 2-pt shot from 9 ft,,6-5,,
8:38.0,Offensive rebound by P. Tucker,,6-5,,
8:32.0,G. Dragic makes 2-pt shot from 16 ft (assist by P. Tucker),2,8-5,,
8:19.0,,,8-7,2,J. O'Bryant makes 2-pt shot from 15 ft (assist by B. Knight)
8:03.0,M. Morris misses 2-pt shot from 17 ft,,8-7,,
8:02.0,,,8-7,,Defensive rebound by G. Antetokounmpo
7:57.0,,,8-9,2,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:44.0,A. Len makes 2-pt shot from 5 ft,2,10-9,,
7:19.0,,,10-9,,B. Knight misses 3-pt shot from 26 ft
7:19.0,,,10-9,,Offensive rebound by Team
7:11.0,,,10-9,,K. Middleton misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by G. Dragic,,10-9,,
7:06.0,Turnover by G. Dragic (lost ball; steal by K. Middleton),,10-9,,
7:02.0,,,10-11,2,B. Knight makes 2-pt shot from 1 ft (assist by K. Middleton)
6:52.0,P. Tucker misses 3-pt shot from 25 ft,,10-11,,
6:51.0,,,10-11,,Defensive rebound by Z. Pachulia
6:43.0,,,10-11,,Offensive charge foul by G. Antetokounmpo
6:43.0,,,10-11,,Turnover by G. Antetokounmpo (offensive foul)
6:22.0,Turnover by P. Tucker (bad pass),,10-11,,
6:02.0,,,10-13,2,K. Middleton makes 2-pt shot from 14 ft
5:43.0,E. Bledsoe misses 3-pt shot from 24 ft,,10-13,,
5:41.0,Offensive rebound by A. Len,,10-13,,
5:41.0,A. Len misses 2-pt shot at rim,,10-13,,
5:40.0,Offensive rebound by G. Dragic,,10-13,,
5:37.0,E. Bledsoe misses 3-pt shot from 22 ft,,10-13,,
5:35.0,,,10-13,,Defensive rebound by J. O'Bryant
5:28.0,,,10-13,,Shooting foul by M. Morris (drawn by Z. Pachulia)
5:28.0,,,10-13,,Milwaukee full timeout
5:28.0,,,10-14,1,Z. Pachulia makes free throw 1 of 2
5:28.0,,,10-14,,Z. Pachulia misses free throw 2 of 2
5:27.0,Defensive rebound by A. Len,,10-14,,
5:10.0,M. Morris makes 2-pt shot from 14 ft,2,12-14,,
4:56.0,,,12-14,,Turnover by Z. Pachulia (lost ball; steal by E. Bledsoe)
4:52.0,G. Dragic misses 2-pt shot at rim,,12-14,,
4:50.0,,,12-14,,Defensive rebound by G. Antetokounmpo
4:47.0,,,12-14,,Shooting foul by M. Morris (drawn by J. O'Bryant)
4:47.0,,,12-15,1,J. O'Bryant makes free throw 1 of 2
4:47.0,M. Morris enters the game for M. Morris,,12-15,,
4:47.0,,,12-15,,J. O'Bryant misses free throw 2 of 2
4:46.0,Defensive rebound by A. Len,,12-15,,
4:31.0,G. Dragic misses 3-pt shot from 25 ft,,12-15,,
4:30.0,,,12-15,,Defensive rebound by J. O'Bryant
4:22.0,,,12-15,,Offensive foul by Z. Pachulia
4:22.0,,,12-15,,Turnover by Z. Pachulia (offensive foul)
4:09.0,Turnover by E. Bledsoe (bad pass),,12-15,,
4:01.0,,,12-15,,J. Dudley enters the game for J. O'Bryant
3:43.0,Phoenix full timeout,,12-15,,
3:38.0,G. Dragic misses 2-pt shot from 5 ft,,12-15,,
3:36.0,,,12-15,,Defensive rebound by Z. Pachulia
3:34.0,,,12-15,,Turnover by Z. Pachulia (lost ball; steal by G. Dragic)
3:24.0,P. Tucker misses 2-pt shot from 17 ft,,12-15,,
3:22.0,Offensive rebound by E. Bledsoe,,12-15,,
3:10.0,Turnover by M. Morris (lost ball; steal by J. Dudley),,12-15,,
3:06.0,,,12-17,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
