time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. D. Favors (E. Millsap gains possession),,,,Jump ball: O. Asik vs. D. Favors (E. Millsap gains possession)
11:44.0,E. Kanter makes 2-pt shot from 14 ft (assist by D. Favors),2,2-0,,
11:23.0,,,2-3,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
11:05.0,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward),2,4-3,,
10:47.0,,,4-3,,E. Gordon misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by E. Kanter,,4-3,,
10:29.0,G. Hayward makes 2-pt shot from 4 ft,2,6-3,,
10:11.0,,,6-3,,T. Evans misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by E. Kanter,,6-3,,
10:02.0,,,6-3,,Personal foul by A. Ajinca (drawn by D. Favors)
9:49.0,G. Hayward misses 3-pt shot from 27 ft,,6-3,,
9:47.0,,,6-3,,Defensive rebound by O. Asik
9:41.0,,,6-5,2,A. Ajinca makes 2-pt shot from 1 ft (assist by T. Evans)
9:18.0,Turnover by D. Exum (bad pass; steal by E. Gordon),,6-5,,
9:13.0,,,6-5,,E. Gordon misses 2-pt shot from 2 ft (block by E. Millsap)
9:12.0,Defensive rebound by G. Hayward,,6-5,,
9:07.0,G. Hayward misses 2-pt shot from 6 ft (block by D. Cunningham),,6-5,,
9:06.0,Offensive rebound by E. Kanter,,6-5,,
9:05.0,E. Kanter makes 2-pt shot from 2 ft,2,8-5,,
8:45.0,,,8-7,2,T. Evans makes 2-pt shot from 1 ft
8:21.0,D. Favors makes 2-pt shot from 5 ft (assist by D. Exum),2,10-7,,
7:58.0,,,10-7,,O. Asik misses 2-pt shot from 1 ft (block by D. Exum)
7:56.0,Defensive rebound by E. Kanter,,10-7,,
7:53.0,G. Hayward misses 2-pt shot from 1 ft (block by D. Cunningham),,10-7,,
7:52.0,Offensive rebound by E. Kanter,,10-7,,
7:52.0,Shooting foul by A. Ajinca (drawn by E. Kanter),,10-7,,
7:52.0,E. Kanter makes free throw 1 of 2,1,11-7,,
7:52.0,,,11-7,,J. Withey enters the game for A. Ajinca
7:52.0,T. Burke enters the game for D. Exum,,11-7,,
7:52.0,E. Kanter makes free throw 2 of 2,1,12-7,,
7:39.0,Violation by E. Kanter (kicked ball),,12-7,,
7:31.0,,,12-9,2,T. Evans makes 2-pt shot from 2 ft
7:17.0,E. Millsap misses 2-pt shot from 3 ft (block by T. Evans),,12-9,,
7:17.0,Offensive rebound by Team,,12-9,,
7:12.0,Shooting foul by J. Withey (drawn by G. Hayward),,12-9,,
7:12.0,G. Hayward makes free throw 1 of 2,1,13-9,,
7:12.0,G. Hayward makes free throw 2 of 2,1,14-9,,
6:49.0,,,14-9,,E. Gordon misses 2-pt shot from 11 ft
6:48.0,Defensive rebound by T. Burke,,14-9,,
6:43.0,T. Burke misses 2-pt shot from 1 ft,,14-9,,
6:41.0,Offensive rebound by E. Kanter,,14-9,,
6:40.0,E. Kanter misses 2-pt shot from 3 ft,,14-9,,
6:40.0,Offensive rebound by Team,,14-9,,
6:39.0,,,14-9,,Personal foul by T. Evans (drawn by T. Burke)
6:28.0,T. Burke misses 3-pt shot from 24 ft,,14-9,,
6:26.0,Offensive rebound by D. Favors,,14-9,,
6:26.0,Turnover by D. Favors (lost ball),,14-9,,
6:02.0,,,14-12,3,T. Evans makes 3-pt shot from 24 ft (assist by D. Cunningham)
5:38.0,D. Favors makes 2-pt shot from 7 ft,2,16-12,,
5:22.0,,,16-15,3,T. Evans makes 3-pt shot from 24 ft
5:01.0,D. Favors misses 2-pt shot from 15 ft,,16-15,,
4:59.0,,,16-15,,Defensive rebound by O. Asik
4:49.0,,,16-17,2,J. Withey makes 2-pt shot from 1 ft (assist by T. Evans)
4:49.0,Utah full timeout,,16-17,,
4:49.0,,,16-17,,Q. Pondexter enters the game for D. Cunningham
4:49.0,R. Gobert enters the game for E. Kanter,,16-17,,
4:32.0,E. Millsap misses 2-pt shot from 3 ft (block by O. Asik),,16-17,,
4:28.0,Offensive rebound by E. Millsap,,16-17,,
4:24.0,T. Burke misses 3-pt shot from 24 ft,,16-17,,
4:23.0,,,16-17,,Defensive rebound by O. Asik
4:11.0,,,16-17,,Shooting foul by D. Favors (drawn by J. Withey)
4:11.0,,,16-18,1,J. Withey makes free throw 1 of 2
4:11.0,,,16-18,,T. Douglas enters the game for E. Gordon
4:11.0,,,16-19,1,J. Withey makes free throw 2 of 2
3:49.0,E. Millsap misses 3-pt shot from 26 ft,,16-19,,
3:47.0,,,16-19,,Defensive rebound by T. Douglas
3:37.0,,,16-22,3,T. Douglas makes 3-pt shot from 22 ft (assist by T. Evans)
3:22.0,D. Exum enters the game for D. Favors,,16-22,,
3:22.0,T. Booker enters the game for E. Millsap,,16-22,,
3:22.0,,,16-22,,D. Cunningham enters the game for O. Asik
3:15.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward),2,18-22,,
3:00.0,,,18-22,,Shooting foul by R. Gobert (drawn by T. Douglas)
3:00.0,,,18-22,,T. Douglas misses free throw 1 of 2
3:00.0,,,18-22,,Offensive rebound by Team
3:00.0,,,18-23,1,T. Douglas makes free throw 2 of 2
2:44.0,D. Exum misses 3-pt shot from 23 ft,,18-23,,
2:43.0,Offensive rebound by R. Gobert,,18-23,,
2:40.0,R. Gobert makes 2-pt shot from 5 ft,2,20-23,,
2:24.0,,,20-23,,D. Cunningham misses 2-pt shot from 20 ft
2:23.0,Defensive rebound by G. Hayward,,20-23,,
2:12.0,G. Hayward makes 3-pt shot from 25 ft (assist by T. Burke),3,23-23,,
2:12.0,,,23-23,,New Orleans full timeout
2:12.0,S. Novak enters the game for G. Hayward,,23-23,,
1:53.0,,,23-23,,Shooting foul by D. Exum (drawn by T. Evans)
1:53.0,,,23-24,1,T. Evans makes free throw 1 of 2
1:53.0,,,23-25,1,T. Evans makes free throw 2 of 2
1:38.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,25-25,,
1:23.0,,,25-25,,Turnover by T. Evans (bad pass; steal by T. Booker)
1:05.0,T. Burke misses 2-pt shot from 2 ft,,25-25,,
1:04.0,Offensive rebound by T. Booker,,25-25,,
1:04.0,T. Booker makes 2-pt shot from 1 ft,2,27-25,,
0:46.0,,,27-25,,T. Douglas misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by T. Burke,,27-25,,
0:37.0,D. Exum misses 3-pt shot from 25 ft,,27-25,,
0:35.0,,,27-25,,Defensive rebound by J. Withey
0:24.0,,,27-25,,D. Cunningham misses 2-pt shot from 1 ft
0:21.0,,,27-25,,Offensive rebound by D. Cunningham
0:21.0,,,27-25,,D. Cunningham misses 2-pt shot from 2 ft
0:19.0,,,27-25,,Offensive rebound by J. Withey
0:19.0,,,27-25,,J. Withey misses 2-pt shot from 3 ft
0:18.0,,,27-25,,Offensive rebound by Team
0:00.0,,,27-25,,T. Evans misses 2-pt shot from 18 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
