time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. C. Kaman (T. Parker gains possession),,,,Jump ball: T. Duncan vs. C. Kaman (T. Parker gains possession)
11:43.0,,,0-0,,K. Leonard misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by L. Aldridge,,0-0,,
11:29.0,W. Matthews makes 2-pt shot from 13 ft (assist by N. Batum),2,2-0,,
11:13.0,,,2-0,,T. Duncan misses 2-pt shot from 5 ft
11:12.0,Defensive rebound by W. Matthews,,2-0,,
11:05.0,Turnover by W. Matthews (bad pass; steal by K. Leonard),,2-0,,
11:00.0,,,2-2,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Splitter)
10:39.0,L. Aldridge misses 2-pt shot from 2 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by T. Duncan
10:29.0,Personal foul by D. Lillard (drawn by D. Green),,2-2,,
10:24.0,,,2-4,2,T. Parker makes 2-pt shot from 13 ft
10:11.0,Turnover by N. Batum (lost ball; steal by D. Green),,2-4,,
10:07.0,,,2-4,,D. Green misses 2-pt shot from 1 ft (block by N. Batum)
10:07.0,,,2-4,,Offensive rebound by Team
10:05.0,,,2-6,2,K. Leonard makes 2-pt shot from 13 ft (assist by T. Splitter)
9:49.0,,,2-6,,Violation by T. Duncan (kicked ball)
9:34.0,L. Aldridge makes 2-pt shot from 1 ft (assist by C. Kaman),2,4-6,,
9:16.0,,,4-8,2,T. Parker makes 2-pt shot from 2 ft (assist by K. Leonard)
8:55.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,6-8,,
8:39.0,,,6-8,,Shooting foul by C. Kaman (drawn by T. Duncan)
8:39.0,,,6-9,1,T. Duncan makes free throw 1 of 2
8:39.0,,,6-10,1,T. Duncan makes free throw 2 of 2
8:25.0,D. Lillard makes 2-pt shot from 14 ft (assist by L. Aldridge),2,8-10,,
8:14.0,,,8-10,,T. Parker misses 2-pt shot from 16 ft
8:13.0,Defensive rebound by N. Batum,,8-10,,
7:53.0,L. Aldridge misses 2-pt shot from 11 ft,,8-10,,
7:52.0,,,8-10,,Defensive rebound by D. Green
7:46.0,,,8-12,2,K. Leonard makes 2-pt shot from 15 ft (assist by T. Parker)
7:21.0,C. Kaman misses 2-pt shot from 3 ft (block by T. Duncan),,8-12,,
7:20.0,,,8-12,,Defensive rebound by D. Green
7:09.0,,,8-12,,T. Duncan misses 2-pt shot from 16 ft
7:08.0,Defensive rebound by L. Aldridge,,8-12,,
7:02.0,D. Lillard makes 2-pt shot from 18 ft,2,10-12,,
6:46.0,,,10-12,,T. Parker misses 2-pt shot from 2 ft (block by C. Kaman)
6:45.0,,,10-12,,Offensive rebound by Team
6:45.0,,,10-12,,M. Ginobili enters the game for K. Leonard
6:42.0,,,10-14,2,M. Ginobili makes 2-pt shot from 10 ft (assist by T. Parker)
6:22.0,L. Aldridge misses 2-pt shot from 17 ft,,10-14,,
6:21.0,,,10-14,,Defensive rebound by T. Parker
6:16.0,,,10-14,,San Antonio full timeout
6:16.0,M. Leonard enters the game for C. Kaman,,10-14,,
6:16.0,S. Blake enters the game for W. Matthews,,10-14,,
6:11.0,,,10-16,2,M. Ginobili makes 2-pt shot from 9 ft (assist by T. Parker)
5:58.0,D. Lillard misses 3-pt shot from 25 ft,,10-16,,
5:57.0,,,10-16,,Defensive rebound by T. Duncan
5:52.0,,,10-16,,Turnover by T. Parker (lost ball)
5:52.0,,,10-16,,B. Diaw enters the game for T. Splitter
5:29.0,L. Aldridge makes 2-pt shot from 13 ft,2,12-16,,
5:08.0,,,12-19,3,T. Parker makes 3-pt shot from 22 ft (assist by M. Ginobili)
4:53.0,M. Leonard makes 2-pt shot from 8 ft,2,14-19,,
4:39.0,,,14-22,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
4:15.0,D. Lillard makes 2-pt shot from 1 ft,2,16-22,,
3:58.0,,,16-22,,B. Diaw misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by D. Lillard,,16-22,,
3:46.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,19-22,,
3:28.0,,,19-22,,T. Parker misses 2-pt shot from 1 ft (block by L. Aldridge)
3:28.0,,,19-22,,Offensive rebound by Team
3:28.0,,,19-22,,P. Mills enters the game for T. Parker
3:22.0,,,19-24,2,P. Mills makes 2-pt shot from 16 ft (assist by T. Duncan)
3:05.0,M. Leonard makes 2-pt shot from 18 ft (assist by S. Blake),2,21-24,,
2:47.0,,,21-24,,T. Duncan misses 2-pt shot from 4 ft
2:46.0,Defensive rebound by M. Leonard,,21-24,,
2:35.0,Turnover by L. Aldridge (lost ball; steal by T. Duncan),,21-24,,
2:24.0,,,21-27,3,M. Ginobili makes 3-pt shot from 23 ft (assist by T. Duncan)
2:23.0,Portland full timeout,,21-27,,
2:23.0,,,21-27,,A. Baynes enters the game for T. Duncan
2:23.0,,,21-27,,K. Leonard enters the game for D. Green
2:23.0,W. Matthews enters the game for D. Lillard,,21-27,,
2:23.0,C. McCollum enters the game for N. Batum,,21-27,,
2:02.0,L. Aldridge misses 2-pt shot from 9 ft,,21-27,,
2:01.0,,,21-27,,Defensive rebound by K. Leonard
1:53.0,,,21-27,,M. Ginobili misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by L. Aldridge,,21-27,,
1:28.0,C. McCollum makes 3-pt shot from 22 ft (assist by S. Blake),3,24-27,,
1:20.0,,,24-29,2,P. Mills makes 2-pt shot from 14 ft (assist by M. Ginobili)
