time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Thompson (D. Lillard gains possession),,,,Jump ball: R. Lopez vs. J. Thompson (D. Lillard gains possession)
11:43.0,W. Matthews misses 3-pt shot from 25 ft,,0-0,,
11:41.0,Offensive rebound by R. Lopez,,0-0,,
11:41.0,R. Lopez misses 2-pt shot at rim,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Thompson
11:36.0,,,0-2,2,D. Collison makes 2-pt shot from 2 ft
11:15.0,R. Lopez misses 2-pt shot from 2 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by J. Thompson
11:07.0,,,0-2,,B. McLemore misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by L. Aldridge,,0-2,,
11:01.0,W. Matthews makes 2-pt shot at rim (assist by N. Batum),2,2-2,,
10:42.0,,,2-4,2,D. Cousins makes 2-pt shot from 10 ft (assist by D. Collison)
10:22.0,L. Aldridge makes 2-pt shot from 21 ft (assist by W. Matthews),2,4-4,,
10:02.0,,,4-4,,D. Cousins misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by D. Lillard,,4-4,,
9:50.0,N. Batum misses 2-pt shot at rim,,4-4,,
9:49.0,Offensive rebound by Team,,4-4,,
9:33.0,D. Lillard misses 2-pt shot from 20 ft,,4-4,,
9:32.0,,,4-4,,Defensive rebound by B. McLemore
9:30.0,,,4-4,,Turnover by B. McLemore (bad pass; steal by N. Batum)
9:25.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Batum),3,7-4,,
9:11.0,,,7-6,2,R. Gay makes 2-pt shot from 15 ft (assist by D. Collison)
8:47.0,N. Batum misses 2-pt shot from 2 ft,,7-6,,
8:46.0,,,7-6,,Defensive rebound by D. Collison
8:32.0,,,7-8,2,R. Gay makes 2-pt shot from 9 ft
8:17.0,L. Aldridge misses 2-pt shot from 20 ft,,7-8,,
8:17.0,,,7-8,,Defensive rebound by B. McLemore
8:07.0,,,7-10,2,J. Thompson makes 2-pt shot from 7 ft
7:41.0,L. Aldridge misses 3-pt shot from 25 ft,,7-10,,
7:39.0,,,7-10,,Defensive rebound by B. McLemore
7:38.0,Jump ball: W. Matthews vs. B. McLemore (R. Gay gains possession),,,,Jump ball: W. Matthews vs. B. McLemore (R. Gay gains possession)
7:24.0,Personal foul by D. Lillard (drawn by D. Collison),,7-10,,
7:17.0,,,7-12,2,R. Gay makes 2-pt shot from 19 ft
