time,San Antonio,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Varejao (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. A. Varejao (K. Leonard gains possession)
11:35.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Varejao
11:12.0,,,0-0,,Turnover by A. Varejao (bad pass; steal by K. Leonard)
11:00.0,D. Green misses 2-pt shot from 16 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by K. Love
10:48.0,,,0-0,,K. Irving misses 2-pt shot from 9 ft
10:45.0,,,0-0,,Offensive rebound by K. Love
10:45.0,,,0-0,,K. Love misses 2-pt shot at rim
10:43.0,Defensive rebound by B. Diaw,,0-0,,
10:22.0,B. Diaw misses 2-pt shot from 14 ft,,0-0,,
10:21.0,,,0-0,,Defensive rebound by A. Varejao
9:59.0,,,0-0,,S. Marion misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by K. Leonard,,0-0,,
9:48.0,T. Duncan makes 2-pt shot from 17 ft (assist by D. Green),2,2-0,,
9:34.0,,,2-3,3,L. James makes 3-pt shot from 25 ft
9:18.0,T. Parker misses 2-pt shot from 19 ft,,2-3,,
9:17.0,,,2-3,,Defensive rebound by K. Irving
9:04.0,,,2-5,2,A. Varejao makes 2-pt shot from 2 ft (assist by K. Love)
8:47.0,T. Duncan makes 2-pt shot from 19 ft (assist by T. Parker),2,4-5,,
8:32.0,,,4-5,,Turnover by K. Love (lost ball; steal by B. Diaw)
8:27.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,6-5,,
8:27.0,Shooting foul by K. Irving (drawn by T. Duncan),,6-5,,
8:27.0,T. Duncan makes free throw 1 of 1,1,7-5,,
8:11.0,,,7-5,,Turnover by A. Varejao (bad pass; steal by B. Diaw)
8:04.0,Shooting foul by S. Marion (drawn by T. Duncan),,7-5,,
8:04.0,T. Duncan makes free throw 1 of 2,1,8-5,,
8:04.0,T. Duncan makes free throw 2 of 2,1,9-5,,
7:47.0,,,9-5,,L. James misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by T. Duncan,,9-5,,
7:35.0,T. Duncan misses 2-pt shot from 3 ft (block by A. Varejao),,9-5,,
7:33.0,,,9-5,,Defensive rebound by L. James
7:28.0,,,9-8,3,L. James makes 3-pt shot from 25 ft
7:13.0,Turnover by T. Parker (traveling),,9-8,,
7:00.0,,,9-8,,K. Irving misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by T. Duncan,,9-8,,
6:41.0,B. Diaw makes 2-pt shot from 5 ft (assist by T. Duncan),2,11-8,,
6:23.0,,,11-8,,K. Love misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by D. Green,,11-8,,
6:10.0,K. Leonard misses 3-pt shot from 23 ft,,11-8,,
6:09.0,,,11-8,,Defensive rebound by K. Love
6:04.0,,,11-10,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:03.0,San Antonio full timeout,,11-10,,
6:03.0,C. Joseph enters the game for D. Green,,11-10,,
6:03.0,M. Ginobili enters the game for T. Parker,,11-10,,
5:49.0,K. Leonard makes 2-pt shot at rim (assist by B. Diaw),2,13-10,,
5:27.0,,,13-12,2,K. Love makes 2-pt shot from 12 ft (assist by L. James)
5:15.0,B. Diaw makes 2-pt shot from 1 ft (assist by C. Joseph),2,15-12,,
4:58.0,,,15-15,3,S. Marion makes 3-pt shot from 24 ft (assist by L. James)
4:36.0,T. Duncan misses 2-pt shot from 17 ft,,15-15,,
4:34.0,,,15-15,,Defensive rebound by S. Marion
4:25.0,,,15-15,,L. James misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by Team,,15-15,,
4:24.0,,,15-15,,D. Waiters enters the game for K. Irving
4:14.0,T. Duncan misses 2-pt shot from 8 ft,,15-15,,
4:13.0,Offensive rebound by T. Duncan,,15-15,,
4:10.0,T. Duncan misses 2-pt shot from 2 ft,,15-15,,
4:09.0,Offensive rebound by B. Diaw,,15-15,,
4:05.0,K. Leonard misses 3-pt shot from 26 ft,,15-15,,
4:04.0,,,15-15,,Defensive rebound by A. Varejao
3:51.0,,,15-15,,Offensive foul by L. James
3:51.0,,,15-15,,Turnover by L. James (offensive foul)
3:31.0,,,15-15,,Violation by S. Marion (def goaltending)
