time,Minnesota,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. N. Pekovic (D. Wade gains possession),,,,Jump ball: C. Bosh vs. N. Pekovic (D. Wade gains possession)
11:42.0,,,0-2,2,L. Deng makes 2-pt shot from 17 ft (assist by C. Bosh)
11:28.0,Turnover by K. Martin (bad pass),,0-2,,
11:12.0,Personal foul by A. Wiggins (drawn by L. Deng),,0-2,,
11:02.0,,,0-2,,D. Wade misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by Z. LaVine,,0-2,,
10:51.0,A. Wiggins misses 3-pt shot from 24 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by N. Cole
10:38.0,,,0-2,,Turnover by N. Cole (bad pass; steal by N. Pekovic)
10:26.0,N. Pekovic misses 2-pt shot from 5 ft,,0-2,,
10:25.0,,,0-2,,Defensive rebound by S. Williams
10:14.0,,,0-4,2,D. Wade makes 2-pt shot from 1 ft
9:52.0,K. Martin misses 2-pt shot from 18 ft,,0-4,,
9:51.0,,,0-4,,Defensive rebound by C. Bosh
9:31.0,,,0-4,,C. Bosh misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by T. Young,,0-4,,
9:08.0,T. Young makes 2-pt shot from 1 ft,2,2-4,,
8:52.0,,,2-6,2,N. Cole makes 2-pt shot from 19 ft (assist by D. Wade)
8:31.0,Turnover by N. Pekovic (3 sec),,2-6,,
8:14.0,,,2-8,2,S. Williams makes 2-pt shot from 1 ft (assist by D. Wade)
8:14.0,Minnesota full timeout,,2-8,,
7:58.0,N. Pekovic misses 2-pt shot from 12 ft (block by S. Williams),,2-8,,
7:57.0,,,2-8,,Defensive rebound by S. Williams
7:42.0,,,2-11,3,N. Cole makes 3-pt shot from 23 ft (assist by S. Williams)
7:24.0,K. Martin misses 3-pt shot from 25 ft,,2-11,,
7:23.0,,,2-11,,Defensive rebound by S. Williams
7:09.0,,,2-14,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
