time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Lopez (S. Curry gains possession),,,,Jump ball: A. Bogut vs. R. Lopez (S. Curry gains possession)
11:42.0,,,0-0,,D. Green misses 2-pt shot from 22 ft
11:41.0,Defensive rebound by N. Batum,,0-0,,
11:26.0,L. Aldridge misses 2-pt shot from 13 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by H. Barnes
11:13.0,,,0-2,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
10:55.0,D. Lillard misses 3-pt shot from 23 ft,,0-2,,
10:54.0,Offensive rebound by L. Aldridge,,0-2,,
10:52.0,L. Aldridge misses 2-pt shot from 1 ft,,0-2,,
10:49.0,Offensive rebound by R. Lopez,,0-2,,
10:49.0,R. Lopez makes 2-pt shot at rim,2,2-2,,
10:43.0,,,2-5,3,S. Curry makes 3-pt shot from 26 ft
10:25.0,R. Lopez misses 2-pt shot from 16 ft,,2-5,,
10:24.0,,,2-5,,Defensive rebound by D. Green
10:20.0,,,2-8,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
10:09.0,Shooting foul by S. Curry (drawn by D. Lillard),,2-8,,
10:09.0,D. Lillard makes free throw 1 of 2,1,3-8,,
10:09.0,D. Lillard misses free throw 2 of 2,,3-8,,
10:07.0,,,3-8,,Defensive rebound by A. Bogut
10:02.0,,,3-8,,S. Curry misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by D. Lillard,,3-8,,
9:47.0,R. Lopez makes 2-pt shot from 10 ft (assist by D. Lillard),2,5-8,,
9:33.0,,,5-8,,K. Thompson misses 2-pt shot from 8 ft
9:32.0,Defensive rebound by R. Lopez,,5-8,,
9:27.0,,,5-8,,Personal foul by K. Thompson (drawn by A. Afflalo)
9:15.0,Turnover by L. Aldridge (lost ball; steal by K. Thompson),,5-8,,
9:00.0,,,5-10,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
8:36.0,D. Lillard misses 3-pt shot from 23 ft,,5-10,,
8:35.0,,,5-10,,Defensive rebound by H. Barnes
8:17.0,,,5-12,2,A. Bogut makes 2-pt shot from 3 ft (assist by H. Barnes)
7:56.0,L. Aldridge makes 2-pt shot from 7 ft,2,7-12,,
7:45.0,,,7-14,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
7:44.0,Portland full timeout,,7-14,,
7:21.0,D. Lillard makes 2-pt shot from 17 ft (assist by N. Batum),2,9-14,,
7:04.0,,,9-16,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
6:47.0,A. Afflalo makes 2-pt shot from 21 ft (assist by D. Lillard),2,11-16,,
6:36.0,,,11-19,3,S. Curry makes 3-pt shot from 26 ft
6:20.0,D. Lillard misses 3-pt shot from 28 ft,,11-19,,
6:19.0,Offensive rebound by Team,,11-19,,
6:09.0,L. Aldridge makes 2-pt shot from 16 ft,2,13-19,,
5:58.0,,,13-19,,D. Green misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by A. Afflalo,,13-19,,
5:38.0,A. Afflalo makes 2-pt shot from 17 ft (assist by L. Aldridge),2,15-19,,
5:22.0,,,15-21,2,A. Bogut makes 2-pt shot from 9 ft (assist by S. Curry)
4:58.0,N. Batum misses 3-pt shot from 27 ft,,15-21,,
4:57.0,,,15-21,,Defensive rebound by S. Curry
4:49.0,,,15-21,,S. Curry misses 3-pt shot from 27 ft
4:48.0,Defensive rebound by D. Lillard,,15-21,,
4:39.0,L. Aldridge misses 3-pt shot from 26 ft,,15-21,,
4:38.0,Offensive rebound by R. Lopez,,15-21,,
4:33.0,A. Afflalo makes 2-pt shot from 21 ft,2,17-21,,
4:20.0,,,17-21,,Turnover by H. Barnes (bad pass; steal by A. Afflalo)
4:15.0,A. Afflalo misses 2-pt shot from 2 ft (block by D. Green),,17-21,,
4:15.0,Offensive rebound by Team,,17-21,,
4:15.0,C. Kaman enters the game for R. Lopez,,17-21,,
4:15.0,C. McCollum enters the game for N. Batum,,17-21,,
4:15.0,,,17-21,,J. Holiday enters the game for K. Thompson
4:15.0,,,17-21,,A. Iguodala enters the game for H. Barnes
4:05.0,Shooting foul by D. Green (drawn by L. Aldridge),,17-21,,
4:05.0,L. Aldridge makes free throw 1 of 2,1,18-21,,
4:05.0,,,18-21,,M. Speights enters the game for A. Bogut
4:05.0,L. Aldridge makes free throw 2 of 2,1,19-21,,
3:51.0,,,19-21,,Turnover by S. Curry (bad pass; steal by C. McCollum)
3:47.0,A. Afflalo misses 2-pt shot from 1 ft (block by J. Holiday),,19-21,,
3:46.0,,,19-21,,Defensive rebound by D. Green
3:40.0,,,19-23,2,J. Holiday makes 2-pt shot from 2 ft
