time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (K. Garnett gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (K. Garnett gains possession)
11:33.0,,,0-0,,B. Lopez misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by C. Frye,,0-0,,
11:19.0,N. Vucevic makes 2-pt shot from 2 ft (assist by T. Harris),2,2-0,,
10:59.0,,,2-2,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by K. Garnett)
10:48.0,Shooting foul by B. Bogdanovic (drawn by E. Fournier),,2-2,,
10:48.0,E. Fournier misses free throw 1 of 2,,2-2,,
10:48.0,Offensive rebound by Team,,2-2,,
10:48.0,E. Fournier misses free throw 2 of 2,,2-2,,
10:47.0,,,2-2,,Defensive rebound by J. Johnson
10:32.0,,,2-2,,K. Garnett misses 2-pt shot from 19 ft
10:31.0,Defensive rebound by N. Vucevic,,2-2,,
10:14.0,Turnover by E. Payton (bad pass; steal by K. Garnett),,2-2,,
10:06.0,,,2-2,,Turnover by D. Williams (bad pass; steal by E. Payton)
10:02.0,E. Payton makes 2-pt shot from 1 ft,2,4-2,,
9:44.0,,,4-4,2,D. Williams makes 2-pt shot from 15 ft (assist by K. Garnett)
9:38.0,E. Payton misses 2-pt shot from 1 ft (block by B. Lopez),,4-4,,
9:37.0,Offensive rebound by Team,,4-4,,
9:28.0,T. Harris misses 2-pt shot from 14 ft,,4-4,,
9:27.0,,,4-4,,Defensive rebound by K. Garnett
9:11.0,,,4-4,,K. Garnett misses 2-pt shot from 16 ft
9:10.0,,,4-4,,Offensive rebound by Team
9:10.0,Loose ball foul by E. Fournier (drawn by B. Bogdanovic),,4-4,,
9:05.0,,,4-6,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
8:48.0,T. Harris misses 2-pt shot from 6 ft,,4-6,,
8:47.0,,,4-6,,Defensive rebound by B. Lopez
8:39.0,,,4-6,,K. Garnett misses 2-pt shot from 19 ft
8:38.0,,,4-6,,Offensive rebound by B. Bogdanovic
8:37.0,,,4-6,,B. Bogdanovic misses 2-pt shot from 2 ft (block by T. Harris)
8:36.0,,,4-6,,Offensive rebound by B. Bogdanovic
8:36.0,,,4-6,,Shooting foul by C. Frye (drawn by B. Bogdanovic)
8:36.0,,,4-7,1,B. Bogdanovic makes free throw 1 of 2
8:36.0,,,4-8,1,B. Bogdanovic makes free throw 2 of 2
8:18.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,7-8,,
8:00.0,,,7-8,,J. Johnson misses 2-pt shot from 6 ft
