time,LA Clippers,pts.away,score,pts.home,Dallas
6:52.0,,,103-84,,Shooting foul by A. Rivers (drawn by D. Powell)
6:52.0,,,103-84,,D. Powell misses free throw 1 of 2
6:52.0,,,103-84,,Offensive rebound by Team
6:52.0,,,103-84,,C. Villanueva enters the game for D. Nowitzki
6:52.0,,,103-85,1,D. Powell makes free throw 2 of 2
6:42.0,H. Turkoglu misses 3-pt shot from 24 ft,,103-85,,
6:41.0,,,103-85,,Defensive rebound by D. Harris
6:31.0,,,103-85,,C. Parsons misses 2-pt shot from 6 ft
6:30.0,Defensive rebound by C. Paul,,103-85,,
6:11.0,H. Turkoglu misses 3-pt shot from 22 ft,,103-85,,
6:10.0,,,103-85,,Defensive rebound by C. Villanueva
6:02.0,,,103-87,2,J. Barea makes 2-pt shot from 9 ft
5:39.0,Shooting foul by D. Powell (drawn by C. Paul),,103-87,,
5:39.0,Official timeout,,103-87,,
5:39.0,M. Barnes enters the game for A. Rivers,,103-87,,
5:39.0,J. Redick enters the game for H. Turkoglu,,103-87,,
5:39.0,H. Turkoglu enters the game for D. Jordan,,103-87,,
5:39.0,C. Paul makes free throw 1 of 2,1,104-87,,
5:39.0,C. Paul makes free throw 2 of 2,1,105-87,,
5:28.0,Personal foul by H. Turkoglu (drawn by C. Villanueva),,105-87,,
5:28.0,,,105-88,1,C. Villanueva makes free throw 1 of 2
5:28.0,,,105-89,1,C. Villanueva makes free throw 2 of 2
5:06.0,J. Crawford misses 2-pt shot from 7 ft,,105-89,,
5:05.0,,,105-89,,Defensive rebound by C. Villanueva
4:56.0,,,105-92,3,C. Villanueva makes 3-pt shot from 24 ft (assist by C. Parsons)
4:34.0,,,105-92,,Personal foul by D. Powell (drawn by C. Paul)
4:34.0,C. Paul makes free throw 1 of 2,1,106-92,,
4:34.0,C. Paul makes free throw 2 of 2,1,107-92,,
4:23.0,Personal foul by C. Paul (drawn by C. Villanueva),,107-92,,
4:23.0,,,107-92,,C. Villanueva misses free throw 1 of 2
4:23.0,,,107-92,,Offensive rebound by Team
4:23.0,,,107-93,1,C. Villanueva makes free throw 2 of 2
4:18.0,,,107-93,,Personal foul by J. Barea (drawn by C. Paul)
4:18.0,C. Paul makes free throw 1 of 2,1,108-93,,
4:18.0,C. Paul makes free throw 2 of 2,1,109-93,,
4:07.0,,,109-93,,Turnover by C. Villanueva (bad pass; steal by C. Paul)
3:44.0,J. Crawford makes 2-pt shot from 6 ft,2,111-93,,
3:38.0,,,111-93,,Dallas full timeout
3:38.0,,,111-93,,R. Ledo enters the game for C. Parsons
3:38.0,,,111-93,,R. Felton enters the game for J. Barea
3:38.0,,,111-93,,G. Smith enters the game for D. Harris
3:38.0,,,111-93,,R. Jefferson enters the game for C. Villanueva
3:30.0,,,111-93,,Turnover by R. Ledo (bad pass; steal by H. Turkoglu)
3:07.0,M. Barnes misses 3-pt shot from 23 ft,,111-93,,
3:06.0,Offensive rebound by J. Redick,,111-93,,
3:04.0,J. Redick misses 2-pt shot from 9 ft,,111-93,,
3:04.0,,,111-93,,Defensive rebound by G. Smith
2:58.0,,,111-93,,R. Ledo misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by M. Barnes,,111-93,,
2:33.0,J. Crawford misses 3-pt shot from 24 ft,,111-93,,
2:32.0,,,111-93,,Defensive rebound by G. Smith
2:21.0,,,111-96,3,R. Jefferson makes 3-pt shot from 24 ft (assist by R. Ledo)
1:56.0,C. Paul misses 2-pt shot from 20 ft,,111-96,,
1:55.0,,,111-96,,Defensive rebound by G. Smith
1:45.0,,,111-96,,R. Ledo misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by H. Turkoglu,,111-96,,
1:37.0,,,111-96,,Personal foul by R. Ledo (drawn by C. Paul)
1:37.0,C. Paul makes free throw 1 of 2,1,112-96,,
1:37.0,D. Jones enters the game for J. Redick,,112-96,,
1:37.0,A. Rivers enters the game for H. Turkoglu,,112-96,,
1:37.0,C. Paul makes free throw 2 of 2,1,113-96,,
1:22.0,,,113-96,,R. Felton misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by A. Rivers,,113-96,,
1:00.0,J. Crawford makes 2-pt shot from 20 ft,2,115-96,,
0:52.0,,,115-96,,R. Jefferson misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by Team,,115-96,,
0:51.0,C. Wilcox enters the game for C. Paul,,115-96,,
0:30.0,J. Crawford misses 3-pt shot from 28 ft,,115-96,,
0:29.0,Offensive rebound by D. Jones,,115-96,,
0:08.0,Turnover by A. Rivers (lost ball; steal by D. Powell),,115-96,,
0:05.0,,,115-96,,Shooting foul by M. Barnes (drawn by D. Powell)
0:05.0,,,115-97,1,D. Powell makes free throw 1 of 2
0:05.0,,,115-98,1,D. Powell makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
