time,LA Clippers,pts.away,score,pts.home,Dallas
1:17.0,,,60-51,,C. Parsons misses 2-pt shot from 2 ft
1:16.0,,,60-51,,Offensive rebound by C. Villanueva
1:16.0,,,60-51,,C. Villanueva misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by C. Paul,,60-51,,
1:03.0,S. Hawes makes 2-pt shot from 2 ft (assist by C. Paul),2,62-51,,
1:03.0,Shooting foul by D. Nowitzki (drawn by S. Hawes),,62-51,,
1:03.0,J. Crawford enters the game for M. Barnes,,62-51,,
1:03.0,S. Hawes misses free throw 1 of 1,,62-51,,
1:02.0,,,62-51,,Defensive rebound by C. Parsons
0:46.0,,,62-53,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Harris)
0:33.0,C. Paul makes 2-pt shot from 13 ft,2,64-53,,
0:19.0,,,64-53,,Offensive charge foul by C. Villanueva
0:19.0,,,64-53,,Turnover by C. Villanueva (offensive foul)
0:19.0,LA Clippers full timeout,,64-53,,
0:19.0,,,64-53,,G. Smith enters the game for D. Nowitzki
0:19.0,,,64-53,,R. Jefferson enters the game for C. Villanueva
0:19.0,M. Barnes enters the game for S. Hawes,,64-53,,
0:01.0,C. Paul makes 2-pt shot from 1 ft,2,66-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes),3,69-53,,
11:28.0,Personal foul by J. Redick (drawn by R. Jefferson),,69-53,,
11:14.0,,,69-53,,A. Aminu misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by D. Jordan,,69-53,,
10:58.0,M. Barnes misses 3-pt shot from 22 ft,,69-53,,
10:57.0,,,69-53,,Defensive rebound by R. Jefferson
10:47.0,,,69-53,,C. Parsons misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by D. Jordan,,69-53,,
10:35.0,Turnover by C. Paul (bad pass; steal by A. Aminu),,69-53,,
10:32.0,,,69-53,,Shooting foul by M. Barnes (drawn by C. Parsons)
10:32.0,,,69-54,1,C. Parsons makes free throw 1 of 2
10:32.0,,,69-55,1,C. Parsons makes free throw 2 of 2
10:25.0,J. Redick misses 2-pt shot from 4 ft (block by A. Aminu),,69-55,,
10:23.0,,,69-55,,Defensive rebound by J. Barea
10:05.0,,,69-55,,D. Nowitzki misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by D. Jordan,,69-55,,
9:47.0,C. Paul makes 3-pt shot from 24 ft (assist by M. Barnes),3,72-55,,
9:29.0,,,72-55,,J. Barea misses 3-pt shot from 24 ft
9:28.0,,,72-55,,Offensive rebound by C. Parsons
9:11.0,Personal foul by M. Barnes (drawn by D. Nowitzki),,72-55,,
9:00.0,,,72-57,2,D. Nowitzki makes 2-pt shot from 14 ft
9:00.0,,,72-57,,Shooting foul by S. Hawes (drawn by D. Nowitzki)
9:00.0,,,72-57,,D. Nowitzki misses free throw 1 of 1
8:59.0,,,72-57,,Offensive rebound by A. Aminu
8:55.0,,,72-57,,D. Nowitzki misses 3-pt shot from 24 ft
8:54.0,,,72-57,,Offensive rebound by C. Parsons
8:52.0,,,72-59,2,C. Parsons makes 2-pt shot at rim
8:52.0,LA Clippers full timeout,,72-59,,
8:41.0,M. Barnes misses 3-pt shot from 23 ft,,72-59,,
8:39.0,,,72-59,,Defensive rebound by C. Parsons
8:27.0,,,72-61,2,R. Jefferson makes 2-pt shot from 6 ft
8:04.0,S. Hawes misses 2-pt shot from 6 ft,,72-61,,
8:04.0,,,72-61,,Defensive rebound by D. Nowitzki
8:04.0,Loose ball foul by D. Jordan (drawn by D. Nowitzki),,72-61,,
8:04.0,,,72-62,1,D. Nowitzki makes free throw 1 of 2
8:04.0,,,72-63,1,D. Nowitzki makes free throw 2 of 2
7:52.0,C. Paul misses 3-pt shot from 22 ft,,72-63,,
7:50.0,,,72-63,,Defensive rebound by A. Aminu
7:37.0,,,72-65,2,D. Nowitzki makes 2-pt shot from 1 ft
7:15.0,M. Barnes makes 3-pt shot from 24 ft (assist by S. Hawes),3,75-65,,
6:59.0,,,75-65,,Shooting foul by J. Redick (drawn by R. Jefferson)
6:59.0,,,75-66,1,R. Jefferson makes free throw 1 of 2
6:59.0,J. Crawford enters the game for S. Hawes,,75-66,,
6:59.0,,,75-67,1,R. Jefferson makes free throw 2 of 2
6:46.0,Shooting foul by D. Nowitzki (drawn by D. Jordan),,75-67,,
6:46.0,D. Jordan makes free throw 1 of 2,1,76-67,,
6:46.0,D. Jordan makes free throw 2 of 2,1,77-67,,
6:37.0,,,77-67,,R. Jefferson misses 2-pt shot at rim
6:36.0,Defensive rebound by M. Barnes,,77-67,,
6:33.0,D. Jordan makes 2-pt shot at rim (assist by M. Barnes),2,79-67,,
6:27.0,,,79-67,,Dallas full timeout
6:27.0,,,79-67,,C. Villanueva enters the game for D. Nowitzki
6:18.0,,,79-67,,C. Parsons misses 2-pt shot from 1 ft
6:17.0,,,79-67,,Offensive rebound by C. Parsons
6:17.0,,,79-67,,C. Parsons misses 2-pt shot from 1 ft
6:15.0,,,79-67,,Offensive rebound by A. Aminu
6:15.0,,,79-67,,A. Aminu misses 2-pt shot from 2 ft
6:14.0,,,79-67,,Offensive rebound by A. Aminu
6:08.0,,,79-69,2,C. Parsons makes 2-pt shot from 3 ft
5:47.0,C. Paul makes 2-pt shot from 21 ft,2,81-69,,
5:35.0,,,81-69,,R. Jefferson misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by C. Paul,,81-69,,
5:31.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,83-69,,
5:13.0,,,83-72,3,A. Aminu makes 3-pt shot from 24 ft (assist by J. Barea)
4:58.0,A. Rivers enters the game for J. Redick,,83-72,,
4:58.0,,,83-72,,D. Harris enters the game for R. Jefferson
4:48.0,C. Paul misses 2-pt shot from 20 ft,,83-72,,
4:47.0,,,83-72,,Defensive rebound by C. Parsons
4:42.0,,,83-72,,Shooting foul by C. Paul (drawn by C. Parsons)
4:42.0,,,83-72,,C. Parsons misses free throw 1 of 2
4:42.0,,,83-72,,Offensive rebound by Team
4:42.0,,,83-73,1,C. Parsons makes free throw 2 of 2
4:30.0,A. Rivers misses 2-pt shot from 7 ft,,83-73,,
4:29.0,,,83-73,,Defensive rebound by C. Parsons
4:21.0,,,83-75,2,J. Barea makes 2-pt shot from 4 ft
4:05.0,J. Crawford misses 2-pt shot from 20 ft,,83-75,,
4:04.0,Offensive rebound by M. Barnes,,83-75,,
3:54.0,Turnover by C. Paul (lost ball),,83-75,,
3:41.0,,,83-78,3,C. Villanueva makes 3-pt shot from 24 ft (assist by C. Parsons)
3:19.0,J. Crawford misses 2-pt shot from 7 ft,,83-78,,
3:18.0,Offensive rebound by D. Jordan,,83-78,,
3:17.0,D. Jordan makes 2-pt shot at rim,2,85-78,,
2:55.0,,,85-78,,J. Barea misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by D. Jordan,,85-78,,
2:43.0,C. Paul misses 2-pt shot from 18 ft,,85-78,,
2:42.0,Offensive rebound by D. Jordan,,85-78,,
2:42.0,,,85-78,,Loose ball foul by D. Harris (drawn by D. Jordan)
2:26.0,M. Barnes misses 2-pt shot from 6 ft,,85-78,,
2:25.0,Offensive rebound by M. Barnes,,85-78,,
2:19.0,J. Crawford makes 2-pt shot from 9 ft,2,87-78,,
2:06.0,,,87-78,,D. Harris misses 2-pt shot from 8 ft
2:06.0,Defensive rebound by C. Paul,,87-78,,
2:04.0,,,87-78,,Personal take foul by C. Parsons (drawn by C. Paul)
2:04.0,,,87-78,,R. Jefferson enters the game for C. Parsons
2:04.0,,,87-78,,R. Felton enters the game for J. Barea
1:56.0,J. Crawford misses 2-pt shot from 19 ft,,87-78,,
1:56.0,Offensive rebound by D. Jordan,,87-78,,
1:55.0,D. Jordan makes 2-pt shot from 1 ft,2,89-78,,
1:42.0,Personal foul by M. Barnes (drawn by C. Villanueva),,89-78,,
1:42.0,,,89-78,,C. Villanueva misses free throw 1 of 2
1:42.0,,,89-78,,Offensive rebound by Team
1:42.0,H. Turkoglu enters the game for M. Barnes,,89-78,,
1:42.0,,,89-78,,C. Villanueva misses free throw 2 of 2
1:41.0,Defensive rebound by D. Jordan,,89-78,,
