time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (D. Augustin gains possession)
11:44.0,Turnover by G. Monroe (bad pass; steal by D. DeRozan),,0-0,,
11:30.0,,,0-0,,Turnover by G. Vasquez (lost ball)
11:17.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Lowry),,0-0,,
11:05.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by G. Monroe,,0-0,,
10:53.0,G. Monroe makes 2-pt shot from 2 ft (assist by D. Augustin),2,2-0,,
10:34.0,,,2-2,2,D. DeRozan makes 2-pt shot from 17 ft (assist by G. Vasquez)
10:20.0,D. Augustin misses 2-pt shot from 2 ft,,2-2,,
10:19.0,Offensive rebound by A. Drummond,,2-2,,
10:16.0,A. Drummond misses 2-pt shot from 1 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by G. Vasquez
10:02.0,,,2-2,,G. Vasquez misses 2-pt shot from 9 ft
10:01.0,Defensive rebound by K. Singler,,2-2,,
9:57.0,Shooting foul by G. Vasquez (drawn by D. Augustin),,2-2,,
9:57.0,D. Augustin makes free throw 1 of 2,1,3-2,,
9:57.0,D. Augustin makes free throw 2 of 2,1,4-2,,
9:48.0,Personal foul by K. Singler (drawn by D. DeRozan),,4-2,,
9:43.0,,,4-2,,D. DeRozan misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by A. Drummond,,4-2,,
9:31.0,G. Monroe misses 2-pt shot from 3 ft,,4-2,,
9:29.0,,,4-2,,Defensive rebound by D. DeRozan
9:23.0,,,4-5,3,G. Vasquez makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:59.0,K. Singler makes 3-pt shot from 24 ft (assist by G. Monroe),3,7-5,,
8:43.0,Personal foul by G. Monroe (drawn by J. Valanciunas),,7-5,,
8:30.0,,,7-7,2,J. Valanciunas makes 2-pt shot from 5 ft
8:08.0,A. Drummond makes 2-pt shot from 7 ft,2,9-7,,
7:51.0,,,9-10,3,D. DeRozan makes 3-pt shot from 22 ft (assist by G. Vasquez)
7:37.0,A. Drummond misses 2-pt shot from 7 ft,,9-10,,
7:36.0,,,9-10,,Defensive rebound by J. Valanciunas
7:25.0,,,9-12,2,G. Vasquez makes 2-pt shot from 2 ft (assist by D. DeRozan)
7:05.0,D. Augustin misses 2-pt shot from 3 ft,,9-12,,
7:03.0,Offensive rebound by A. Drummond,,9-12,,
7:01.0,A. Drummond misses 2-pt shot from 1 ft,,9-12,,
7:00.0,,,9-12,,Defensive rebound by K. Lowry
6:50.0,,,9-14,2,J. Valanciunas makes 2-pt shot from 2 ft
6:45.0,Detroit full timeout,,9-14,,
6:31.0,D. Augustin misses 3-pt shot from 24 ft,,9-14,,
6:30.0,,,9-14,,Defensive rebound by K. Lowry
6:09.0,,,9-16,2,J. Valanciunas makes 2-pt shot from 8 ft
5:56.0,,,9-16,,Personal foul by G. Vasquez (drawn by K. Singler)
5:56.0,,,9-16,,L. Williams enters the game for G. Vasquez
5:48.0,G. Monroe misses 2-pt shot from 2 ft (block by J. Valanciunas),,9-16,,
5:46.0,,,9-16,,Defensive rebound by J. Valanciunas
5:46.0,Personal foul by G. Monroe (drawn by L. Williams),,9-16,,
5:46.0,A. Tolliver enters the game for G. Monroe,,9-16,,
5:30.0,,,9-18,2,A. Johnson makes 2-pt shot from 7 ft (assist by K. Lowry)
5:14.0,A. Tolliver misses 3-pt shot from 24 ft,,9-18,,
5:13.0,,,9-18,,Defensive rebound by J. Valanciunas
5:00.0,Personal foul by D. Augustin (drawn by L. Williams),,9-18,,
4:53.0,,,9-18,,D. DeRozan misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by A. Tolliver,,9-18,,
