time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Chandler (R. Rondo gains possession),,,,Jump ball: A. Bogut vs. T. Chandler (R. Rondo gains possession)
11:41.0,R. Jefferson makes 3-pt shot from 22 ft (assist by R. Rondo),3,3-0,,
11:22.0,,,3-0,,D. Green misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by R. Rondo,,3-0,,
11:14.0,Turnover by M. Ellis (lost ball),,3-0,,
11:11.0,,,3-0,,Turnover by K. Thompson (lost ball)
10:50.0,M. Ellis misses 2-pt shot from 9 ft,,3-0,,
10:48.0,,,3-0,,Defensive rebound by K. Thompson
10:40.0,,,3-0,,Turnover by K. Thompson (lost ball; steal by M. Ellis)
10:34.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Jefferson),3,6-0,,
10:34.0,,,6-0,,Golden State full timeout
10:13.0,,,6-0,,Turnover by H. Barnes (lost ball)
9:49.0,D. Nowitzki misses 2-pt shot from 16 ft,,6-0,,
9:48.0,,,6-0,,Defensive rebound by A. Bogut
9:43.0,,,6-3,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut)
9:33.0,R. Rondo makes 2-pt shot from 11 ft,2,8-3,,
9:18.0,,,8-5,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
9:01.0,D. Nowitzki misses 2-pt shot from 21 ft,,8-5,,
9:00.0,,,8-5,,Defensive rebound by A. Bogut
8:42.0,,,8-5,,K. Thompson misses 2-pt shot from 18 ft
8:40.0,Defensive rebound by R. Jefferson,,8-5,,
8:32.0,T. Chandler misses 2-pt shot at rim (block by K. Thompson),,8-5,,
8:30.0,Offensive rebound by M. Ellis,,8-5,,
8:25.0,R. Rondo makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,11-5,,
8:10.0,,,11-8,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut)
8:00.0,Shooting foul by S. Curry (drawn by R. Rondo),,11-8,,
8:00.0,R. Rondo misses free throw 1 of 2,,11-8,,
8:00.0,Offensive rebound by Team,,11-8,,
8:00.0,R. Rondo makes free throw 2 of 2,1,12-8,,
7:47.0,,,12-8,,H. Barnes misses 2-pt shot from 21 ft
7:47.0,Defensive rebound by Team,,12-8,,
7:32.0,R. Rondo makes 2-pt shot from 20 ft (assist by D. Nowitzki),2,14-8,,
7:16.0,,,14-11,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
7:09.0,Offensive foul by T. Chandler,,14-11,,
7:09.0,Turnover by T. Chandler (offensive foul),,14-11,,
6:56.0,,,14-14,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
6:41.0,D. Nowitzki misses 2-pt shot from 3 ft,,14-14,,
6:39.0,,,14-14,,Defensive rebound by A. Bogut
6:33.0,,,14-14,,S. Curry misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by R. Rondo,,14-14,,
6:24.0,M. Ellis misses 3-pt shot from 26 ft,,14-14,,
6:23.0,,,14-14,,Defensive rebound by H. Barnes
6:18.0,,,14-14,,Turnover by S. Curry (bad pass; steal by M. Ellis)
6:04.0,R. Rondo misses 3-pt shot from 25 ft,,14-14,,
6:02.0,,,14-14,,Defensive rebound by D. Green
6:01.0,Personal foul by D. Nowitzki (drawn by D. Green),,14-14,,
6:01.0,Technical foul by T. Chandler,,14-14,,
6:01.0,,,14-15,1,S. Curry makes technical free throw
6:01.0,C. Villanueva enters the game for D. Nowitzki,,14-15,,
5:45.0,,,14-17,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
5:35.0,Turnover by M. Ellis (bad pass; steal by S. Curry),,14-17,,
5:30.0,,,14-20,3,S. Curry makes 3-pt shot from 25 ft
5:29.0,Dallas full timeout,,14-20,,
5:14.0,Offensive foul by M. Ellis,,14-20,,
5:14.0,Turnover by M. Ellis (offensive foul),,14-20,,
5:00.0,,,14-20,,K. Thompson misses 2-pt shot from 19 ft
4:59.0,,,14-20,,Offensive rebound by A. Bogut
4:54.0,,,14-20,,S. Curry misses 2-pt shot from 2 ft
4:51.0,,,14-20,,Offensive rebound by A. Bogut
4:51.0,,,14-20,,A. Bogut misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by T. Chandler,,14-20,,
4:35.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,16-20,,
4:19.0,,,16-20,,D. Green misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by M. Ellis,,16-20,,
4:05.0,M. Ellis misses 2-pt shot from 19 ft,,16-20,,
4:04.0,,,16-20,,Defensive rebound by A. Bogut
4:00.0,,,16-20,,D. Green misses 2-pt shot at rim (block by M. Ellis)
3:57.0,,,16-20,,Offensive rebound by D. Green
3:56.0,,,16-22,2,D. Green makes 2-pt shot from 1 ft
3:37.0,R. Rondo misses 2-pt shot from 10 ft,,16-22,,
3:37.0,,,16-22,,Defensive rebound by Team
3:37.0,Loose ball foul by T. Chandler (drawn by A. Bogut),,16-22,,
3:37.0,,,16-22,,A. Iguodala enters the game for H. Barnes
3:37.0,,,16-22,,M. Speights enters the game for A. Bogut
3:37.0,A. Stoudemire enters the game for T. Chandler,,16-22,,
3:14.0,,,16-24,2,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry)
2:59.0,R. Rondo makes 2-pt shot from 14 ft,2,18-24,,
2:49.0,,,18-26,2,M. Speights makes 2-pt shot from 2 ft (assist by D. Green)
2:47.0,,,18-26,,Technical foul by M. Speights
2:47.0,M. Ellis makes technical free throw,1,19-26,,
2:47.0,,,19-26,,L. Barbosa enters the game for K. Thompson
2:35.0,Shooting foul by L. Barbosa (drawn by M. Ellis),,19-26,,
2:35.0,M. Ellis misses free throw 1 of 2,,19-26,,
2:35.0,Offensive rebound by Team,,19-26,,
2:35.0,M. Ellis makes free throw 2 of 2,1,20-26,,
2:18.0,,,20-26,,Turnover by M. Speights (bad pass)
2:06.0,A. Stoudemire misses 2-pt shot from 20 ft,,20-26,,
2:04.0,,,20-26,,Defensive rebound by D. Green
2:01.0,J. Barea enters the game for R. Jefferson,,20-26,,
2:01.0,D. Nowitzki enters the game for R. Rondo,,20-26,,
2:01.0,A. Aminu enters the game for C. Villanueva,,20-26,,
1:56.0,,,20-26,,Turnover by S. Curry (traveling)
1:41.0,M. Ellis makes 2-pt shot from 11 ft,2,22-26,,
1:32.0,,,22-28,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
1:17.0,D. Nowitzki misses 2-pt shot from 20 ft,,22-28,,
1:15.0,,,22-28,,Defensive rebound by A. Iguodala
1:07.0,,,22-28,,M. Speights misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by A. Aminu,,22-28,,
0:58.0,M. Ellis misses 2-pt shot from 18 ft,,22-28,,
0:56.0,,,22-28,,Defensive rebound by D. Green
0:51.0,,,22-28,,Shooting foul by A. Stoudemire (drawn by S. Curry)
0:51.0,,,22-29,1,S. Curry makes free throw 1 of 2
0:51.0,,,22-29,,H. Barnes enters the game for D. Green
0:51.0,,,22-29,,S. Curry misses free throw 2 of 2
0:50.0,Defensive rebound by A. Stoudemire,,22-29,,
0:34.0,J. Barea misses 2-pt shot from 1 ft,,22-29,,
0:33.0,Offensive rebound by Team,,22-29,,
0:20.0,A. Stoudemire makes 2-pt shot from 1 ft,2,24-29,,
0:04.0,,,24-29,,Turnover by M. Speights (bad pass; steal by A. Aminu)
0:01.0,M. Ellis misses 3-pt shot from 28 ft,,24-29,,
0:00.0,Offensive rebound by Team,,24-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,24-29,,M. Speights misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by A. Aminu,,24-29,,
11:21.0,A. Aminu makes 2-pt shot from 9 ft,2,26-29,,
11:07.0,,,26-29,,S. Livingston misses 2-pt shot from 9 ft
11:06.0,Defensive rebound by A. Stoudemire,,26-29,,
10:53.0,,,26-29,,Personal foul by L. Barbosa (drawn by J. Barea)
10:44.0,A. Stoudemire misses 2-pt shot from 10 ft,,26-29,,
10:43.0,,,26-29,,Defensive rebound by A. Iguodala
