time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Varejao (P. Millsap gains possession),,,,Jump ball: A. Horford vs. A. Varejao (P. Millsap gains possession)
11:38.0,P. Millsap misses 3-pt shot from 25 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Love
11:24.0,,,0-0,,L. James misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by K. Korver,,0-0,,
11:08.0,A. Horford misses 2-pt shot from 17 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by L. James
10:52.0,,,0-0,,S. Marion misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by D. Carroll,,0-0,,
10:37.0,P. Millsap misses 2-pt shot from 5 ft,,0-0,,
10:34.0,,,0-0,,Defensive rebound by A. Varejao
10:26.0,,,0-0,,Turnover by L. James (lost ball)
10:15.0,Turnover by A. Horford (traveling),,0-0,,
10:07.0,Personal foul by P. Millsap (drawn by K. Love),,0-0,,
10:01.0,,,0-0,,K. Love misses 2-pt shot from 13 ft
9:57.0,Defensive rebound by K. Korver,,0-0,,
9:44.0,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford),2,2-0,,
9:29.0,,,2-0,,K. Irving misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by A. Horford,,2-0,,
9:11.0,D. Carroll makes 3-pt shot from 22 ft (assist by K. Korver),3,5-0,,
8:50.0,Def 3 sec tech foul by A. Horford,,5-0,,
8:50.0,,,5-1,1,K. Irving makes technical free throw
8:42.0,,,5-3,2,S. Marion makes 2-pt shot from 2 ft (assist by K. Irving)
8:21.0,D. Schroder makes 2-pt shot from 5 ft,2,7-3,,
8:02.0,,,7-6,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
7:40.0,A. Horford makes 2-pt shot from 6 ft,2,9-6,,
7:17.0,,,9-6,,L. James misses 2-pt shot from 3 ft
7:15.0,,,9-6,,Offensive rebound by S. Marion
