time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Jones vs. D. Jordan (C. Paul gains possession)
11:40.0,,,0-0,,C. Paul misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:17.0,,,0-0,,Personal foul by C. Paul (drawn by T. Jones)
11:06.0,T. Ariza misses 3-pt shot from 26 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by J. Redick
11:02.0,,,0-2,2,M. Barnes makes 2-pt shot from 3 ft (assist by J. Redick)
10:36.0,T. Jones makes 2-pt shot from 7 ft,2,2-2,,
10:15.0,,,2-2,,J. Redick misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by Team,,2-2,,
9:58.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,4-2,,
9:58.0,Shooting foul by D. Jordan (drawn by T. Ariza),,4-2,,
9:58.0,T. Ariza makes free throw 1 of 1,1,5-2,,
9:47.0,,,5-5,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
9:30.0,D. Motiejunas misses 2-pt shot from 6 ft,,5-5,,
9:27.0,,,5-5,,Defensive rebound by D. Jordan
9:19.0,,,5-5,,C. Paul misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by T. Jones,,5-5,,
9:07.0,Turnover by J. Harden (bad pass; steal by B. Griffin),,5-5,,
9:02.0,,,5-7,2,J. Redick makes 2-pt shot from 2 ft (assist by B. Griffin)
8:58.0,,,5-7,,Violation by Team (delay of game)
8:47.0,P. Beverley makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,7-7,,
8:25.0,,,7-7,,J. Redick misses 2-pt shot from 6 ft
8:24.0,Defensive rebound by T. Ariza,,7-7,,
8:18.0,Offensive charge foul by T. Ariza,,7-7,,
8:18.0,Turnover by T. Ariza (offensive foul),,7-7,,
8:06.0,,,7-7,,Turnover by M. Barnes (lost ball)
7:51.0,T. Jones misses 2-pt shot from 3 ft,,7-7,,
7:47.0,,,7-7,,Defensive rebound by D. Jordan
7:35.0,Personal foul by T. Jones (drawn by D. Jordan),,7-7,,
7:26.0,,,7-9,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
7:07.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,9-9,,
6:55.0,,,9-9,,B. Griffin misses 2-pt shot from 4 ft (block by D. Motiejunas)
6:53.0,,,9-9,,Offensive rebound by B. Griffin
6:52.0,,,9-11,2,B. Griffin makes 2-pt shot from 1 ft
6:39.0,T. Ariza misses 3-pt shot from 24 ft,,9-11,,
6:37.0,,,9-11,,Defensive rebound by D. Jordan
6:34.0,,,9-11,,Turnover by D. Jordan (bad pass)
6:25.0,J. Harden makes 2-pt shot from 16 ft,2,11-11,,
6:09.0,,,11-14,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
5:59.0,Shooting foul by J. Redick (drawn by J. Harden),,11-14,,
5:59.0,,,11-14,,LA Clippers full timeout
