time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession)
11:38.0,,,0-2,2,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Conley)
11:22.0,E. Gordon misses 2-pt shot from 21 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by M. Gasol
11:02.0,,,0-2,,Shooting foul by E. Gordon (drawn by M. Conley)
11:02.0,,,0-3,1,M. Conley makes free throw 1 of 2
11:02.0,,,0-4,1,M. Conley makes free throw 2 of 2
10:43.0,A. Davis misses 2-pt shot from 18 ft,,0-4,,
10:43.0,Offensive rebound by Team,,0-4,,
10:43.0,,,0-4,,Loose ball foul by Z. Randolph (drawn by O. Asik)
10:27.0,A. Davis misses 2-pt shot at rim (block by M. Gasol),,0-4,,
10:27.0,Offensive rebound by Team,,0-4,,
10:23.0,A. Davis misses 2-pt shot from 16 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by T. Allen
10:08.0,,,0-6,2,M. Conley makes 2-pt shot from 21 ft (assist by T. Allen)
9:41.0,T. Evans makes 3-pt shot from 26 ft,3,3-6,,
9:27.0,,,3-6,,Turnover by T. Allen (offensive foul)
9:27.0,,,3-6,,Offensive charge foul by T. Allen
9:12.0,J. Holiday misses 3-pt shot from 26 ft,,3-6,,
9:11.0,,,3-6,,Defensive rebound by M. Gasol
8:57.0,,,3-8,2,Z. Randolph makes 2-pt shot from 13 ft
8:35.0,J. Holiday makes 2-pt shot at rim,2,5-8,,
8:09.0,,,5-8,,T. Prince misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by O. Asik,,5-8,,
7:59.0,E. Gordon makes 2-pt shot from 1 ft,2,7-8,,
7:40.0,Personal foul by J. Holiday (drawn by M. Conley),,7-8,,
7:27.0,,,7-10,2,Z. Randolph makes 2-pt shot from 2 ft
7:17.0,T. Evans misses 3-pt shot from 25 ft,,7-10,,
7:16.0,,,7-10,,Defensive rebound by M. Gasol
7:04.0,Personal foul by A. Davis (drawn by Z. Randolph),,7-10,,
6:54.0,,,7-12,2,T. Allen makes 2-pt shot at rim
6:39.0,J. Holiday misses 2-pt shot from 19 ft,,7-12,,
6:38.0,,,7-12,,Defensive rebound by M. Gasol
6:28.0,,,7-12,,Turnover by M. Conley (lost ball; steal by E. Gordon)
6:28.0,,,7-12,,Personal foul by M. Conley (drawn by J. Holiday)
6:05.0,E. Gordon misses 3-pt shot from 23 ft,,7-12,,
6:03.0,Offensive rebound by A. Davis,,7-12,,
6:03.0,A. Davis makes 2-pt shot at rim,2,9-12,,
5:44.0,,,9-12,,Turnover by T. Allen (lost ball; steal by E. Gordon)
5:31.0,O. Asik misses 2-pt shot from 1 ft (block by M. Gasol),,9-12,,
5:30.0,,,9-12,,Defensive rebound by M. Gasol
5:23.0,,,9-12,,Memphis full timeout
5:16.0,,,9-14,2,T. Prince makes 2-pt shot from 8 ft
4:58.0,E. Gordon makes 2-pt shot from 4 ft,2,11-14,,
4:34.0,,,11-14,,M. Conley misses 2-pt shot from 6 ft
4:31.0,Defensive rebound by O. Asik,,11-14,,
4:26.0,E. Gordon misses 3-pt shot from 26 ft,,11-14,,
4:24.0,,,11-14,,Defensive rebound by M. Conley
4:20.0,,,11-14,,Shooting foul by A. Davis (drawn by T. Allen)
4:20.0,,,11-14,,T. Allen misses free throw 1 of 2
4:20.0,,,11-14,,Offensive rebound by Team
4:20.0,R. Anderson enters the game for A. Davis,,11-14,,
4:20.0,L. Babbitt enters the game for T. Evans,,11-14,,
4:20.0,,,11-14,,K. Koufos enters the game for M. Gasol
4:20.0,,,11-14,,T. Allen misses free throw 2 of 2
4:19.0,Defensive rebound by R. Anderson,,11-14,,
4:05.0,R. Anderson misses 3-pt shot from 25 ft,,11-14,,
4:03.0,,,11-14,,Defensive rebound by T. Prince
3:50.0,Def 3 sec tech foul by O. Asik,,11-14,,
3:50.0,,,11-15,1,M. Conley makes technical free throw
3:50.0,,,11-15,,Q. Pondexter enters the game for T. Allen
3:40.0,,,11-15,,T. Prince misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by L. Babbitt,,11-15,,
3:36.0,Turnover by L. Babbitt (lost ball; steal by Z. Randolph),,11-15,,
3:30.0,,,11-15,,Turnover by K. Koufos (traveling)
3:16.0,R. Anderson misses 2-pt shot from 16 ft,,11-15,,
3:13.0,Offensive rebound by O. Asik,,11-15,,
3:13.0,O. Asik misses 2-pt shot from 2 ft (block by K. Koufos),,11-15,,
3:11.0,,,11-15,,Defensive rebound by M. Conley
3:06.0,,,11-18,3,T. Prince makes 3-pt shot from 23 ft (assist by M. Conley)
2:52.0,Shooting foul by Q. Pondexter (drawn by O. Asik),,11-18,,
2:52.0,New Orleans full timeout,,11-18,,
2:52.0,O. Asik misses free throw 1 of 2,,11-18,,
2:52.0,Offensive rebound by Team,,11-18,,
