time,LA Lakers,pts.away,score,pts.home,Orlando
2:08.0,,,94-95,,Turnover by E. Payton (bad pass; steal by R. Sacre)
2:04.0,W. Ellington misses 2-pt shot from 2 ft (block by W. Green),,94-95,,
2:04.0,Offensive rebound by Team,,94-95,,
2:02.0,W. Ellington misses 3-pt shot from 23 ft,,94-95,,
2:00.0,,,94-95,,Defensive rebound by T. Harris
1:45.0,,,94-97,2,T. Harris makes 2-pt shot from 18 ft (assist by V. Oladipo)
1:26.0,Turnover by W. Johnson (lost ball; steal by V. Oladipo),,94-97,,
1:24.0,,,94-99,2,V. Oladipo makes 2-pt shot at rim
1:24.0,LA Lakers full timeout,,94-99,,
1:19.0,R. Sacre makes 2-pt shot from 18 ft (assist by J. Clarkson),2,96-99,,
1:03.0,,,96-99,,V. Oladipo misses 2-pt shot from 1 ft (block by R. Sacre)
1:01.0,Defensive rebound by W. Johnson,,96-99,,
0:50.0,W. Ellington misses 2-pt shot from 1 ft,,96-99,,
0:46.0,,,96-99,,Defensive rebound by W. Green
0:32.0,,,96-99,,V. Oladipo misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by W. Johnson,,96-99,,
0:24.0,J. Clarkson misses 2-pt shot from 2 ft,,96-99,,
0:21.0,,,96-99,,Defensive rebound by N. Vucevic
0:21.0,Personal take foul by R. Kelly (drawn by E. Payton),,96-99,,
0:21.0,,,96-99,,L. Ridnour enters the game for E. Payton
0:18.0,Personal take foul by R. Kelly (drawn by L. Ridnour),,96-99,,
0:18.0,,,96-100,1,L. Ridnour makes free throw 1 of 2
0:18.0,,,96-101,1,L. Ridnour makes free throw 2 of 2
0:18.0,LA Lakers full timeout,,96-101,,
0:18.0,,,96-101,,E. Payton enters the game for L. Ridnour
0:15.0,R. Kelly misses 2-pt shot from 20 ft (block by N. Vucevic),,96-101,,
0:15.0,,,96-101,,Defensive rebound by V. Oladipo
0:15.0,Personal block foul by J. Clarkson (drawn by V. Oladipo),,96-101,,
0:15.0,,,96-102,1,V. Oladipo makes free throw 1 of 2
0:15.0,,,96-103,1,V. Oladipo makes free throw 2 of 2
0:09.0,Shooting foul by N. Vucevic (drawn by J. Clarkson),,96-103,,
0:09.0,J. Clarkson misses free throw 1 of 2,,96-103,,
0:09.0,Offensive rebound by Team,,96-103,,
0:09.0,,,96-103,,L. Ridnour enters the game for E. Payton
0:09.0,J. Clarkson makes free throw 2 of 2,1,97-103,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
