time,LA Lakers,pts.away,score,pts.home,Orlando
11:39.0,C. Boozer makes 2-pt shot at rim,2,25-26,,
11:28.0,,,25-26,,Offensive foul by K. O'Quinn
11:28.0,,,25-26,,Turnover by K. O'Quinn (offensive foul)
11:12.0,Turnover by J. Lin (bad pass),,25-26,,
10:59.0,,,25-26,,Turnover by E. Fournier (lost ball; steal by C. Boozer)
10:51.0,J. Lin makes 3-pt shot from 23 ft (assist by E. Davis),3,28-26,,
10:25.0,,,28-26,,A. Gordon misses 2-pt shot from 3 ft (block by E. Davis)
10:25.0,,,28-26,,Offensive rebound by Team
10:25.0,,,28-26,,Turnover by Team (shot clock)
10:08.0,C. Boozer misses 2-pt shot from 18 ft,,28-26,,
10:07.0,Offensive rebound by E. Davis,,28-26,,
10:07.0,Shooting foul by L. Ridnour (drawn by E. Davis),,28-26,,
10:07.0,E. Davis misses free throw 1 of 2,,28-26,,
10:07.0,Offensive rebound by Team,,28-26,,
10:07.0,E. Davis misses free throw 2 of 2,,28-26,,
10:05.0,Offensive rebound by W. Johnson,,28-26,,
9:52.0,C. Boozer makes 2-pt shot from 13 ft,2,30-26,,
9:34.0,,,30-28,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by L. Ridnour)
9:10.0,W. Johnson makes 2-pt shot from 22 ft (assist by N. Young),2,32-28,,
8:50.0,,,32-28,,E. Fournier misses 2-pt shot from 4 ft (block by E. Davis)
8:48.0,Defensive rebound by W. Johnson,,32-28,,
8:43.0,J. Lin misses 2-pt shot from 14 ft,,32-28,,
8:40.0,Offensive rebound by E. Davis,,32-28,,
8:35.0,J. Lin makes 2-pt shot from 2 ft (assist by W. Johnson),2,34-28,,
8:35.0,,,34-28,,Orlando full timeout
8:35.0,,,34-28,,E. Payton enters the game for A. Gordon
8:35.0,,,34-28,,T. Harris enters the game for L. Ridnour
8:22.0,,,34-28,,T. Harris misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by E. Davis,,34-28,,
8:11.0,N. Young misses 2-pt shot from 19 ft,,34-28,,
8:09.0,,,34-28,,Defensive rebound by K. O'Quinn
8:01.0,,,34-28,,E. Payton misses 2-pt shot from 10 ft
7:59.0,Defensive rebound by W. Johnson,,34-28,,
7:44.0,J. Lin makes 2-pt shot from 22 ft (assist by C. Boozer),2,36-28,,
7:25.0,,,36-28,,Shooting foul by E. Davis (drawn by T. Harris)
7:25.0,,,36-29,1,T. Harris makes free throw 1 of 2
7:25.0,,,36-29,,C. Frye enters the game for E. Fournier
7:25.0,,,36-30,1,T. Harris makes free throw 2 of 2
7:13.0,E. Davis misses 2-pt shot from 3 ft (block by K. O'Quinn),,36-30,,
7:12.0,Offensive rebound by Team,,36-30,,
7:12.0,,,36-30,,N. Vucevic enters the game for K. O'Quinn
6:59.0,E. Davis misses 2-pt shot from 9 ft,,36-30,,
6:58.0,Offensive rebound by C. Boozer,,36-30,,
6:56.0,C. Boozer makes 2-pt shot at rim,2,38-30,,
6:45.0,,,38-30,,W. Green misses 2-pt shot from 7 ft
6:42.0,Defensive rebound by W. Johnson,,38-30,,
6:39.0,Offensive charge foul by C. Boozer,,38-30,,
6:39.0,Turnover by C. Boozer (offensive foul),,38-30,,
6:39.0,T. Black enters the game for C. Boozer,,38-30,,
6:21.0,,,38-30,,E. Payton misses 2-pt shot from 6 ft (block by J. Lin)
6:19.0,Defensive rebound by N. Young,,38-30,,
6:13.0,E. Davis misses 2-pt shot from 4 ft,,38-30,,
6:11.0,,,38-30,,Defensive rebound by C. Frye
6:10.0,,,38-30,,Turnover by C. Frye (bad pass; steal by W. Johnson)
6:07.0,W. Johnson misses 2-pt shot from 14 ft,,38-30,,
6:05.0,,,38-30,,Defensive rebound by N. Vucevic
5:51.0,,,38-30,,T. Harris misses 2-pt shot from 12 ft
5:50.0,Defensive rebound by E. Davis,,38-30,,
5:44.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,40-30,,
5:42.0,,,40-30,,Orlando full timeout
5:42.0,Official timeout,,40-30,,
5:42.0,,,40-30,,V. Oladipo enters the game for W. Green
5:42.0,W. Ellington enters the game for E. Davis,,40-30,,
5:42.0,R. Sacre enters the game for N. Young,,40-30,,
5:20.0,,,40-32,2,T. Harris makes 2-pt shot from 15 ft
4:54.0,J. Lin makes 2-pt shot from 20 ft,2,42-32,,
4:34.0,,,42-34,2,C. Frye makes 2-pt shot from 8 ft
4:09.0,Turnover by W. Johnson (bad pass),,42-34,,
3:44.0,,,42-34,,C. Frye misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by T. Black,,42-34,,
3:30.0,Turnover by W. Ellington (lost ball; steal by E. Payton),,42-34,,
3:25.0,,,42-34,,Turnover by T. Harris (bad pass)
3:25.0,,,42-34,,A. Gordon enters the game for C. Frye
3:25.0,J. Clarkson enters the game for J. Lin,,42-34,,
3:07.0,W. Ellington makes 3-pt shot from 24 ft (assist by W. Johnson),3,45-34,,
2:50.0,,,45-36,2,T. Harris makes 2-pt shot from 3 ft (assist by N. Vucevic)
2:41.0,Turnover by J. Clarkson (lost ball; steal by E. Payton),,45-36,,
2:38.0,,,45-38,2,E. Payton makes 2-pt shot at rim
2:12.0,J. Clarkson makes 3-pt shot from 24 ft (assist by R. Sacre),3,48-38,,
1:57.0,,,48-38,,N. Vucevic misses 2-pt shot from 11 ft
1:56.0,Defensive rebound by R. Sacre,,48-38,,
1:50.0,W. Johnson misses 3-pt shot from 25 ft,,48-38,,
1:47.0,,,48-38,,Defensive rebound by V. Oladipo
1:35.0,,,48-38,,Turnover by N. Vucevic (offensive foul)
1:35.0,,,48-38,,Offensive charge foul by N. Vucevic
1:35.0,LA Lakers full timeout,,48-38,,
1:17.0,J. Clarkson makes 2-pt shot from 21 ft,2,50-38,,
1:01.0,,,50-38,,V. Oladipo misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by T. Black,,50-38,,
0:49.0,W. Johnson misses 2-pt shot from 17 ft,,50-38,,
0:47.0,,,50-38,,Defensive rebound by V. Oladipo
0:33.0,,,50-38,,Turnover by V. Oladipo (lost ball; steal by J. Clarkson)
0:29.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,52-38,,
0:09.0,,,52-38,,E. Payton misses 2-pt shot from 2 ft
0:07.0,Defensive rebound by R. Sacre,,52-38,,
0:00.0,W. Johnson misses 3-pt shot from 23 ft,,52-38,,
0:00.0,,,52-38,,Defensive rebound by N. Vucevic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-38,,Violation by V. Oladipo (kicked ball)
11:30.0,R. Sacre misses 2-pt shot from 11 ft,,52-38,,
11:27.0,,,52-38,,Defensive rebound by T. Harris
11:17.0,,,52-38,,Shooting foul by T. Black (drawn by T. Harris)
11:17.0,,,52-39,1,T. Harris makes free throw 1 of 2
11:17.0,,,52-40,1,T. Harris makes free throw 2 of 2
11:00.0,R. Kelly misses 2-pt shot from 17 ft,,52-40,,
10:56.0,,,52-40,,Defensive rebound by E. Payton
10:52.0,Personal block foul by T. Black (drawn by E. Payton),,52-40,,
10:42.0,,,52-40,,V. Oladipo misses 2-pt shot from 7 ft
10:39.0,,,52-40,,Offensive rebound by V. Oladipo
10:38.0,,,52-42,2,V. Oladipo makes 2-pt shot from 1 ft
10:20.0,,,52-42,,Def 3 sec tech foul by N. Vucevic
10:20.0,Def 3 sec tech foul by W. Ellington,,52-42,,
10:20.0,,,52-42,,Def 3 sec tech foul by C. Frye
10:20.0,W. Ellington makes technical free throw,1,53-42,,
10:07.0,W. Ellington misses 3-pt shot from 24 ft,,53-42,,
10:06.0,Offensive rebound by R. Sacre,,53-42,,
10:06.0,,,53-42,,Personal foul by T. Harris (drawn by R. Sacre)
9:50.0,Turnover by J. Clarkson (traveling),,53-42,,
9:42.0,,,53-42,,C. Frye misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by T. Black,,53-42,,
9:30.0,R. Sacre makes 2-pt shot from 8 ft (assist by J. Clarkson),2,55-42,,
9:15.0,,,55-44,2,T. Harris makes 2-pt shot from 19 ft (assist by E. Payton)
8:49.0,J. Clarkson misses 2-pt shot from 18 ft,,55-44,,
8:48.0,Offensive rebound by T. Black,,55-44,,
8:46.0,T. Black misses 2-pt shot from 7 ft,,55-44,,
8:44.0,Offensive rebound by J. Clarkson,,55-44,,
8:41.0,R. Kelly makes 3-pt shot from 25 ft (assist by J. Clarkson),3,58-44,,
8:22.0,,,58-47,3,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:07.0,J. Clarkson misses 3-pt shot from 24 ft,,58-47,,
8:06.0,,,58-47,,Defensive rebound by V. Oladipo
7:58.0,,,58-49,2,V. Oladipo makes 2-pt shot from 2 ft
7:43.0,W. Ellington makes 2-pt shot from 18 ft (assist by R. Sacre),2,60-49,,
7:31.0,,,60-49,,T. Harris misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by R. Kelly,,60-49,,
7:12.0,R. Kelly makes 2-pt shot from 8 ft,2,62-49,,
7:12.0,Shooting foul by E. Payton (drawn by R. Kelly),,62-49,,
7:12.0,R. Kelly makes free throw 1 of 1,1,63-49,,
7:02.0,,,63-49,,V. Oladipo misses 2-pt shot from 2 ft (block by R. Sacre)
7:00.0,,,63-49,,Offensive rebound by N. Vucevic
6:58.0,,,63-49,,N. Vucevic misses 2-pt shot from 2 ft (block by R. Kelly)
6:56.0,,,63-49,,Offensive rebound by C. Frye
6:53.0,,,63-52,3,T. Harris makes 3-pt shot from 22 ft (assist by C. Frye)
6:29.0,R. Sacre misses 2-pt shot from 6 ft,,63-52,,
6:27.0,,,63-52,,Defensive rebound by N. Vucevic
6:21.0,,,63-52,,Turnover by C. Frye (traveling)
6:07.0,T. Black misses 2-pt shot from 11 ft,,63-52,,
6:04.0,,,63-52,,Defensive rebound by N. Vucevic
5:59.0,,,63-54,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
5:40.0,R. Kelly makes 3-pt shot from 25 ft (assist by W. Ellington),3,66-54,,
5:19.0,,,66-56,2,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo)
5:01.0,J. Clarkson makes 2-pt shot from 1 ft (assist by W. Ellington),2,68-56,,
4:52.0,,,68-58,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton)
4:52.0,,,68-58,,Shooting foul by R. Sacre (drawn by N. Vucevic)
4:52.0,,,68-58,,Orlando full timeout
4:52.0,,,68-58,,L. Ridnour enters the game for C. Frye
4:52.0,,,68-58,,A. Gordon enters the game for E. Payton
4:52.0,E. Davis enters the game for R. Sacre,,68-58,,
4:52.0,,,68-59,1,N. Vucevic makes free throw 1 of 1
4:39.0,Turnover by T. Black (lost ball; steal by N. Vucevic),,68-59,,
4:35.0,,,68-61,2,V. Oladipo makes 2-pt shot at rim (assist by T. Harris)
4:17.0,R. Kelly makes 3-pt shot from 25 ft (assist by T. Black),3,71-61,,
3:56.0,,,71-63,2,T. Harris makes 2-pt shot from 1 ft
3:42.0,T. Black misses 2-pt shot from 21 ft,,71-63,,
3:41.0,Offensive rebound by W. Ellington,,71-63,,
3:41.0,,,71-63,,Loose ball foul by V. Oladipo (drawn by W. Ellington)
3:41.0,N. Young enters the game for T. Black,,71-63,,
3:41.0,C. Boozer enters the game for W. Ellington,,71-63,,
3:41.0,J. Lin enters the game for J. Clarkson,,71-63,,
3:36.0,N. Young misses 3-pt shot from 25 ft,,71-63,,
3:35.0,,,71-63,,Defensive rebound by L. Ridnour
3:27.0,,,71-65,2,N. Vucevic makes 2-pt shot from 12 ft (assist by L. Ridnour)
3:05.0,C. Boozer misses 2-pt shot from 18 ft,,71-65,,
3:00.0,,,71-65,,Defensive rebound by L. Ridnour
2:53.0,,,71-65,,Turnover by T. Harris (bad pass; steal by J. Lin)
2:50.0,LA Lakers full timeout,,71-65,,
2:35.0,R. Kelly makes 3-pt shot from 25 ft (assist by N. Young),3,74-65,,
2:08.0,,,74-65,,L. Ridnour misses 3-pt shot from 30 ft
2:07.0,Defensive rebound by R. Kelly,,74-65,,
1:56.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,76-65,,
1:40.0,,,76-67,2,N. Vucevic makes 2-pt shot from 5 ft
1:27.0,C. Boozer makes 2-pt shot at rim,2,78-67,,
1:27.0,Shooting foul by N. Vucevic (drawn by C. Boozer),,78-67,,
1:27.0,,,78-67,,K. O'Quinn enters the game for N. Vucevic
1:27.0,C. Boozer misses free throw 1 of 1,,78-67,,
1:25.0,,,78-67,,Defensive rebound by T. Harris
1:11.0,Violation by E. Davis (kicked ball),,78-67,,
1:07.0,,,78-69,2,V. Oladipo makes 2-pt shot at rim (assist by K. O'Quinn)
0:47.0,N. Young misses 2-pt shot from 18 ft,,78-69,,
0:42.0,,,78-69,,Defensive rebound by K. O'Quinn
0:24.0,,,78-69,,L. Ridnour misses 2-pt shot from 10 ft
0:23.0,,,78-69,,Offensive rebound by K. O'Quinn
0:23.0,,,78-69,,K. O'Quinn misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by E. Davis,,78-69,,
0:00.0,J. Lin misses 2-pt shot from 18 ft,,78-69,,
