time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. R. Hibbert (D. Wade gains possession),,,,Jump ball: C. Bosh vs. R. Hibbert (D. Wade gains possession)
11:38.0,,,0-0,,Shooting foul by R. Hibbert (drawn by C. Bosh)
11:38.0,,,0-1,1,C. Bosh makes free throw 1 of 2
11:38.0,,,0-2,1,C. Bosh makes free throw 2 of 2
11:18.0,D. West misses 2-pt shot from 19 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by C. Andersen
11:08.0,,,0-2,,C. Bosh misses 3-pt shot from 24 ft
11:07.0,,,0-2,,Offensive rebound by C. Andersen
11:03.0,,,0-2,,D. Wade misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by D. West,,0-2,,
10:50.0,C. Miles makes 2-pt shot from 13 ft,2,2-2,,
10:34.0,,,2-2,,Turnover by D. Wade (lost ball; steal by C. Watson)
10:25.0,S. Hill misses 2-pt shot from 12 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by M. Chalmers
10:01.0,,,2-2,,D. Wade misses 2-pt shot from 12 ft
10:00.0,Defensive rebound by S. Hill,,2-2,,
9:55.0,Turnover by S. Hill (bad pass),,2-2,,
9:39.0,,,2-4,2,L. Deng makes 2-pt shot from 1 ft
9:18.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Hibbert),3,5-4,,
9:18.0,Shooting foul by L. Deng (drawn by C. Miles),,5-4,,
9:18.0,C. Miles makes free throw 1 of 1,1,6-4,,
9:06.0,,,6-6,2,D. Wade makes 2-pt shot from 9 ft
8:54.0,D. West makes 2-pt shot from 7 ft (assist by C. Miles),2,8-6,,
8:39.0,,,8-9,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
8:25.0,Turnover by D. West (bad pass; steal by M. Chalmers),,8-9,,
8:22.0,,,8-9,,Shooting foul by C. Watson (drawn by M. Chalmers)
8:22.0,,,8-10,1,M. Chalmers makes free throw 1 of 2
8:22.0,,,8-11,1,M. Chalmers makes free throw 2 of 2
8:04.0,D. West misses 2-pt shot from 15 ft,,8-11,,
8:03.0,,,8-11,,Defensive rebound by C. Andersen
7:52.0,,,8-13,2,C. Bosh makes 2-pt shot from 12 ft (assist by L. Deng)
7:34.0,Offensive foul by R. Hibbert,,8-13,,
7:34.0,Turnover by R. Hibbert (offensive foul),,8-13,,
7:34.0,I. Mahinmi enters the game for R. Hibbert,,8-13,,
7:25.0,,,8-13,,L. Deng misses 2-pt shot from 2 ft (block by I. Mahinmi)
7:24.0,Defensive rebound by S. Hill,,8-13,,
7:19.0,C. Miles misses 3-pt shot from 23 ft,,8-13,,
7:18.0,,,8-13,,Defensive rebound by L. Deng
7:06.0,,,8-13,,C. Bosh misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by D. West,,8-13,,
6:57.0,C. Miles makes 2-pt shot from 1 ft (assist by S. Hill),2,10-13,,
6:44.0,,,10-13,,C. Bosh misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by Team,,10-13,,
6:43.0,,,10-13,,Loose ball foul by C. Andersen (drawn by S. Hill)
6:43.0,,,10-13,,S. Napier enters the game for M. Chalmers
6:37.0,Shooting foul by S. Napier (drawn by C. Watson),,10-13,,
6:37.0,C. Watson makes free throw 1 of 2,1,11-13,,
6:37.0,,,11-13,,U. Haslem enters the game for C. Andersen
6:37.0,C. Watson makes free throw 2 of 2,1,12-13,,
6:22.0,,,12-15,2,C. Bosh makes 2-pt shot from 14 ft
6:02.0,C. Watson misses 3-pt shot from 25 ft,,12-15,,
