time,Houston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Noel (T. Jones gains possession),,,,Jump ball: D. Howard vs. N. Noel (T. Jones gains possession)
11:37.0,T. Jones makes 2-pt shot from 2 ft (assist by T. Ariza),2,2-0,,
11:14.0,,,2-0,,Turnover by T. Wroten (lost ball; steal by T. Jones)
11:10.0,Turnover by T. Jones (lost ball; steal by N. Noel),,2-0,,
11:08.0,,,2-2,2,N. Noel makes 2-pt shot at rim
10:47.0,I. Canaan misses 2-pt shot from 8 ft,,2-2,,
10:46.0,Offensive rebound by D. Howard,,2-2,,
10:46.0,,,2-2,,Personal foul by B. Davies (drawn by D. Howard)
10:30.0,D. Howard misses 2-pt shot from 2 ft,,2-2,,
10:28.0,Offensive rebound by D. Howard,,2-2,,
10:22.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,5-2,,
10:03.0,,,5-5,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by N. Noel)
9:55.0,Offensive foul by D. Howard,,5-5,,
9:55.0,Turnover by D. Howard (offensive foul),,5-5,,
9:39.0,,,5-5,,L. Mbah a Moute misses 2-pt shot from 13 ft (block by J. Harden)
9:38.0,,,5-5,,Offensive rebound by Team
9:37.0,,,5-5,,Turnover by L. Mbah a Moute (step out of bounds)
9:26.0,T. Ariza misses 2-pt shot from 19 ft,,5-5,,
9:24.0,Offensive rebound by D. Howard,,5-5,,
9:22.0,Shooting foul by L. Mbah a Moute (drawn by J. Harden),,5-5,,
9:22.0,J. Harden makes free throw 1 of 2,1,6-5,,
9:22.0,J. Harden makes free throw 2 of 2,1,7-5,,
9:05.0,,,7-5,,B. Davies misses 2-pt shot from 7 ft
9:04.0,Defensive rebound by J. Harden,,7-5,,
8:52.0,T. Jones misses 2-pt shot from 3 ft,,7-5,,
8:50.0,Offensive rebound by T. Jones,,7-5,,
8:50.0,T. Jones misses 2-pt shot from 2 ft,,7-5,,
8:49.0,,,7-5,,Defensive rebound by B. Davies
8:35.0,,,7-5,,T. Wroten misses 2-pt shot from 2 ft (block by D. Howard)
8:33.0,Defensive rebound by T. Jones,,7-5,,
8:26.0,I. Canaan misses 3-pt shot from 23 ft,,7-5,,
8:24.0,,,7-5,,Defensive rebound by H. Thompson
8:15.0,,,7-7,2,N. Noel makes 2-pt shot from 15 ft (assist by H. Thompson)
8:05.0,,,7-7,,Def 3 sec tech foul by H. Thompson
8:05.0,J. Harden makes technical free throw,1,8-7,,
8:01.0,T. Ariza makes 2-pt shot at rim (assist by D. Howard),2,10-7,,
7:50.0,,,10-7,,Turnover by T. Wroten (bad pass)
7:34.0,T. Jones misses 2-pt shot from 15 ft (block by B. Davies),,10-7,,
7:34.0,Offensive rebound by Team,,10-7,,
7:31.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,13-7,,
7:11.0,,,13-7,,N. Noel misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by J. Harden,,13-7,,
6:59.0,Turnover by J. Harden (bad pass; steal by N. Noel),,13-7,,
6:54.0,,,13-9,2,T. Wroten makes 2-pt shot at rim
6:44.0,T. Ariza makes 3-pt shot from 25 ft (assist by I. Canaan),3,16-9,,
6:42.0,,,16-9,,Philadelphia full timeout
6:42.0,,,16-9,,K. McDaniels enters the game for L. Mbah a Moute
6:25.0,,,16-9,,T. Wroten misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by J. Harden,,16-9,,
6:12.0,Turnover by J. Harden (bad pass; steal by T. Wroten),,16-9,,
6:07.0,,,16-11,2,B. Davies makes 2-pt shot from 1 ft (assist by T. Wroten)
5:44.0,T. Ariza makes 3-pt shot from 23 ft (assist by I. Canaan),3,19-11,,
5:35.0,,,19-14,3,B. Davies makes 3-pt shot from 24 ft (assist by K. McDaniels)
5:14.0,J. Harden misses 2-pt shot from 16 ft,,19-14,,
5:13.0,,,19-14,,Defensive rebound by K. McDaniels
5:08.0,Shooting block foul by I. Canaan (drawn by T. Wroten),,19-14,,
5:08.0,,,19-15,1,T. Wroten makes free throw 1 of 2
5:08.0,,,19-15,,H. Sims enters the game for B. Davies
5:08.0,,,19-15,,M. Thomas enters the game for H. Thompson
5:08.0,,,19-15,,C. Johnson enters the game for N. Noel
5:08.0,D. Motiejunas enters the game for D. Howard,,19-15,,
5:08.0,,,19-15,,T. Wroten misses free throw 2 of 2
5:07.0,Defensive rebound by J. Harden,,19-15,,
4:49.0,Turnover by T. Ariza (lost ball),,19-15,,
4:35.0,,,19-15,,C. Johnson misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by D. Motiejunas,,19-15,,
4:27.0,,,19-15,,A. Shved enters the game for T. Wroten
4:27.0,J. Terry enters the game for I. Canaan,,19-15,,
4:11.0,T. Jones misses 2-pt shot from 3 ft,,19-15,,
4:10.0,,,19-15,,Defensive rebound by H. Sims
3:53.0,,,19-17,2,M. Thomas makes 2-pt shot from 4 ft
3:39.0,,,19-17,,Violation by K. McDaniels (def goaltending)
3:39.0,J. Harden makes 2-pt shot from 1 ft,2,21-17,,
3:32.0,,,21-17,,Turnover by A. Shved (lost ball; steal by J. Terry)
3:20.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,24-17,,
3:02.0,,,24-17,,K. McDaniels misses 2-pt shot from 21 ft (block by T. Jones)
3:00.0,Defensive rebound by D. Motiejunas,,24-17,,
2:53.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,27-17,,
2:29.0,,,27-17,,K. McDaniels misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by T. Ariza,,27-17,,
2:21.0,J. Terry misses 2-pt shot from 9 ft,,27-17,,
2:18.0,Offensive rebound by T. Ariza,,27-17,,
2:16.0,J. Harden misses 3-pt shot from 23 ft,,27-17,,
2:14.0,Offensive rebound by T. Jones,,27-17,,
2:12.0,T. Jones misses 2-pt shot from 2 ft,,27-17,,
2:11.0,,,27-17,,Defensive rebound by H. Sims
2:09.0,Houston full timeout,,27-17,,
2:09.0,Personal foul by J. Terry (drawn by A. Shved),,27-17,,
2:09.0,I. Canaan enters the game for T. Ariza,,27-17,,
2:09.0,K. Papanikolaou enters the game for T. Jones,,27-17,,
2:09.0,D. Howard enters the game for J. Harden,,27-17,,
1:54.0,,,27-17,,A. Shved misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by D. Motiejunas,,27-17,,
1:45.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,29-17,,
