time,Memphis,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,M. Dunleavy misses 3-pt shot from 24 ft
12:00.0,Jump ball: M. Gasol vs. P. Gasol,,,,Jump ball: M. Gasol vs. P. Gasol
11:43.0,Defensive rebound by M. Conley,,0-0,,
12:00.0,Violation by Team (jump ball),,0-0,,
11:31.0,J. Green makes 2-pt shot from 3 ft,2,2-0,,
11:06.0,,,2-0,,A. Brooks misses 2-pt shot from 7 ft
11:05.0,,,2-0,,Offensive rebound by J. Noah
11:05.0,,,2-0,,J. Noah misses 2-pt shot from 1 ft
11:05.0,,,2-0,,Offensive rebound by J. Noah
11:05.0,,,2-0,,J. Noah misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by Team,,2-0,,
10:57.0,M. Conley misses 3-pt shot from 24 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by T. Snell
10:44.0,,,2-0,,P. Gasol misses 2-pt shot from 13 ft
10:43.0,Defensive rebound by Z. Randolph,,2-0,,
10:33.0,J. Green makes 3-pt shot from 25 ft (assist by C. Lee),3,5-0,,
10:13.0,,,5-0,,P. Gasol misses 2-pt shot from 10 ft
10:12.0,Defensive rebound by Z. Randolph,,5-0,,
10:04.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,7-0,,
9:44.0,,,7-2,2,A. Brooks makes 2-pt shot from 3 ft
9:22.0,Z. Randolph misses 2-pt shot from 20 ft,,7-2,,
9:21.0,,,7-2,,Defensive rebound by P. Gasol
9:06.0,,,7-2,,M. Dunleavy misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by Z. Randolph,,7-2,,
8:48.0,C. Lee makes 2-pt shot from 19 ft,2,9-2,,
8:29.0,,,9-4,2,A. Brooks makes 2-pt shot from 6 ft
8:13.0,C. Lee misses 2-pt shot from 2 ft,,9-4,,
8:12.0,,,9-4,,Defensive rebound by P. Gasol
8:06.0,,,9-4,,A. Brooks misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by J. Green,,9-4,,
7:52.0,M. Gasol misses 2-pt shot from 17 ft,,9-4,,
7:51.0,,,9-4,,Defensive rebound by M. Dunleavy
7:39.0,,,9-6,2,P. Gasol makes 2-pt shot from 14 ft
7:18.0,Z. Randolph makes 2-pt shot from 7 ft,2,11-6,,
7:03.0,,,11-8,2,T. Snell makes 2-pt shot from 10 ft
6:41.0,Z. Randolph misses 2-pt shot from 12 ft,,11-8,,
6:40.0,,,11-8,,Defensive rebound by P. Gasol
6:33.0,,,11-8,,Turnover by A. Brooks (lost ball; steal by M. Conley)
6:29.0,M. Conley makes 2-pt shot from 1 ft (assist by Z. Randolph),2,13-8,,
6:08.0,Personal foul by Z. Randolph (drawn by J. Noah),,13-8,,
6:08.0,T. Allen enters the game for J. Green,,13-8,,
6:03.0,,,13-10,2,A. Brooks makes 2-pt shot from 2 ft
5:44.0,Turnover by C. Lee (step out of bounds),,13-10,,
5:44.0,,,13-10,,Chicago full timeout
5:24.0,,,13-12,2,J. Noah makes 2-pt shot at rim (assist by P. Gasol)
4:57.0,M. Conley misses 3-pt shot from 25 ft,,13-12,,
4:56.0,,,13-12,,Defensive rebound by P. Gasol
4:39.0,,,13-12,,M. Dunleavy misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by M. Gasol,,13-12,,
4:31.0,Z. Randolph makes 2-pt shot from 8 ft,2,15-12,,
4:31.0,Shooting foul by P. Gasol (drawn by Z. Randolph),,15-12,,
4:31.0,,,15-12,,N. Mirotic enters the game for J. Noah
4:31.0,Z. Randolph misses free throw 1 of 1,,15-12,,
4:29.0,,,15-12,,Defensive rebound by N. Mirotic
4:10.0,,,15-14,2,P. Gasol makes 2-pt shot from 5 ft
3:48.0,Turnover by Z. Randolph (bad pass; steal by A. Brooks),,15-14,,
3:42.0,,,15-14,,T. Snell misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by M. Conley,,15-14,,
3:29.0,Z. Randolph misses 2-pt shot from 22 ft,,15-14,,
3:28.0,,,15-14,,Defensive rebound by P. Gasol
3:20.0,,,15-16,2,N. Mirotic makes 2-pt shot from 20 ft (assist by A. Brooks)
2:57.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,18-16,,
2:40.0,Memphis full timeout,,18-16,,
2:40.0,,,18-16,,K. Hinrich enters the game for A. Brooks
2:40.0,B. Udrih enters the game for Z. Randolph,,18-16,,
2:40.0,K. Koufos enters the game for M. Conley,,18-16,,
2:38.0,,,18-16,,Shooting foul by K. Koufos (drawn by P. Gasol)
2:38.0,,,18-18,2,P. Gasol makes 2-pt shot from 7 ft (assist by M. Dunleavy)
2:38.0,,,18-19,1,P. Gasol makes free throw 1 of 1
2:27.0,C. Lee misses 2-pt shot from 2 ft,,18-19,,
2:25.0,Offensive rebound by C. Lee,,18-19,,
2:16.0,Shooting foul by P. Gasol (drawn by M. Gasol),,18-19,,
2:16.0,M. Gasol makes free throw 1 of 2,1,19-19,,
2:16.0,,,19-19,,N. Mohammed enters the game for P. Gasol
2:16.0,M. Gasol makes free throw 2 of 2,1,20-19,,
1:56.0,,,20-19,,N. Mirotic misses 2-pt shot from 20 ft (block by M. Gasol)
1:53.0,Defensive rebound by B. Udrih,,20-19,,
1:37.0,Turnover by M. Gasol (bad pass; steal by M. Dunleavy),,20-19,,
1:33.0,,,20-19,,K. Hinrich misses 2-pt shot from 2 ft
1:30.0,,,20-19,,Offensive rebound by N. Mirotic
1:26.0,,,20-19,,Turnover by N. Mirotic (bad pass; steal by C. Lee)
1:22.0,T. Allen misses 2-pt shot from 2 ft,,20-19,,
1:21.0,,,20-19,,Defensive rebound by T. Snell
1:12.0,Violation by T. Allen (kicked ball),,20-19,,
1:12.0,J. Green enters the game for M. Gasol,,20-19,,
1:12.0,N. Calathes enters the game for C. Lee,,20-19,,
0:59.0,,,20-19,,N. Mohammed misses 2-pt shot from 17 ft
0:57.0,Defensive rebound by B. Udrih,,20-19,,
0:52.0,B. Udrih misses 2-pt shot from 21 ft,,20-19,,
0:52.0,,,20-19,,Defensive rebound by Team
0:52.0,Loose ball foul by T. Allen (drawn by N. Mohammed),,20-19,,
0:35.0,,,20-19,,T. Snell misses 2-pt shot from 7 ft
0:34.0,Defensive rebound by B. Udrih,,20-19,,
0:25.0,K. Koufos makes 2-pt shot from 19 ft (assist by B. Udrih),2,22-19,,
0:02.0,Personal foul by N. Calathes (drawn by T. Snell),,22-19,,
0:02.0,,,22-20,1,T. Snell makes free throw 1 of 2
0:02.0,,,22-20,,T. Snell misses free throw 2 of 2
0:01.0,,,22-20,,Offensive rebound by N. Mohammed
0:00.0,,,22-22,2,N. Mohammed makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Calathes misses 2-pt shot from 7 ft,,22-22,,
11:47.0,,,22-22,,Defensive rebound by N. Mirotic
11:28.0,,,22-22,,Shooting foul by J. Green (drawn by N. Mirotic)
11:28.0,,,22-23,1,N. Mirotic makes free throw 1 of 2
11:28.0,,,22-24,1,N. Mirotic makes free throw 2 of 2
11:14.0,B. Udrih makes 2-pt shot from 19 ft (assist by N. Calathes),2,24-24,,
11:00.0,,,24-24,,Turnover by K. Hinrich (bad pass; steal by T. Allen)
10:57.0,T. Allen makes 2-pt shot from 2 ft (assist by B. Udrih),2,26-24,,
10:40.0,,,26-26,2,K. Hinrich makes 2-pt shot from 20 ft
10:16.0,K. Koufos misses 2-pt shot from 5 ft,,26-26,,
10:15.0,,,26-26,,Defensive rebound by N. Mohammed
10:05.0,,,26-26,,N. Mirotic misses 2-pt shot from 5 ft
10:04.0,Defensive rebound by K. Koufos,,26-26,,
9:55.0,T. Allen makes 2-pt shot at rim (assist by K. Koufos),2,28-26,,
9:43.0,,,28-26,,Chicago full timeout
9:43.0,,,28-26,,J. Noah enters the game for N. Mohammed
9:43.0,V. Carter enters the game for T. Allen,,28-26,,
9:34.0,,,28-26,,D. McDermott misses 2-pt shot from 2 ft (block by K. Koufos)
9:32.0,,,28-26,,Offensive rebound by D. McDermott
9:30.0,,,28-26,,D. McDermott misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by K. Koufos,,28-26,,
9:19.0,Turnover by N. Calathes (bad pass),,28-26,,
9:19.0,,,28-26,,E. Moore enters the game for T. Snell
8:55.0,,,28-26,,K. Hinrich misses 2-pt shot from 8 ft
8:55.0,Defensive rebound by Team,,28-26,,
8:41.0,B. Udrih misses 2-pt shot from 16 ft,,28-26,,
8:38.0,,,28-26,,Defensive rebound by J. Noah
8:28.0,,,28-26,,Turnover by J. Noah (lost ball; steal by B. Udrih)
8:18.0,J. Green makes 2-pt shot from 3 ft,2,30-26,,
8:11.0,,,30-26,,Chicago full timeout
8:11.0,,,30-26,,A. Brooks enters the game for K. Hinrich
7:52.0,,,30-26,,Turnover by A. Brooks (bad pass; steal by K. Koufos)
7:47.0,N. Calathes misses 2-pt shot from 2 ft,,30-26,,
7:46.0,,,30-26,,Defensive rebound by D. McDermott
7:26.0,,,30-29,3,N. Mirotic makes 3-pt shot from 23 ft (assist by A. Brooks)
7:08.0,J. Green misses 2-pt shot from 14 ft,,30-29,,
7:07.0,,,30-29,,Defensive rebound by A. Brooks
7:01.0,,,30-29,,Turnover by J. Noah (bad pass)
7:01.0,,,30-29,,M. Dunleavy enters the game for D. McDermott
7:01.0,M. Conley enters the game for N. Calathes,,30-29,,
6:45.0,J. Green misses 2-pt shot from 2 ft,,30-29,,
6:44.0,,,30-29,,Defensive rebound by A. Brooks
6:38.0,,,30-29,,M. Dunleavy misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by J. Green,,30-29,,
6:24.0,V. Carter misses 3-pt shot from 25 ft,,30-29,,
6:23.0,,,30-29,,Defensive rebound by J. Noah
6:11.0,,,30-32,3,E. Moore makes 3-pt shot from 23 ft (assist by A. Brooks)
5:51.0,V. Carter makes 2-pt shot from 19 ft,2,32-32,,
5:35.0,,,32-32,,Turnover by N. Mirotic (lost ball; steal by M. Conley)
5:24.0,Memphis full timeout,,32-32,,
5:24.0,M. Gasol enters the game for B. Udrih,,32-32,,
5:24.0,C. Lee enters the game for K. Koufos,,32-32,,
5:16.0,Turnover by V. Carter (bad pass; steal by N. Mirotic),,32-32,,
4:59.0,,,32-32,,N. Mirotic misses 2-pt shot from 2 ft
4:58.0,Defensive rebound by M. Gasol,,32-32,,
4:51.0,V. Carter makes 3-pt shot from 24 ft (assist by C. Lee),3,35-32,,
4:33.0,,,35-32,,A. Brooks misses 2-pt shot from 12 ft
4:32.0,,,35-32,,Offensive rebound by N. Mirotic
4:32.0,,,35-32,,Shooting foul by M. Gasol (drawn by N. Mirotic)
4:32.0,,,35-32,,N. Mirotic misses free throw 1 of 2
4:32.0,,,35-32,,Offensive rebound by Team
4:32.0,Z. Randolph enters the game for J. Green,,35-32,,
4:32.0,,,35-32,,P. Gasol enters the game for J. Noah
4:32.0,,,35-33,1,N. Mirotic makes free throw 2 of 2
4:17.0,V. Carter misses 2-pt shot from 10 ft (block by M. Dunleavy),,35-33,,
4:15.0,Jump ball: V. Carter vs. M. Dunleavy (M. Conley gains possession),,,,Jump ball: V. Carter vs. M. Dunleavy (M. Conley gains possession)
4:15.0,Offensive rebound by Team,,35-33,,
4:08.0,M. Conley misses 2-pt shot from 12 ft,,35-33,,
4:07.0,,,35-33,,Defensive rebound by N. Mirotic
4:00.0,,,35-33,,N. Mirotic misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by M. Conley,,35-33,,
3:58.0,Turnover by M. Conley (bad pass),,35-33,,
3:37.0,,,35-33,,P. Gasol misses 2-pt shot from 14 ft
3:36.0,Defensive rebound by V. Carter,,35-33,,
3:26.0,M. Conley misses 3-pt shot from 25 ft,,35-33,,
3:26.0,Offensive rebound by Team,,35-33,,
3:26.0,,,35-33,,Loose ball foul by N. Mirotic (drawn by Z. Randolph)
3:21.0,V. Carter makes 2-pt shot from 1 ft,2,37-33,,
3:03.0,,,37-35,2,E. Moore makes 2-pt shot from 10 ft (assist by P. Gasol)
2:52.0,Z. Randolph makes 2-pt shot at rim (assist by M. Conley),2,39-35,,
2:44.0,,,39-35,,Chicago full timeout
2:44.0,T. Allen enters the game for V. Carter,,39-35,,
2:34.0,,,39-35,,Turnover by M. Dunleavy (bad pass; steal by T. Allen)
2:15.0,M. Conley misses 2-pt shot from 17 ft,,39-35,,
2:14.0,,,39-35,,Defensive rebound by P. Gasol
2:04.0,,,39-35,,P. Gasol misses 2-pt shot from 20 ft
2:03.0,,,39-35,,Offensive rebound by A. Brooks
2:01.0,,,39-35,,Turnover by A. Brooks (lost ball; steal by M. Conley)
1:57.0,M. Conley makes 2-pt shot from 2 ft,2,41-35,,
1:31.0,,,41-37,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
1:08.0,C. Lee misses 2-pt shot from 17 ft,,41-37,,
1:07.0,,,41-37,,Defensive rebound by N. Mirotic
0:59.0,,,41-37,,A. Brooks misses 2-pt shot from 3 ft (block by M. Conley)
0:59.0,,,41-37,,Offensive rebound by Team
0:59.0,,,41-37,,J. Noah enters the game for N. Mirotic
0:52.0,,,41-39,2,P. Gasol makes 2-pt shot at rim (assist by J. Noah)
0:27.0,M. Gasol misses 2-pt shot from 20 ft,,41-39,,
0:26.0,,,41-39,,Defensive rebound by A. Brooks
0:04.0,,,41-39,,A. Brooks misses 2-pt shot from 3 ft (block by C. Lee)
0:01.0,,,41-39,,Offensive rebound by J. Noah
0:01.0,,,41-39,,Turnover by Team (shot clock)
0:01.0,V. Carter enters the game for T. Allen,,41-39,,
0:00.0,Z. Randolph misses 3-pt shot from 41 ft,,41-39,,
0:00.0,Offensive rebound by Team,,41-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,43-39,,
11:13.0,,,43-41,2,A. Brooks makes 2-pt shot from 9 ft
10:59.0,M. Conley misses 2-pt shot from 2 ft,,43-41,,
10:58.0,,,43-41,,Defensive rebound by P. Gasol
10:52.0,,,43-41,,A. Brooks misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by Z. Randolph,,43-41,,
10:31.0,M. Gasol makes 2-pt shot from 11 ft,2,45-41,,
10:10.0,,,45-43,2,P. Gasol makes 2-pt shot from 20 ft (assist by A. Brooks)
9:57.0,,,45-43,,Personal foul by A. Brooks (drawn by M. Conley)
9:45.0,Z. Randolph makes 2-pt shot from 15 ft (assist by J. Green),2,47-43,,
9:19.0,,,47-43,,Turnover by M. Dunleavy (bad pass)
9:10.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Conley),2,49-43,,
8:52.0,,,49-43,,T. Snell misses 2-pt shot from 17 ft
8:50.0,Defensive rebound by C. Lee,,49-43,,
8:40.0,Z. Randolph makes 2-pt shot from 3 ft,2,51-43,,
8:22.0,,,51-43,,A. Brooks misses 2-pt shot from 15 ft
8:22.0,Defensive rebound by Team,,51-43,,
8:09.0,M. Gasol misses 2-pt shot from 15 ft,,51-43,,
8:08.0,,,51-43,,Defensive rebound by M. Dunleavy
8:00.0,,,51-43,,M. Dunleavy misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by Z. Randolph,,51-43,,
7:52.0,M. Conley misses 2-pt shot from 12 ft,,51-43,,
7:51.0,,,51-43,,Defensive rebound by J. Noah
7:43.0,,,51-43,,P. Gasol misses 2-pt shot from 6 ft (block by M. Gasol)
7:43.0,Defensive rebound by M. Conley,,51-43,,
7:43.0,,,51-43,,Personal foul by A. Brooks (drawn by M. Conley)
7:22.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,54-43,,
7:05.0,,,54-45,2,A. Brooks makes 2-pt shot from 2 ft
6:49.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,56-45,,
6:37.0,,,56-45,,Shooting foul by Z. Randolph (drawn by A. Brooks)
6:37.0,,,56-46,1,A. Brooks makes free throw 1 of 2
6:37.0,,,56-47,1,A. Brooks makes free throw 2 of 2
6:24.0,J. Green makes 2-pt shot from 20 ft,2,58-47,,
6:10.0,,,58-50,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah)
5:46.0,M. Gasol misses 2-pt shot from 12 ft,,58-50,,
5:44.0,,,58-50,,Defensive rebound by P. Gasol
5:39.0,,,58-53,3,A. Brooks makes 3-pt shot from 24 ft
5:21.0,M. Conley misses 3-pt shot from 24 ft,,58-53,,
5:20.0,,,58-53,,Defensive rebound by J. Noah
5:16.0,,,58-53,,Shooting foul by M. Gasol (drawn by J. Noah)
5:16.0,,,58-53,,Chicago full timeout
5:16.0,T. Allen enters the game for J. Green,,58-53,,
5:16.0,,,58-53,,J. Noah misses free throw 1 of 2
5:16.0,,,58-53,,Offensive rebound by Team
5:16.0,,,58-54,1,J. Noah makes free throw 2 of 2
5:09.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,60-54,,
4:52.0,,,60-56,2,T. Snell makes 2-pt shot at rim (assist by J. Noah)
4:35.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,62-56,,
4:35.0,Shooting foul by J. Noah (drawn by M. Gasol),,62-56,,
4:35.0,,,62-56,,N. Mohammed enters the game for J. Noah
4:35.0,B. Udrih enters the game for M. Conley,,62-56,,
4:35.0,M. Gasol makes free throw 1 of 1,1,63-56,,
4:18.0,,,63-56,,Shooting foul by Z. Randolph (drawn by T. Snell)
4:18.0,,,63-57,1,T. Snell makes free throw 1 of 2
4:18.0,,,63-58,1,T. Snell makes free throw 2 of 2
4:04.0,M. Gasol makes 2-pt shot from 14 ft (assist by B. Udrih),2,65-58,,
3:51.0,,,65-58,,P. Gasol misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by B. Udrih,,65-58,,
3:44.0,M. Gasol makes 2-pt shot from 3 ft (assist by B. Udrih),2,67-58,,
3:43.0,,,67-58,,Chicago full timeout
