time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Jefferson (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. A. Jefferson (S. Larkin gains possession)
11:37.0,,,0-2,2,C. Anthony makes 2-pt shot from 15 ft (assist by Q. Acy)
11:09.0,M. Williams misses 3-pt shot from 25 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by S. Dalembert
10:57.0,,,0-4,2,I. Shumpert makes 2-pt shot from 19 ft (assist by C. Anthony)
10:48.0,Turnover by M. Williams (bad pass; steal by C. Anthony),,0-4,,
10:44.0,,,0-4,,C. Anthony misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
10:43.0,,,0-4,,Offensive rebound by Team
10:39.0,,,0-4,,I. Shumpert misses 2-pt shot from 17 ft
10:38.0,,,0-4,,Offensive rebound by S. Dalembert
10:36.0,,,0-4,,Turnover by S. Dalembert (bad pass; steal by L. Stephenson)
10:30.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,2-4,,
10:17.0,,,2-4,,I. Shumpert misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by A. Jefferson,,2-4,,
10:09.0,,,2-4,,Personal foul by I. Shumpert (drawn by L. Stephenson)
10:03.0,Turnover by K. Walker (lost ball; steal by S. Larkin),,2-4,,
9:59.0,,,2-4,,I. Shumpert misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by L. Stephenson,,2-4,,
9:39.0,Turnover by A. Jefferson (bad pass),,2-4,,
9:29.0,,,2-4,,Shooting foul by L. Stephenson (drawn by I. Shumpert)
9:29.0,,,2-5,1,I. Shumpert makes free throw 1 of 2
9:29.0,,,2-6,1,I. Shumpert makes free throw 2 of 2
9:16.0,M. Williams makes 3-pt shot from 24 ft (assist by L. Stephenson),3,5-6,,
8:58.0,,,5-9,3,S. Larkin makes 3-pt shot from 24 ft (assist by I. Shumpert)
8:26.0,L. Stephenson misses 3-pt shot from 22 ft,,5-9,,
8:25.0,,,5-9,,Defensive rebound by Team
8:11.0,,,5-12,3,I. Shumpert makes 3-pt shot from 27 ft (assist by S. Larkin)
7:49.0,A. Jefferson misses 2-pt shot from 15 ft,,5-12,,
7:48.0,,,5-12,,Defensive rebound by S. Larkin
7:42.0,,,5-15,3,C. Anthony makes 3-pt shot from 25 ft (assist by S. Larkin)
7:35.0,Charlotte full timeout,,5-15,,
7:21.0,A. Jefferson misses 2-pt shot from 4 ft,,5-15,,
7:18.0,Offensive rebound by Team,,5-15,,
7:18.0,Charlotte full timeout,,5-15,,
