time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. D. Jordan (C. Paul gains possession),,,,Jump ball: G. Dieng vs. D. Jordan (C. Paul gains possession)
11:35.0,S. Hawes misses 3-pt shot from 25 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by G. Neal
11:19.0,,,0-0,,K. Garnett misses 2-pt shot from 17 ft
11:18.0,,,0-0,,Offensive rebound by G. Dieng
11:06.0,,,0-2,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
10:49.0,D. Jordan makes 2-pt shot at rim (assist by S. Hawes),2,2-2,,
10:31.0,,,2-2,,G. Neal misses 2-pt shot from 18 ft
10:30.0,Defensive rebound by D. Jordan,,2-2,,
10:17.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,5-2,,
9:50.0,,,5-2,,R. Rubio misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by S. Hawes,,5-2,,
9:45.0,Turnover by J. Redick (bad pass; steal by G. Dieng),,5-2,,
9:38.0,,,5-2,,A. Wiggins misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by S. Hawes,,5-2,,
9:31.0,J. Hamilton misses 3-pt shot from 24 ft,,5-2,,
9:30.0,,,5-2,,Defensive rebound by G. Dieng
9:13.0,Personal foul by J. Hamilton (drawn by A. Wiggins),,5-2,,
9:05.0,,,5-2,,A. Wiggins misses 2-pt shot from 11 ft
9:04.0,Defensive rebound by D. Jordan,,5-2,,
8:42.0,J. Hamilton makes 2-pt shot from 3 ft (assist by C. Paul),2,7-2,,
8:31.0,,,7-4,2,K. Garnett makes 2-pt shot from 19 ft (assist by G. Neal)
8:20.0,Turnover by D. Jordan (lost ball; steal by R. Rubio),,7-4,,
8:19.0,,,7-4,,Minnesota full timeout
8:07.0,,,7-6,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
7:52.0,S. Hawes makes 3-pt shot from 25 ft (assist by C. Paul),3,10-6,,
7:36.0,,,10-6,,K. Garnett misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by Team,,10-6,,
7:23.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,12-6,,
7:01.0,,,12-8,2,G. Dieng makes 2-pt shot from 13 ft
6:43.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,15-8,,
6:30.0,,,15-10,2,G. Dieng makes 2-pt shot from 2 ft (assist by G. Neal)
6:17.0,,,15-10,,Personal foul by K. Garnett (drawn by J. Redick)
6:09.0,Shooting foul by G. Neal (drawn by D. Jordan),,15-10,,
6:09.0,D. Jordan misses free throw 1 of 2,,15-10,,
6:09.0,Offensive rebound by Team,,15-10,,
6:09.0,D. Jordan misses free throw 2 of 2,,15-10,,
6:08.0,Offensive rebound by J. Redick,,15-10,,
5:59.0,S. Hawes misses 2-pt shot from 14 ft,,15-10,,
5:58.0,,,15-10,,Defensive rebound by G. Neal
5:47.0,,,15-12,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
5:32.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,17-12,,
5:30.0,,,17-12,,Minnesota full timeout
5:30.0,,,17-12,,A. Payne enters the game for K. Garnett
5:18.0,,,17-12,,A. Wiggins misses 2-pt shot from 20 ft
5:17.0,Defensive rebound by J. Redick,,17-12,,
5:10.0,J. Redick misses 3-pt shot from 25 ft,,17-12,,
5:09.0,Offensive rebound by D. Jordan,,17-12,,
5:07.0,Turnover by D. Jordan (lost ball; steal by A. Wiggins),,17-12,,
5:01.0,,,17-14,2,A. Wiggins makes 2-pt shot from 1 ft
4:49.0,C. Paul makes 2-pt shot from 20 ft,2,19-14,,
4:35.0,,,19-16,2,R. Rubio makes 2-pt shot from 17 ft
4:17.0,C. Paul makes 2-pt shot from 6 ft,2,21-16,,
4:03.0,,,21-16,,G. Neal misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by C. Paul,,21-16,,
3:56.0,J. Hamilton makes 3-pt shot from 24 ft (assist by C. Paul),3,24-16,,
3:33.0,,,24-16,,A. Payne misses 2-pt shot from 11 ft
3:31.0,Defensive rebound by J. Hamilton,,24-16,,
3:23.0,C. Paul makes 2-pt shot from 16 ft,2,26-16,,
3:04.0,,,26-16,,Turnover by A. Payne (bad pass; steal by C. Paul)
3:00.0,C. Paul makes 2-pt shot from 2 ft,2,28-16,,
3:00.0,,,28-16,,Minnesota full timeout
3:00.0,J. Crawford enters the game for J. Hamilton,,28-16,,
3:00.0,G. Davis enters the game for S. Hawes,,28-16,,
2:45.0,,,28-16,,G. Neal misses 2-pt shot from 17 ft
2:44.0,Defensive rebound by J. Crawford,,28-16,,
2:38.0,D. Jordan misses 2-pt shot at rim,,28-16,,
2:37.0,,,28-16,,Defensive rebound by R. Rubio
2:31.0,A. Rivers enters the game for J. Redick,,28-16,,
2:28.0,,,28-18,2,G. Neal makes 2-pt shot from 15 ft (assist by A. Wiggins)
2:13.0,C. Paul misses 2-pt shot from 18 ft,,28-18,,
2:12.0,,,28-18,,Defensive rebound by G. Neal
