time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Hill (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Hill (J. Holiday gains possession)
11:39.0,A. Davis misses 2-pt shot from 3 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Bryant
11:30.0,,,0-2,2,K. Bryant makes 2-pt shot from 18 ft
11:12.0,Turnover by T. Evans (bad pass; steal by R. Price),,0-2,,
11:03.0,,,0-2,,K. Bryant misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by Team,,0-2,,
10:46.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,2-2,,
10:23.0,,,2-5,3,R. Price makes 3-pt shot from 24 ft (assist by K. Bryant)
10:01.0,L. Babbitt misses 3-pt shot from 26 ft,,2-5,,
10:00.0,,,2-5,,Defensive rebound by E. Davis
9:39.0,,,2-5,,K. Bryant misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by L. Babbitt,,2-5,,
9:31.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,4-5,,
9:16.0,,,4-7,2,E. Davis makes 2-pt shot at rim (assist by W. Johnson)
8:59.0,,,4-7,,Personal foul by W. Johnson (drawn by T. Evans)
8:48.0,O. Asik makes 2-pt shot from 2 ft (assist by T. Evans),2,6-7,,
8:33.0,,,6-7,,J. Hill misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by A. Davis,,6-7,,
8:25.0,O. Asik misses 2-pt shot from 1 ft (block by J. Hill),,6-7,,
8:22.0,Offensive rebound by O. Asik,,6-7,,
8:11.0,J. Holiday misses 2-pt shot from 3 ft,,6-7,,
8:09.0,,,6-7,,Defensive rebound by J. Hill
7:53.0,,,6-7,,K. Bryant misses 2-pt shot from 9 ft
7:52.0,Defensive rebound by O. Asik,,6-7,,
7:46.0,L. Babbitt makes 3-pt shot from 26 ft (assist by T. Evans),3,9-7,,
7:26.0,,,9-7,,R. Price misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by O. Asik,,9-7,,
7:24.0,A. Davis makes 2-pt shot from 3 ft (assist by T. Evans),2,11-7,,
7:12.0,,,11-7,,J. Hill misses 2-pt shot from 22 ft
7:10.0,Defensive rebound by T. Evans,,11-7,,
7:04.0,Turnover by T. Evans (bad pass),,11-7,,
6:52.0,,,11-7,,R. Price misses 2-pt shot from 2 ft
6:51.0,,,11-7,,Offensive rebound by E. Davis
6:49.0,,,11-7,,E. Davis misses 2-pt shot from 1 ft (block by A. Davis)
6:47.0,,,11-7,,Offensive rebound by J. Hill
6:46.0,,,11-7,,J. Hill misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by A. Davis,,11-7,,
6:31.0,T. Evans misses 3-pt shot from 25 ft,,11-7,,
6:29.0,Offensive rebound by O. Asik,,11-7,,
6:24.0,J. Holiday makes 3-pt shot from 24 ft,3,14-7,,
6:05.0,,,14-9,2,J. Hill makes 2-pt shot from 17 ft (assist by R. Price)
5:57.0,,,14-9,,LA Lakers full timeout
5:51.0,Offensive foul by A. Davis,,14-9,,
5:51.0,Turnover by A. Davis (offensive foul),,14-9,,
5:39.0,,,14-9,,W. Johnson misses 2-pt shot from 19 ft
5:39.0,,,14-9,,Offensive rebound by Team
5:32.0,,,14-11,2,K. Bryant makes 2-pt shot from 20 ft
5:21.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,16-11,,
4:59.0,,,16-13,2,W. Johnson makes 2-pt shot from 20 ft (assist by K. Bryant)
4:45.0,Turnover by J. Holiday (bad pass; steal by J. Hill),,16-13,,
4:35.0,,,16-13,,C. Boozer enters the game for J. Hill
4:35.0,,,16-13,,N. Young enters the game for W. Johnson
4:25.0,,,16-13,,K. Bryant misses 2-pt shot from 21 ft
4:24.0,,,16-13,,Offensive rebound by C. Boozer
4:21.0,,,16-13,,N. Young misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by Team,,16-13,,
4:04.0,J. Holiday misses 2-pt shot from 20 ft,,16-13,,
4:03.0,,,16-13,,Defensive rebound by K. Bryant
3:55.0,,,16-13,,N. Young misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by T. Evans,,16-13,,
