time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Thompson,,,,Jump ball: J. Nurkic vs. J. Thompson
11:36.0,,,0-0,,B. McLemore misses 3-pt shot from 23 ft
11:36.0,,,0-0,,Offensive rebound by D. Cousins
11:29.0,,,0-0,,D. Cousins misses 2-pt shot from 4 ft
11:27.0,,,0-0,,Offensive rebound by D. Cousins
11:27.0,,,0-2,2,D. Cousins makes 2-pt shot from 3 ft
11:09.0,A. Afflalo makes 2-pt shot from 21 ft (assist by T. Lawson),2,2-2,,
10:52.0,,,2-2,,Turnover by B. McLemore (traveling)
10:33.0,Turnover by A. Afflalo (bad pass),,2-2,,
10:16.0,,,2-4,2,D. Cousins makes 2-pt shot from 19 ft
10:06.0,T. Lawson misses 2-pt shot from 16 ft,,2-4,,
10:06.0,,,2-4,,Defensive rebound by Team
10:06.0,Loose ball foul by J. Nurkic (drawn by D. Cousins),,2-4,,
9:50.0,,,2-4,,R. Gay misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by T. Lawson,,2-4,,
9:41.0,J. Nurkic makes 2-pt shot from 5 ft (assist by T. Lawson),2,4-4,,
9:25.0,,,4-6,2,J. Thompson makes 2-pt shot from 7 ft (assist by D. Collison)
9:09.0,J. Nurkic makes 2-pt shot from 5 ft,2,6-6,,
8:48.0,,,6-6,,J. Thompson misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by J. Nurkic,,6-6,,
8:34.0,A. Afflalo makes 2-pt shot from 15 ft,2,8-6,,
8:13.0,,,8-6,,D. Cousins misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by D. Arthur,,8-6,,
8:00.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,11-6,,
7:55.0,,,11-6,,Sacramento full timeout
7:45.0,,,11-8,2,D. Cousins makes 2-pt shot from 1 ft
7:29.0,A. Afflalo misses 3-pt shot from 23 ft,,11-8,,
