time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (K. Irving gains possession)
11:43.0,J. Smith misses 2-pt shot from 19 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Bradley
11:19.0,,,0-0,,A. Bradley misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by L. James,,0-0,,
11:11.0,L. James makes 2-pt shot from 2 ft,2,2-0,,
10:51.0,,,2-0,,A. Bradley misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by L. James,,2-0,,
10:42.0,L. James makes 2-pt shot from 1 ft,2,4-0,,
10:21.0,,,4-0,,E. Turner misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by T. Mozgov,,4-0,,
10:05.0,J. Smith misses 3-pt shot from 26 ft,,4-0,,
10:04.0,,,4-0,,Defensive rebound by E. Turner
9:58.0,,,4-2,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
9:37.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,7-2,,
9:25.0,,,7-2,,E. Turner misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by K. Love,,7-2,,
9:18.0,L. James misses 3-pt shot from 27 ft,,7-2,,
9:17.0,,,7-2,,Defensive rebound by T. Zeller
9:10.0,,,7-5,3,M. Smart makes 3-pt shot from 26 ft (assist by E. Turner)
8:49.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,9-5,,
8:26.0,,,9-7,2,B. Bass makes 2-pt shot from 5 ft
8:14.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,11-7,,
8:14.0,Shooting foul by T. Zeller (drawn by T. Mozgov),,11-7,,
8:14.0,T. Mozgov makes free throw 1 of 1,1,12-7,,
7:56.0,,,12-9,2,M. Smart makes 2-pt shot from 2 ft
7:56.0,,,12-9,,Shooting foul by K. Irving (drawn by M. Smart)
7:56.0,,,12-10,1,M. Smart makes free throw 1 of 1
7:42.0,Shooting foul by E. Turner (drawn by K. Love),,12-10,,
7:42.0,K. Love misses free throw 1 of 2,,12-10,,
7:42.0,Offensive rebound by Team,,12-10,,
7:42.0,K. Love makes free throw 2 of 2,1,13-10,,
7:27.0,,,13-10,,A. Bradley misses 2-pt shot from 9 ft
7:26.0,Defensive rebound by T. Mozgov,,13-10,,
7:16.0,K. Love misses 3-pt shot from 23 ft,,13-10,,
7:14.0,,,13-10,,Defensive rebound by B. Bass
7:08.0,,,13-10,,Turnover by E. Turner (offensive goaltending)
7:08.0,Violation by Team (delay of game),,13-10,,
7:04.0,L. James makes 2-pt shot from 7 ft (assist by K. Love),2,15-10,,
7:04.0,,,15-10,,Boston full timeout
6:45.0,,,15-13,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
6:27.0,K. Love misses 2-pt shot from 5 ft,,15-13,,
6:26.0,,,15-13,,Defensive rebound by E. Turner
6:17.0,,,15-13,,J. Sullinger enters the game for T. Zeller
6:17.0,,,15-13,,I. Thomas enters the game for M. Smart
6:08.0,,,15-15,2,J. Sullinger makes 2-pt shot from 2 ft (assist by E. Turner)
5:44.0,K. Love makes 2-pt shot from 7 ft,2,17-15,,
5:25.0,,,17-15,,I. Thomas misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by Team,,17-15,,
5:19.0,Shooting foul by I. Thomas (drawn by K. Irving),,17-15,,
5:19.0,K. Irving makes free throw 1 of 2,1,18-15,,
5:19.0,K. Irving makes free throw 2 of 2,1,19-15,,
5:05.0,,,19-17,2,A. Bradley makes 2-pt shot from 20 ft (assist by B. Bass)
4:50.0,L. James misses 2-pt shot from 1 ft,,19-17,,
4:49.0,Offensive rebound by J. Smith,,19-17,,
4:44.0,L. James misses 2-pt shot from 2 ft (block by J. Sullinger),,19-17,,
4:43.0,,,19-17,,Defensive rebound by J. Sullinger
4:41.0,,,19-17,,A. Bradley misses 2-pt shot at rim
4:40.0,Defensive rebound by T. Mozgov,,19-17,,
4:40.0,,,19-17,,Personal foul by A. Bradley (drawn by T. Mozgov)
4:40.0,,,19-17,,J. Crowder enters the game for E. Turner
4:17.0,L. James misses 2-pt shot from 1 ft,,19-17,,
4:16.0,,,19-17,,Defensive rebound by J. Sullinger
4:09.0,,,19-17,,A. Bradley misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by K. Irving,,19-17,,
4:04.0,T. Thompson enters the game for T. Mozgov,,19-17,,
3:53.0,K. Irving misses 3-pt shot from 26 ft,,19-17,,
3:52.0,,,19-17,,Defensive rebound by J. Sullinger
3:43.0,,,19-17,,J. Sullinger misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by L. James,,19-17,,
3:28.0,K. Love misses 3-pt shot from 23 ft,,19-17,,
3:27.0,Offensive rebound by T. Thompson,,19-17,,
3:27.0,Shooting foul by J. Sullinger (drawn by K. Love),,19-17,,
3:27.0,K. Love misses free throw 1 of 2,,19-17,,
3:27.0,Offensive rebound by Team,,19-17,,
3:27.0,,,19-17,,L. Datome enters the game for A. Bradley
3:27.0,I. Shumpert enters the game for L. James,,19-17,,
3:27.0,K. Love misses free throw 2 of 2,,19-17,,
3:27.0,,,19-17,,Defensive rebound by J. Crowder
3:11.0,,,19-17,,Shooting foul by T. Thompson (drawn by J. Sullinger)
3:11.0,,,19-18,1,J. Sullinger makes free throw 1 of 2
3:11.0,,,19-19,1,J. Sullinger makes free throw 2 of 2
2:58.0,K. Love makes 3-pt shot from 26 ft (assist by K. Irving),3,22-19,,
2:44.0,,,22-19,,L. Datome misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by K. Love,,22-19,,
2:31.0,I. Shumpert makes 2-pt shot from 10 ft,2,24-19,,
2:16.0,,,24-19,,I. Thomas misses 2-pt shot at rim
2:15.0,,,24-19,,Offensive rebound by J. Sullinger
2:15.0,,,24-21,2,J. Sullinger makes 2-pt shot from 2 ft
2:03.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Love),2,26-21,,
1:50.0,,,26-21,,J. Crowder misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by K. Love,,26-21,,
1:42.0,Shooting foul by J. Sullinger (drawn by T. Thompson),,26-21,,
1:42.0,Cleveland full timeout,,26-21,,
1:42.0,,,26-21,,J. Jerebko enters the game for B. Bass
1:42.0,T. Thompson misses free throw 1 of 2,,26-21,,
1:42.0,Offensive rebound by Team,,26-21,,
1:42.0,T. Thompson misses free throw 2 of 2,,26-21,,
1:42.0,,,26-21,,Defensive rebound by J. Jerebko
1:20.0,,,26-21,,L. Datome misses 2-pt shot from 6 ft
1:19.0,Defensive rebound by Team,,26-21,,
1:15.0,,,26-21,,Personal foul by J. Jerebko (drawn by T. Thompson)
1:15.0,T. Thompson misses free throw 1 of 2,,26-21,,
1:15.0,Offensive rebound by Team,,26-21,,
1:15.0,T. Thompson makes free throw 2 of 2,1,27-21,,
1:01.0,,,27-23,2,I. Thomas makes 2-pt shot from 18 ft
0:44.0,J. Smith makes 2-pt shot from 19 ft,2,29-23,,
0:30.0,,,29-25,2,L. Datome makes 2-pt shot from 8 ft (assist by J. Crowder)
0:22.0,,,29-25,,Personal foul by L. Datome (drawn by T. Thompson)
0:22.0,T. Thompson makes free throw 1 of 2,1,30-25,,
0:22.0,,,30-25,,K. Olynyk enters the game for J. Sullinger
0:22.0,M. Dellavedova enters the game for K. Irving,,30-25,,
0:22.0,J. Jones enters the game for K. Love,,30-25,,
0:22.0,T. Thompson makes free throw 2 of 2,1,31-25,,
0:07.0,Personal foul by M. Dellavedova (drawn by I. Thomas),,31-25,,
0:06.0,,,31-25,,Turnover by J. Crowder (bad pass; steal by J. Smith)
0:02.0,Turnover by M. Dellavedova (bad pass),,31-25,,
0:02.0,,,31-25,,Boston full timeout
0:02.0,,,31-25,,Turnover by J. Jerebko (bad pass; steal by J. Smith)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,31-27,2,J. Crowder makes 2-pt shot from 2 ft (assist by K. Olynyk)
11:32.0,M. Dellavedova misses 3-pt shot from 27 ft,,31-27,,
11:31.0,,,31-27,,Defensive rebound by J. Jerebko
11:21.0,,,31-27,,I. Thomas misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by L. James,,31-27,,
11:14.0,L. James makes 2-pt shot from 1 ft,2,33-27,,
10:55.0,,,33-27,,Turnover by K. Olynyk (bad pass; steal by I. Shumpert)
10:51.0,L. James misses 2-pt shot at rim,,33-27,,
10:50.0,Offensive rebound by T. Thompson,,33-27,,
10:50.0,,,33-27,,Personal foul by K. Olynyk (drawn by T. Thompson)
10:45.0,T. Thompson misses 2-pt shot from 5 ft,,33-27,,
10:44.0,,,33-27,,Defensive rebound by J. Jerebko
10:25.0,,,33-27,,M. Smart misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by M. Dellavedova,,33-27,,
10:11.0,Offensive foul by T. Thompson,,33-27,,
10:11.0,Turnover by T. Thompson (offensive foul),,33-27,,
10:01.0,,,33-27,,I. Thomas misses 2-pt shot from 6 ft
10:00.0,,,33-27,,Offensive rebound by J. Jerebko
10:00.0,,,33-27,,J. Jerebko misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by J. Jones,,33-27,,
9:50.0,L. James misses 2-pt shot from 1 ft,,33-27,,
9:49.0,,,33-27,,Defensive rebound by J. Crowder
9:41.0,,,33-27,,Offensive charge foul by M. Smart
9:41.0,,,33-27,,Turnover by M. Smart (offensive foul)
9:41.0,,,33-27,,T. Zeller enters the game for K. Olynyk
9:41.0,T. Mozgov enters the game for T. Thompson,,33-27,,
9:30.0,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,36-27,,
9:17.0,,,36-27,,Shooting foul by J. Jones (drawn by J. Crowder)
9:17.0,,,36-28,1,J. Crowder makes free throw 1 of 2
9:17.0,,,36-28,,E. Turner enters the game for I. Thomas
9:17.0,,,36-29,1,J. Crowder makes free throw 2 of 2
9:04.0,,,36-29,,Personal block foul by J. Crowder (drawn by L. James)
8:55.0,J. Jones misses 2-pt shot from 23 ft,,36-29,,
8:54.0,,,36-29,,Defensive rebound by T. Zeller
8:36.0,,,36-29,,Shooting foul by T. Mozgov (drawn by M. Smart)
8:36.0,Official timeout,,36-29,,
8:36.0,K. Love enters the game for J. Jones,,36-29,,
8:36.0,K. Irving enters the game for M. Dellavedova,,36-29,,
8:36.0,,,36-29,,M. Smart misses free throw 1 of 3
8:36.0,,,36-29,,Offensive rebound by Team
8:36.0,,,36-30,1,M. Smart makes free throw 2 of 3
8:36.0,,,36-31,1,M. Smart makes free throw 3 of 3
8:12.0,I. Shumpert makes 2-pt shot from 19 ft,2,38-31,,
7:48.0,,,38-31,,M. Smart misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by T. Mozgov,,38-31,,
7:46.0,J. Smith enters the game for I. Shumpert,,38-31,,
7:45.0,Jump ball: J. Crowder vs. T. Mozgov (J. Jerebko gains possession),,,,Jump ball: J. Crowder vs. T. Mozgov (J. Jerebko gains possession)
7:45.0,Turnover by T. Mozgov (lost ball; steal by J. Crowder),,38-31,,
7:35.0,,,38-31,,T. Zeller misses 2-pt shot from 15 ft
7:33.0,,,38-31,,Offensive rebound by J. Jerebko
