time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,,,0-0,,T. Allen misses 2-pt shot from 20 ft
12:00.0,Jump ball: M. Gasol vs. D. Howard (M. Conley gains possession),,,,Jump ball: M. Gasol vs. D. Howard (M. Conley gains possession)
11:34.0,Defensive rebound by J. Harden,,0-0,,
11:17.0,D. Motiejunas makes 2-pt shot from 5 ft (assist by T. Ariza),2,2-0,,
10:59.0,,,2-0,,M. Gasol misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by D. Howard,,2-0,,
10:57.0,Turnover by D. Howard (bad pass; steal by T. Allen),,2-0,,
10:55.0,,,2-2,2,M. Gasol makes 2-pt shot at rim (assist by T. Allen)
10:55.0,,,2-2,,Shooting foul by D. Howard (drawn by M. Gasol)
10:55.0,,,2-3,1,M. Gasol makes free throw 1 of 1
10:42.0,T. Ariza misses 3-pt shot from 25 ft,,2-3,,
10:41.0,,,2-3,,Defensive rebound by M. Conley
10:30.0,,,2-5,2,J. Leuer makes 2-pt shot at rim (assist by T. Allen)
10:15.0,,,2-5,,Def 3 sec tech foul by T. Allen
10:15.0,J. Harden makes technical free throw,1,3-5,,
10:09.0,Turnover by J. Harden (bad pass; steal by T. Allen),,3-5,,
9:58.0,,,3-5,,M. Gasol misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by T. Ariza,,3-5,,
9:43.0,D. Howard misses 2-pt shot from 9 ft (block by M. Gasol),,3-5,,
9:42.0,,,3-5,,Defensive rebound by M. Gasol
9:36.0,,,3-7,2,T. Allen makes 2-pt shot at rim (assist by C. Lee)
9:11.0,J. Harden misses 2-pt shot from 16 ft,,3-7,,
9:11.0,,,3-7,,Defensive rebound by Team
9:11.0,Loose ball foul by D. Howard (drawn by M. Gasol),,3-7,,
9:11.0,Technical foul by D. Howard (drawn by M. Gasol),,3-7,,
9:11.0,J. Smith enters the game for D. Howard,,3-7,,
9:11.0,,,3-8,1,C. Lee makes technical free throw
8:50.0,,,3-8,,M. Gasol misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by T. Ariza,,3-8,,
8:42.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,6-8,,
8:31.0,,,6-10,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
8:22.0,J. Harden misses 3-pt shot from 25 ft,,6-10,,
8:21.0,,,6-10,,Defensive rebound by C. Lee
8:10.0,,,6-12,2,M. Gasol makes 2-pt shot from 16 ft (assist by C. Lee)
