time,Boston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. D. Favors (E. Kanter gains possession),,,,Jump ball: B. Bass vs. D. Favors (E. Kanter gains possession)
11:37.0,,,0-0,,D. Exum misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by B. Bass,,0-0,,
11:18.0,E. Turner misses 2-pt shot from 2 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by J. Ingles
11:00.0,,,0-0,,E. Kanter misses 2-pt shot from 9 ft
10:58.0,Defensive rebound by J. Sullinger,,0-0,,
10:45.0,A. Bradley misses 3-pt shot from 24 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by E. Kanter
10:22.0,,,0-2,2,G. Hayward makes 2-pt shot from 2 ft
10:00.0,J. Crowder makes 3-pt shot from 24 ft (assist by B. Bass),3,3-2,,
9:42.0,Personal foul by E. Turner (drawn by J. Ingles),,3-2,,
9:31.0,,,3-2,,D. Favors misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by J. Sullinger,,3-2,,
9:19.0,J. Sullinger misses 2-pt shot from 12 ft,,3-2,,
9:16.0,Offensive rebound by B. Bass,,3-2,,
9:16.0,B. Bass makes 2-pt shot at rim,2,5-2,,
8:55.0,,,5-2,,E. Kanter misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by B. Bass,,5-2,,
8:44.0,J. Sullinger makes 2-pt shot from 4 ft (assist by E. Turner),2,7-2,,
8:30.0,,,7-2,,Turnover by J. Ingles (bad pass; steal by A. Bradley)
8:22.0,Turnover by A. Bradley (bad pass; steal by J. Ingles),,7-2,,
7:59.0,,,7-2,,J. Ingles misses 3-pt shot from 24 ft
7:58.0,,,7-2,,Offensive rebound by E. Kanter
7:54.0,,,7-4,2,E. Kanter makes 2-pt shot from 2 ft
7:37.0,J. Crowder makes 2-pt shot from 5 ft,2,9-4,,
7:15.0,,,9-4,,Turnover by E. Kanter (bad pass; steal by E. Turner)
7:10.0,A. Bradley misses 2-pt shot from 5 ft,,9-4,,
7:08.0,,,9-4,,Defensive rebound by J. Ingles
6:56.0,,,9-6,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
6:26.0,E. Turner makes 2-pt shot from 19 ft,2,11-6,,
6:19.0,,,11-6,,Utah full timeout
6:19.0,,,11-6,,R. Gobert enters the game for E. Kanter
6:06.0,,,11-6,,J. Ingles misses 2-pt shot from 19 ft
6:02.0,Defensive rebound by J. Sullinger,,11-6,,
5:40.0,E. Turner misses 2-pt shot from 9 ft,,11-6,,
5:39.0,,,11-6,,Defensive rebound by R. Gobert
5:19.0,,,11-6,,G. Hayward misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by J. Crowder,,11-6,,
5:11.0,B. Bass misses 2-pt shot at rim (block by D. Favors),,11-6,,
5:10.0,,,11-6,,Defensive rebound by R. Gobert
5:10.0,Personal foul by B. Bass (drawn by R. Gobert),,11-6,,
4:50.0,,,11-8,2,D. Favors makes 2-pt shot from 12 ft
4:36.0,Turnover by E. Turner (bad pass; steal by G. Hayward),,11-8,,
4:33.0,,,11-10,2,G. Hayward makes 2-pt shot at rim
4:12.0,Turnover by J. Sullinger (traveling),,11-10,,
4:12.0,M. Thornton enters the game for A. Bradley,,11-10,,
4:12.0,T. Zeller enters the game for J. Sullinger,,11-10,,
4:12.0,,,11-10,,T. Burke enters the game for D. Exum
3:59.0,,,11-10,,Shooting foul by B. Bass (drawn by G. Hayward)
3:59.0,,,11-10,,G. Hayward misses free throw 1 of 2
3:59.0,,,11-10,,Offensive rebound by Team
3:59.0,M. Smart enters the game for J. Crowder,,11-10,,
3:59.0,G. Wallace enters the game for B. Bass,,11-10,,
3:59.0,,,11-11,1,G. Hayward makes free throw 2 of 2
3:41.0,T. Zeller misses 2-pt shot from 9 ft,,11-11,,
3:40.0,,,11-11,,Defensive rebound by R. Gobert
3:23.0,,,11-11,,Offensive foul by D. Favors
3:23.0,,,11-11,,Turnover by D. Favors (offensive foul)
3:23.0,,,11-11,,E. Millsap enters the game for J. Ingles
3:16.0,,,11-11,,Personal foul by G. Hayward (drawn by E. Turner)
3:12.0,Turnover by E. Turner (bad pass; steal by G. Hayward),,11-11,,
3:02.0,,,11-13,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors)
2:47.0,E. Turner makes 2-pt shot from 15 ft,2,13-13,,
2:30.0,,,13-13,,Shooting foul by T. Zeller (drawn by D. Favors)
2:30.0,Boston full timeout,,13-13,,
2:30.0,T. Prince enters the game for E. Turner,,13-13,,
2:30.0,,,13-13,,D. Favors misses free throw 1 of 2
2:30.0,,,13-13,,Offensive rebound by Team
2:30.0,,,13-13,,D. Favors misses free throw 2 of 2
2:29.0,Defensive rebound by G. Wallace,,13-13,,
2:12.0,M. Thornton misses 2-pt shot from 3 ft (block by R. Gobert),,13-13,,
2:12.0,,,13-13,,Defensive rebound by Team
1:58.0,,,13-13,,G. Hayward misses 2-pt shot from 15 ft
1:57.0,Defensive rebound by T. Zeller,,13-13,,
1:45.0,M. Smart makes 2-pt shot from 17 ft (assist by T. Zeller),2,15-13,,
1:27.0,,,15-13,,G. Hayward misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by T. Zeller,,15-13,,
1:12.0,M. Thornton misses 3-pt shot from 24 ft,,15-13,,
1:11.0,,,15-13,,Defensive rebound by E. Millsap
0:55.0,,,15-15,2,T. Burke makes 2-pt shot from 3 ft
0:36.0,Turnover by G. Wallace (lost ball; steal by E. Millsap),,15-15,,
0:27.0,,,15-15,,D. Favors misses 2-pt shot from 16 ft
0:26.0,,,15-15,,Offensive rebound by R. Gobert
0:25.0,,,15-17,2,R. Gobert makes 2-pt shot from 1 ft
0:03.0,T. Prince makes 2-pt shot from 10 ft,2,17-17,,
0:01.0,,,17-17,,T. Burke misses 3-pt shot from 40 ft
0:00.0,,,17-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,M. Thornton misses 3-pt shot from 23 ft,,17-17,,
11:48.0,,,17-17,,Defensive rebound by E. Millsap
11:31.0,,,17-17,,T. Burke misses 3-pt shot from 24 ft
11:30.0,,,17-17,,Offensive rebound by E. Kanter
11:28.0,,,17-19,2,E. Kanter makes 2-pt shot from 2 ft
11:08.0,T. Prince makes 2-pt shot from 13 ft,2,19-19,,
10:48.0,,,19-19,,E. Kanter misses 2-pt shot from 15 ft
10:47.0,Defensive rebound by G. Wallace,,19-19,,
10:37.0,Shooting foul by E. Kanter (drawn by T. Zeller),,19-19,,
10:37.0,T. Zeller makes free throw 1 of 2,1,20-19,,
10:37.0,T. Zeller makes free throw 2 of 2,1,21-19,,
10:21.0,,,21-19,,Offensive charge foul by E. Millsap
10:21.0,,,21-19,,Turnover by E. Millsap (offensive foul)
10:09.0,T. Prince misses 2-pt shot from 12 ft,,21-19,,
10:09.0,Offensive rebound by T. Zeller,,21-19,,
10:09.0,,,21-19,,Loose ball foul by D. Exum (drawn by T. Zeller)
9:59.0,M. Smart misses 3-pt shot from 24 ft,,21-19,,
9:57.0,,,21-19,,Defensive rebound by E. Millsap
9:41.0,,,21-21,2,E. Kanter makes 2-pt shot from 1 ft
9:25.0,Shooting foul by E. Millsap (drawn by G. Wallace),,21-21,,
9:25.0,G. Wallace makes free throw 1 of 2,1,22-21,,
9:25.0,A. Bradley enters the game for M. Thornton,,22-21,,
9:25.0,G. Wallace makes free throw 2 of 2,1,23-21,,
9:17.0,Personal foul by A. Bradley (drawn by D. Exum),,23-21,,
9:02.0,,,23-21,,T. Burke misses 2-pt shot from 3 ft (block by T. Zeller)
9:00.0,Defensive rebound by T. Zeller,,23-21,,
8:50.0,M. Smart makes 3-pt shot from 26 ft (assist by T. Prince),3,26-21,,
8:39.0,,,26-21,,Turnover by E. Millsap (bad pass; steal by G. Wallace)
8:32.0,T. Prince makes 2-pt shot from 4 ft (assist by M. Smart),2,28-21,,
8:12.0,,,28-24,3,E. Millsap makes 3-pt shot from 24 ft (assist by D. Exum)
7:56.0,T. Prince makes 3-pt shot from 24 ft (assist by M. Smart),3,31-24,,
7:54.0,,,31-24,,Utah full timeout
7:54.0,,,31-24,,R. Gobert enters the game for T. Booker
7:32.0,,,31-24,,E. Millsap misses 2-pt shot from 14 ft
7:31.0,Defensive rebound by G. Wallace,,31-24,,
7:25.0,A. Bradley makes 3-pt shot from 22 ft (assist by T. Prince),3,34-24,,
7:11.0,,,34-26,2,E. Kanter makes 2-pt shot at rim (assist by R. Gobert)
6:52.0,T. Zeller makes 2-pt shot from 18 ft (assist by T. Prince),2,36-26,,
6:33.0,,,36-26,,Turnover by E. Kanter (lost ball; steal by M. Smart)
6:29.0,M. Smart makes 2-pt shot from 1 ft,2,38-26,,
6:15.0,,,38-26,,Turnover by D. Exum (bad pass; steal by G. Wallace)
6:11.0,Turnover by A. Bradley (bad pass),,38-26,,
6:11.0,,,38-26,,J. Ingles enters the game for E. Millsap
6:11.0,J. Sullinger enters the game for G. Wallace,,38-26,,
6:01.0,,,38-26,,T. Burke misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by T. Zeller,,38-26,,
5:50.0,J. Sullinger makes 3-pt shot from 23 ft (assist by M. Smart),3,41-26,,
5:28.0,Violation by T. Prince (kicked ball),,41-26,,
5:28.0,Official timeout,,41-26,,
5:28.0,E. Turner enters the game for M. Smart,,41-26,,
5:28.0,,,41-26,,D. Favors enters the game for E. Kanter
5:28.0,,,41-26,,G. Hayward enters the game for T. Burke
5:21.0,,,41-26,,Personal foul by D. Exum (drawn by E. Turner)
5:10.0,T. Prince makes 3-pt shot from 23 ft (assist by E. Turner),3,44-26,,
4:47.0,,,44-28,2,D. Favors makes 2-pt shot from 6 ft
4:47.0,,,44-28,,Shooting foul by T. Zeller (drawn by D. Favors)
4:47.0,,,44-28,,D. Favors misses free throw 1 of 1
4:45.0,Defensive rebound by J. Sullinger,,44-28,,
4:38.0,,,44-28,,Personal foul by J. Ingles (drawn by A. Bradley)
4:38.0,A. Bradley makes free throw 1 of 2,1,45-28,,
4:38.0,B. Bass enters the game for T. Zeller,,45-28,,
4:38.0,A. Bradley makes free throw 2 of 2,1,46-28,,
4:17.0,,,46-28,,J. Ingles misses 3-pt shot from 24 ft
4:16.0,,,46-28,,Offensive rebound by D. Favors
4:10.0,,,46-28,,G. Hayward misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by E. Turner,,46-28,,
3:50.0,E. Turner misses 2-pt shot from 14 ft,,46-28,,
3:49.0,Offensive rebound by J. Sullinger,,46-28,,
3:49.0,J. Sullinger misses 2-pt shot at rim (block by R. Gobert),,46-28,,
3:49.0,Offensive rebound by Team,,46-28,,
3:49.0,,,46-28,,T. Burke enters the game for D. Exum
3:45.0,,,46-28,,Violation by D. Favors (kicked ball)
3:38.0,T. Prince misses 3-pt shot from 25 ft,,46-28,,
3:37.0,,,46-28,,Defensive rebound by Team
3:12.0,,,46-28,,J. Ingles misses 2-pt shot from 23 ft
3:08.0,,,46-28,,Offensive rebound by Team
3:08.0,Boston full timeout,,46-28,,
3:08.0,J. Crowder enters the game for T. Prince,,46-28,,
3:08.0,,,46-28,,D. Exum enters the game for J. Ingles
2:57.0,,,46-28,,T. Burke misses 2-pt shot from 22 ft
2:55.0,Defensive rebound by E. Turner,,46-28,,
2:44.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,48-28,,
2:26.0,,,48-28,,D. Exum misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by B. Bass,,48-28,,
2:14.0,B. Bass misses 2-pt shot from 17 ft (block by R. Gobert),,48-28,,
2:12.0,Offensive rebound by J. Sullinger,,48-28,,
2:09.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger),3,51-28,,
1:46.0,,,51-28,,Shooting foul by J. Sullinger (drawn by D. Favors)
1:46.0,,,51-29,1,D. Favors makes free throw 1 of 2
1:46.0,,,51-30,1,D. Favors makes free throw 2 of 2
1:34.0,Turnover by A. Bradley (bad pass),,51-30,,
1:15.0,,,51-30,,Turnover by D. Favors (bad pass)
1:01.0,J. Crowder misses 2-pt shot from 18 ft,,51-30,,
1:00.0,,,51-30,,Defensive rebound by R. Gobert
