time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession)
11:42.0,V. Oladipo makes 3-pt shot from 24 ft (assist by C. Frye),3,3-0,,
11:24.0,,,3-2,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
11:03.0,Turnover by T. Harris (bad pass),,3-2,,
10:51.0,,,3-5,3,D. Carroll makes 3-pt shot from 22 ft (assist by A. Horford)
10:40.0,C. Frye misses 3-pt shot from 24 ft,,3-5,,
10:38.0,,,3-5,,Defensive rebound by A. Horford
10:29.0,,,3-7,2,D. Carroll makes 2-pt shot from 7 ft
10:10.0,N. Vucevic misses 2-pt shot from 19 ft,,3-7,,
10:06.0,,,3-7,,Defensive rebound by D. Carroll
10:02.0,,,3-10,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Carroll)
9:42.0,Turnover by C. Frye (bad pass; steal by J. Teague),,3-10,,
9:35.0,,,3-13,3,P. Millsap makes 3-pt shot from 23 ft (assist by D. Carroll)
9:32.0,Orlando full timeout,,3-13,,
9:18.0,T. Harris misses 2-pt shot from 4 ft,,3-13,,
9:16.0,,,3-13,,Defensive rebound by D. Carroll
9:11.0,,,3-16,3,P. Millsap makes 3-pt shot from 22 ft (assist by A. Horford)
8:58.0,C. Frye misses 3-pt shot from 24 ft,,3-16,,
8:57.0,,,3-16,,Defensive rebound by D. Carroll
8:50.0,,,3-19,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
8:25.0,V. Oladipo makes 2-pt shot from 21 ft,2,5-19,,
8:19.0,,,5-21,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
8:19.0,Orlando full timeout,,5-21,,
8:19.0,D. Dedmon enters the game for C. Frye,,5-21,,
8:01.0,N. Vucevic makes 2-pt shot from 12 ft,2,7-21,,
7:38.0,,,7-21,,J. Teague misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by V. Oladipo,,7-21,,
7:29.0,Shooting foul by J. Teague (drawn by D. Dedmon),,7-21,,
7:29.0,D. Dedmon misses free throw 1 of 2,,7-21,,
7:29.0,Offensive rebound by Team,,7-21,,
7:29.0,D. Dedmon misses free throw 2 of 2,,7-21,,
7:27.0,,,7-21,,Defensive rebound by K. Korver
7:15.0,,,7-21,,D. Carroll misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by V. Oladipo,,7-21,,
7:01.0,E. Payton misses 2-pt shot from 5 ft,,7-21,,
7:00.0,,,7-21,,Defensive rebound by A. Horford
6:52.0,,,7-23,2,D. Carroll makes 2-pt shot from 2 ft (assist by J. Teague)
6:24.0,E. Payton misses 2-pt shot from 11 ft,,7-23,,
6:23.0,Offensive rebound by N. Vucevic,,7-23,,
6:21.0,N. Vucevic misses 2-pt shot at rim,,7-23,,
6:20.0,Offensive rebound by N. Vucevic,,7-23,,
6:20.0,N. Vucevic misses 2-pt shot at rim,,7-23,,
6:15.0,Offensive rebound by D. Dedmon,,7-23,,
6:15.0,D. Dedmon makes 2-pt shot from 1 ft,2,9-23,,
6:11.0,,,9-23,,Turnover by P. Millsap (traveling)
6:11.0,W. Green enters the game for E. Payton,,9-23,,
5:54.0,Turnover by T. Harris (bad pass; steal by D. Carroll),,9-23,,
5:45.0,,,9-23,,J. Teague misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by N. Vucevic,,9-23,,
5:22.0,T. Harris makes 2-pt shot from 17 ft,2,11-23,,
5:09.0,,,11-23,,P. Millsap misses 2-pt shot from 15 ft
5:07.0,Defensive rebound by D. Dedmon,,11-23,,
5:00.0,V. Oladipo misses 2-pt shot from 4 ft,,11-23,,
4:59.0,,,11-23,,Defensive rebound by A. Horford
4:34.0,,,11-23,,A. Horford misses 2-pt shot from 5 ft
4:31.0,Defensive rebound by N. Vucevic,,11-23,,
4:26.0,W. Green makes 2-pt shot from 1 ft,2,13-23,,
4:23.0,,,13-23,,Atlanta full timeout
4:23.0,,,13-23,,P. Antic enters the game for A. Horford
4:23.0,,,13-23,,K. Bazemore enters the game for K. Korver
