time,Utah,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (B. Knight gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (B. Knight gains possession)
11:40.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 3 ft
11:37.0,,,0-0,,Offensive rebound by Z. Pachulia
11:36.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 1 ft
11:12.0,E. Kanter misses 2-pt shot from 13 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by K. Middleton
11:02.0,,,0-2,,B. Knight misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by J. Ingles,,0-2,,
10:54.0,Turnover by D. Exum (bad pass; steal by G. Antetokounmpo),,0-2,,
10:45.0,,,0-2,,Z. Pachulia misses 2-pt shot at rim
10:43.0,Defensive rebound by E. Kanter,,0-2,,
10:25.0,Turnover by G. Hayward (bad pass),,0-2,,
10:18.0,,,0-2,,B. Knight misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by E. Kanter,,0-2,,
10:11.0,Turnover by J. Ingles (lost ball; steal by G. Antetokounmpo),,0-2,,
10:08.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot at rim
9:44.0,E. Kanter makes 3-pt shot from 24 ft (assist by G. Hayward),3,3-4,,
9:24.0,,,3-4,,Z. Pachulia misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by R. Gobert,,3-4,,
9:16.0,,,3-4,,Personal foul by E. Ilyasova (drawn by D. Exum)
9:05.0,Turnover by D. Exum (step out of bounds),,3-4,,
8:52.0,,,3-4,,E. Ilyasova misses 2-pt shot from 4 ft
8:50.0,Defensive rebound by J. Ingles,,3-4,,
8:35.0,D. Exum makes 3-pt shot from 25 ft (assist by G. Hayward),3,6-4,,
8:21.0,,,6-6,2,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia)
8:03.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,9-6,,
7:51.0,,,9-6,,Turnover by E. Ilyasova (bad pass; steal by J. Ingles)
7:46.0,G. Hayward makes 2-pt shot at rim (assist by D. Exum),2,11-6,,
7:30.0,,,11-6,,K. Middleton misses 2-pt shot at rim
7:28.0,Defensive rebound by E. Kanter,,11-6,,
7:21.0,,,11-6,,Violation by E. Ilyasova (kicked ball)
7:07.0,G. Hayward makes 2-pt shot from 15 ft (assist by J. Ingles),2,13-6,,
6:54.0,,,13-6,,Z. Pachulia misses 2-pt shot at rim (block by R. Gobert)
6:52.0,,,13-6,,Offensive rebound by Z. Pachulia
6:51.0,,,13-8,2,Z. Pachulia makes 2-pt shot at rim
6:33.0,E. Kanter misses 2-pt shot from 17 ft,,13-8,,
6:32.0,,,13-8,,Defensive rebound by G. Antetokounmpo
6:26.0,,,13-8,,Turnover by G. Antetokounmpo (lost ball; steal by J. Ingles)
6:21.0,G. Hayward misses 2-pt shot from 1 ft (block by E. Ilyasova),,13-8,,
6:18.0,Offensive rebound by E. Kanter,,13-8,,
6:13.0,Turnover by J. Ingles (bad pass; steal by B. Knight),,13-8,,
6:08.0,,,13-10,2,E. Ilyasova makes 2-pt shot at rim (assist by B. Knight)
5:51.0,R. Gobert misses 2-pt shot from 1 ft,,13-10,,
5:48.0,Offensive rebound by R. Gobert,,13-10,,
5:48.0,R. Gobert makes 2-pt shot at rim,2,15-10,,
5:35.0,,,15-10,,B. Knight misses 2-pt shot from 14 ft
5:34.0,Defensive rebound by E. Kanter,,15-10,,
5:29.0,,,15-10,,Personal foul by K. Middleton (drawn by R. Gobert)
5:29.0,,,15-10,,Milwaukee full timeout
5:29.0,,,15-10,,J. Bayless enters the game for Z. Pachulia
5:29.0,,,15-10,,J. Henson enters the game for B. Knight
5:17.0,E. Kanter makes 2-pt shot at rim (assist by R. Gobert),2,17-10,,
5:00.0,,,17-10,,E. Ilyasova misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by R. Gobert,,17-10,,
4:42.0,D. Exum misses 3-pt shot from 24 ft,,17-10,,
4:41.0,,,17-10,,Defensive rebound by E. Ilyasova
4:28.0,,,17-10,,E. Ilyasova misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by Team,,17-10,,
4:28.0,T. Burke enters the game for D. Exum,,17-10,,
4:28.0,T. Booker enters the game for E. Kanter,,17-10,,
4:10.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,19-10,,
3:56.0,,,19-10,,J. Henson misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by Team,,19-10,,
3:56.0,,,19-10,,J. O'Bryant enters the game for E. Ilyasova
3:39.0,T. Burke makes 3-pt shot from 25 ft (assist by T. Booker),3,22-10,,
3:21.0,,,22-10,,G. Antetokounmpo misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by R. Gobert,,22-10,,
3:14.0,T. Booker misses 2-pt shot at rim,,22-10,,
3:12.0,Offensive rebound by G. Hayward,,22-10,,
3:05.0,,,22-10,,Personal foul by J. Henson (drawn by G. Hayward)
3:05.0,,,22-10,,O. Mayo enters the game for G. Antetokounmpo
3:05.0,Utah full timeout,,22-10,,
2:56.0,J. Ingles misses 3-pt shot from 22 ft,,22-10,,
2:54.0,,,22-10,,Defensive rebound by J. O'Bryant
2:43.0,,,22-10,,Turnover by J. Bayless (step out of bounds)
2:28.0,Turnover by J. Ingles (lost ball),,22-10,,
2:21.0,Personal foul by G. Hayward (drawn by O. Mayo),,22-10,,
2:09.0,,,22-12,2,O. Mayo makes 2-pt shot from 17 ft
1:44.0,T. Burke misses 2-pt shot from 4 ft,,22-12,,
1:44.0,Offensive rebound by R. Gobert,,22-12,,
1:44.0,Shooting foul by J. Henson (drawn by R. Gobert),,22-12,,
1:44.0,R. Gobert makes free throw 1 of 2,1,23-12,,
1:44.0,E. Millsap enters the game for J. Ingles,,23-12,,
1:44.0,,,23-12,,Z. Pachulia enters the game for J. Henson
1:44.0,R. Gobert misses free throw 2 of 2,,23-12,,
1:43.0,,,23-12,,Defensive rebound by J. Bayless
1:28.0,,,23-14,2,J. O'Bryant makes 2-pt shot from 14 ft (assist by J. Bayless)
1:10.0,G. Hayward makes 3-pt shot from 25 ft,3,26-14,,
0:58.0,,,26-14,,J. Bayless misses 2-pt shot from 5 ft
0:57.0,Defensive rebound by T. Burke,,26-14,,
0:46.0,G. Hayward misses 2-pt shot from 9 ft,,26-14,,
0:45.0,,,26-14,,Defensive rebound by Z. Pachulia
0:40.0,E. Kanter enters the game for R. Gobert,,26-14,,
0:33.0,,,26-16,2,O. Mayo makes 2-pt shot at rim (assist by Z. Pachulia)
0:11.0,E. Millsap misses 2-pt shot from 9 ft,,26-16,,
0:09.0,Offensive rebound by E. Kanter,,26-16,,
0:01.0,T. Burke misses 3-pt shot from 27 ft,,26-16,,
0:00.0,Offensive rebound by Team,,26-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke),2,28-16,,
11:45.0,Shooting foul by Z. Pachulia (drawn by E. Kanter),,28-16,,
11:45.0,E. Kanter makes free throw 1 of 1,1,29-16,,
11:31.0,,,29-16,,O. Mayo misses 2-pt shot from 14 ft
11:30.0,Defensive rebound by E. Kanter,,29-16,,
11:22.0,T. Booker makes 3-pt shot from 25 ft (assist by E. Millsap),3,32-16,,
11:07.0,,,32-19,3,J. Dudley makes 3-pt shot from 23 ft (assist by O. Mayo)
10:55.0,Turnover by E. Kanter (lost ball),,32-19,,
10:44.0,,,32-21,2,O. Mayo makes 2-pt shot from 4 ft (assist by J. Bayless)
