time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Morris (T. Parker gains possession),,,,Jump ball: T. Duncan vs. M. Morris (T. Parker gains possession)
11:44.0,,,0-0,,Turnover by D. Green (bad pass; steal by P. Tucker)
11:28.0,M. Morris makes 2-pt shot from 15 ft,2,2-0,,
11:13.0,,,2-0,,K. Leonard misses 2-pt shot from 18 ft
11:12.0,,,2-0,,Offensive rebound by K. Leonard
11:02.0,,,2-2,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
10:41.0,M. Morris misses 2-pt shot at rim,,2-2,,
10:40.0,,,2-2,,Defensive rebound by T. Duncan
10:28.0,,,2-4,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
10:28.0,,,2-4,,Shooting foul by M. Morris (drawn by K. Leonard)
10:28.0,,,2-5,1,K. Leonard makes free throw 1 of 1
10:14.0,P. Tucker makes 2-pt shot from 1 ft (assist by M. Morris),2,4-5,,
10:02.0,,,4-7,2,T. Parker makes 2-pt shot at rim
9:45.0,Turnover by P. Tucker (bad pass; steal by T. Duncan),,4-7,,
9:28.0,,,4-9,2,T. Parker makes 2-pt shot from 5 ft
9:11.0,M. Morris misses 2-pt shot from 11 ft,,4-9,,
9:10.0,,,4-9,,Defensive rebound by T. Duncan
9:01.0,,,4-9,,Turnover by T. Duncan (bad pass)
8:47.0,E. Bledsoe misses 2-pt shot from 16 ft,,4-9,,
8:46.0,,,4-9,,Defensive rebound by D. Green
8:35.0,,,4-9,,Shooting foul by M. Morris (drawn by T. Duncan)
8:35.0,,,4-9,,T. Duncan misses free throw 1 of 2
8:35.0,,,4-9,,Offensive rebound by Team
8:35.0,,,4-10,1,T. Duncan makes free throw 2 of 2
8:22.0,M. Morris misses 2-pt shot from 1 ft (block by T. Duncan),,4-10,,
8:21.0,Offensive rebound by M. Morris,,4-10,,
8:12.0,E. Bledsoe misses 2-pt shot from 2 ft (block by D. Green),,4-10,,
8:11.0,Offensive rebound by Team,,4-10,,
8:11.0,Turnover by Team (shot clock),,4-10,,
