time,Utah,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Noel (D. Favors gains possession),,,,Jump ball: R. Gobert vs. N. Noel (D. Favors gains possession)
11:37.0,G. Hayward makes 2-pt shot from 19 ft,2,2-0,,
11:13.0,,,2-0,,J. Richardson misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by R. Gobert,,2-0,,
10:52.0,Turnover by J. Ingles (lost ball; steal by N. Noel),,2-0,,
10:46.0,,,2-0,,J. Richardson misses 2-pt shot from 1 ft
10:44.0,,,2-0,,Offensive rebound by N. Noel
10:44.0,,,2-2,2,N. Noel makes 2-pt shot from 1 ft
10:20.0,D. Exum misses 2-pt shot at rim,,2-2,,
10:19.0,,,2-2,,Defensive rebound by L. Mbah a Moute
10:08.0,,,2-4,2,L. Mbah a Moute makes 2-pt shot at rim (assist by N. Noel)
9:42.0,D. Favors misses 2-pt shot from 16 ft,,2-4,,
9:42.0,Offensive rebound by Team,,2-4,,
9:42.0,Turnover by Team (shot clock),,2-4,,
9:32.0,Personal foul by J. Ingles (drawn by J. Richardson),,2-4,,
9:28.0,,,2-4,,Turnover by I. Canaan (lost ball; steal by D. Exum)
9:07.0,D. Exum misses 2-pt shot from 5 ft,,2-4,,
9:06.0,Offensive rebound by D. Favors,,2-4,,
9:05.0,Shooting foul by L. Mbah a Moute (drawn by D. Favors),,2-4,,
9:05.0,D. Favors makes free throw 1 of 2,1,3-4,,
9:05.0,D. Favors makes free throw 2 of 2,1,4-4,,
8:51.0,,,4-4,,J. Sampson misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by R. Gobert,,4-4,,
8:44.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,6-4,,
8:29.0,,,6-4,,I. Canaan misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by G. Hayward,,6-4,,
8:16.0,R. Gobert misses 2-pt shot from 3 ft,,6-4,,
8:14.0,,,6-4,,Defensive rebound by J. Richardson
8:06.0,,,6-4,,N. Noel misses 2-pt shot from 19 ft
