time,LA Lakers,pts.away,score,pts.home,LA Clippers
0:46.0,J. Clarkson misses 2-pt shot from 4 ft,,19-32,,
0:44.0,,,19-32,,Defensive rebound by B. Griffin
0:41.0,,,19-32,,Shooting foul by R. Sacre (drawn by B. Griffin)
0:41.0,,,19-33,1,B. Griffin makes free throw 1 of 2
0:41.0,,,19-33,,J. Farmar enters the game for C. Paul
0:41.0,,,19-33,,B. Griffin misses free throw 2 of 2
0:39.0,Defensive rebound by C. Boozer,,19-33,,
0:30.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,21-33,,
0:10.0,,,21-33,,Shooting foul by R. Sacre (drawn by B. Griffin)
0:10.0,,,21-33,,B. Griffin misses free throw 1 of 2
0:10.0,,,21-33,,Offensive rebound by Team
0:10.0,,,21-34,1,B. Griffin makes free throw 2 of 2
0:05.0,,,21-34,,Personal block foul by J. Farmar (drawn by J. Lin)
0:03.0,J. Lin makes 3-pt shot from 30 ft,3,24-34,,
0:00.0,,,24-34,,J. Crawford misses 3-pt shot from 62 ft
0:00.0,,,24-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,24-36,2,R. Bullock makes 2-pt shot from 1 ft (assist by S. Hawes)
11:17.0,J. Clarkson misses 2-pt shot from 2 ft,,24-36,,
11:15.0,,,24-36,,Defensive rebound by S. Hawes
10:58.0,,,24-36,,S. Hawes misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by J. Clarkson,,24-36,,
10:40.0,W. Ellington makes 3-pt shot from 25 ft,3,27-36,,
10:25.0,,,27-36,,J. Crawford misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by C. Boozer,,27-36,,
10:14.0,C. Boozer makes 2-pt shot at rim (assist by W. Ellington),2,29-36,,
10:04.0,,,29-36,,J. Farmar misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by R. Sacre,,29-36,,
9:54.0,N. Young misses 3-pt shot from 25 ft,,29-36,,
9:53.0,,,29-36,,Defensive rebound by S. Hawes
9:45.0,,,29-38,2,J. Crawford makes 2-pt shot from 16 ft
9:22.0,,,29-38,,Personal foul by J. Crawford (drawn by N. Young)
9:08.0,N. Young misses 2-pt shot from 18 ft,,29-38,,
9:06.0,,,29-38,,Defensive rebound by S. Hawes
8:58.0,,,29-38,,J. Crawford misses 2-pt shot from 12 ft
8:57.0,Defensive rebound by C. Boozer,,29-38,,
8:51.0,Shooting foul by G. Davis (drawn by J. Clarkson),,29-38,,
