time,Philadelphia,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Speights (H. Sims gains possession),,,,Jump ball: N. Noel vs. M. Speights (H. Sims gains possession)
11:40.0,R. Covington misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by H. Barnes
11:26.0,,,0-0,,K. Thompson misses 2-pt shot from 17 ft
11:25.0,Defensive rebound by R. Covington,,0-0,,
11:10.0,N. Noel makes 2-pt shot from 6 ft (assist by J. Sampson),2,2-0,,
11:00.0,,,2-0,,D. Green misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by R. Covington,,2-0,,
10:45.0,N. Noel misses 2-pt shot from 10 ft,,2-0,,
10:44.0,Offensive rebound by H. Sims,,2-0,,
10:43.0,H. Sims makes 2-pt shot at rim,2,4-0,,
10:31.0,,,4-0,,M. Speights misses 2-pt shot from 18 ft
10:30.0,,,4-0,,Offensive rebound by D. Green
10:14.0,,,4-0,,Turnover by K. Thompson (bad pass; steal by M. Carter-Williams)
10:08.0,J. Sampson misses 2-pt shot from 3 ft (block by D. Green),,4-0,,
10:08.0,Offensive rebound by Team,,4-0,,
9:59.0,J. Sampson misses 3-pt shot from 25 ft,,4-0,,
9:58.0,Offensive rebound by N. Noel,,4-0,,
9:56.0,N. Noel makes 2-pt shot from 3 ft,2,6-0,,
9:42.0,,,6-0,,Turnover by D. Green (bad pass)
9:25.0,Turnover by H. Sims (lost ball; steal by H. Barnes),,6-0,,
9:19.0,,,6-2,2,M. Speights makes 2-pt shot from 2 ft (assist by H. Barnes)
8:58.0,H. Sims misses 2-pt shot from 18 ft,,6-2,,
8:58.0,,,6-2,,Defensive rebound by H. Barnes
8:45.0,,,6-2,,K. Thompson misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by R. Covington,,6-2,,
8:28.0,Turnover by H. Sims (bad pass; steal by K. Thompson),,6-2,,
8:23.0,,,6-4,2,K. Thompson makes 2-pt shot from 1 ft
8:04.0,N. Noel misses 2-pt shot from 16 ft,,6-4,,
8:03.0,,,6-4,,Defensive rebound by S. Curry
7:57.0,,,6-4,,Turnover by S. Curry (bad pass; steal by M. Carter-Williams)
7:44.0,Turnover by R. Covington (lost ball; steal by S. Curry),,6-4,,
7:36.0,,,6-6,2,K. Thompson makes 2-pt shot from 21 ft
7:16.0,N. Noel misses 2-pt shot from 2 ft,,6-6,,
7:14.0,,,6-6,,Defensive rebound by D. Green
7:04.0,,,6-9,3,K. Thompson makes 3-pt shot from 26 ft (assist by M. Speights)
6:43.0,J. Sampson misses 2-pt shot from 6 ft,,6-9,,
6:42.0,,,6-9,,Defensive rebound by D. Green
6:36.0,,,6-9,,S. Curry misses 3-pt shot from 27 ft
6:33.0,,,6-9,,Offensive rebound by M. Speights
6:31.0,,,6-11,2,K. Thompson makes 2-pt shot from 13 ft (assist by M. Speights)
6:31.0,Philadelphia full timeout,,6-11,,
6:31.0,K. McDaniels enters the game for H. Sims,,6-11,,
