time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (K. Faried gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (K. Faried gains possession)
11:41.0,K. Faried misses 2-pt shot from 10 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by Z. Randolph
11:24.0,,,0-2,2,M. Gasol makes 2-pt shot from 21 ft
11:00.0,A. Afflalo misses 3-pt shot from 25 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by J. Green
10:45.0,,,0-2,,C. Lee misses 2-pt shot from 19 ft
10:42.0,Defensive rebound by W. Chandler,,0-2,,
10:37.0,W. Chandler makes 2-pt shot from 1 ft,2,2-2,,
10:19.0,,,2-4,2,B. Udrih makes 2-pt shot at rim
10:05.0,W. Chandler misses 3-pt shot from 23 ft,,2-4,,
10:04.0,,,2-4,,Defensive rebound by B. Udrih
9:59.0,,,2-6,2,C. Lee makes 2-pt shot at rim (assist by B. Udrih)
9:37.0,T. Lawson misses 2-pt shot from 21 ft,,2-6,,
9:36.0,,,2-6,,Defensive rebound by M. Gasol
9:21.0,,,2-8,2,Z. Randolph makes 2-pt shot from 17 ft
9:01.0,A. Afflalo makes 2-pt shot from 7 ft,2,4-8,,
8:44.0,,,4-11,3,B. Udrih makes 3-pt shot from 26 ft (assist by M. Gasol)
8:17.0,W. Chandler misses 2-pt shot from 6 ft,,4-11,,
8:17.0,Offensive rebound by Team,,4-11,,
8:17.0,,,4-11,,Loose ball foul by Z. Randolph (drawn by K. Faried)
8:12.0,W. Chandler makes 2-pt shot at rim (assist by J. Nurkic),2,6-11,,
7:55.0,,,6-13,2,Z. Randolph makes 2-pt shot from 5 ft
7:47.0,,,6-13,,Personal foul by M. Gasol (drawn by J. Nurkic)
7:29.0,A. Afflalo makes 3-pt shot from 23 ft (assist by W. Chandler),3,9-13,,
7:12.0,,,9-13,,C. Lee misses 2-pt shot from 11 ft
7:11.0,Defensive rebound by K. Faried,,9-13,,
7:04.0,K. Faried misses 2-pt shot from 4 ft,,9-13,,
7:01.0,,,9-13,,Defensive rebound by Z. Randolph
6:49.0,,,9-13,,C. Lee misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by J. Nurkic,,9-13,,
6:39.0,T. Lawson misses 2-pt shot from 15 ft,,9-13,,
6:37.0,,,9-13,,Defensive rebound by Z. Randolph
6:23.0,,,9-15,2,M. Gasol makes 2-pt shot from 8 ft
6:14.0,Turnover by J. Nurkic (traveling),,9-15,,
5:59.0,,,9-17,2,J. Green makes 2-pt shot from 7 ft
5:41.0,W. Chandler misses 3-pt shot from 24 ft,,9-17,,
5:40.0,,,9-17,,Defensive rebound by M. Gasol
5:33.0,,,9-19,2,B. Udrih makes 2-pt shot from 18 ft
5:25.0,Denver full timeout,,9-19,,
5:05.0,W. Chandler misses 3-pt shot from 26 ft,,9-19,,
5:04.0,Offensive rebound by K. Faried,,9-19,,
5:03.0,K. Faried misses 2-pt shot from 3 ft (block by M. Gasol),,9-19,,
5:00.0,Offensive rebound by J. Nurkic,,9-19,,
4:59.0,J. Nurkic misses 2-pt shot from 6 ft,,9-19,,
4:57.0,Offensive rebound by J. Nurkic,,9-19,,
4:55.0,J. Nurkic misses 2-pt shot from 6 ft,,9-19,,
4:53.0,,,9-19,,Defensive rebound by M. Gasol
4:35.0,,,9-19,,M. Gasol misses 2-pt shot from 15 ft
4:34.0,,,9-19,,Offensive rebound by Z. Randolph
4:30.0,,,9-19,,Turnover by Z. Randolph (bad pass; steal by W. Chandler)
4:24.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,11-19,,
4:04.0,,,11-19,,Offensive foul by M. Gasol
4:04.0,,,11-19,,Turnover by M. Gasol (offensive foul)
4:04.0,,,11-19,,T. Allen enters the game for C. Lee
4:04.0,,,11-19,,K. Koufos enters the game for M. Gasol
3:52.0,J. Nurkic misses 2-pt shot from 4 ft,,11-19,,
3:51.0,,,11-19,,Defensive rebound by Z. Randolph
3:42.0,,,11-22,3,J. Green makes 3-pt shot from 25 ft (assist by B. Udrih)
3:18.0,J. Nurkic misses 2-pt shot from 5 ft,,11-22,,
3:17.0,Offensive rebound by W. Chandler,,11-22,,
3:12.0,K. Faried misses 2-pt shot from 2 ft,,11-22,,
3:11.0,,,11-22,,Defensive rebound by Z. Randolph
2:53.0,,,11-22,,B. Udrih misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by J. Nurkic,,11-22,,
2:41.0,Turnover by T. Lawson (bad pass),,11-22,,
2:41.0,,,11-22,,Memphis full timeout
2:41.0,,,11-22,,N. Calathes enters the game for B. Udrih
2:41.0,D. Gallinari enters the game for W. Chandler,,11-22,,
2:41.0,J. Nelson enters the game for J. Nurkic,,11-22,,
2:41.0,J. Hickson enters the game for T. Lawson,,11-22,,
2:23.0,,,11-22,,Z. Randolph misses 2-pt shot from 18 ft
2:21.0,,,11-22,,Offensive rebound by Team
2:05.0,,,11-22,,N. Calathes misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by K. Faried,,11-22,,
1:47.0,K. Faried misses 2-pt shot at rim,,11-22,,
1:45.0,,,11-22,,Defensive rebound by Z. Randolph
1:36.0,,,11-22,,Shooting foul by A. Afflalo (drawn by T. Allen)
1:36.0,,,11-22,,T. Allen misses free throw 1 of 2
1:36.0,,,11-22,,Offensive rebound by Team
1:36.0,,,11-22,,T. Allen misses free throw 2 of 2
1:36.0,Defensive rebound by J. Hickson,,11-22,,
1:14.0,J. Hickson misses 2-pt shot from 15 ft,,11-22,,
1:13.0,,,11-22,,Defensive rebound by Z. Randolph
1:06.0,,,11-22,,T. Allen misses 2-pt shot from 1 ft
1:03.0,,,11-22,,Offensive rebound by T. Allen
1:03.0,,,11-22,,T. Allen misses 2-pt shot at rim
1:01.0,Defensive rebound by J. Hickson,,11-22,,
0:58.0,Turnover by D. Gallinari (bad pass; steal by Z. Randolph),,11-22,,
0:53.0,,,11-22,,Shooting foul by J. Hickson (drawn by J. Green)
0:53.0,,,11-23,1,J. Green makes free throw 1 of 2
0:53.0,R. Foye enters the game for A. Afflalo,,11-23,,
0:53.0,,,11-23,,J. Green misses free throw 2 of 2
0:52.0,,,11-23,,Offensive rebound by K. Koufos
0:46.0,,,11-23,,K. Koufos misses 2-pt shot from 6 ft
0:44.0,,,11-23,,Offensive rebound by T. Allen
0:44.0,,,11-25,2,T. Allen makes 2-pt shot at rim
0:34.0,D. Gallinari misses 3-pt shot from 26 ft,,11-25,,
0:32.0,,,11-25,,Defensive rebound by T. Allen
0:27.0,,,11-25,,Shooting foul by K. Faried (drawn by Z. Randolph)
0:27.0,,,11-25,,Z. Randolph misses free throw 1 of 2
0:27.0,,,11-25,,Offensive rebound by Team
0:27.0,,,11-25,,V. Carter enters the game for J. Green
0:27.0,D. Arthur enters the game for K. Faried,,11-25,,
0:27.0,,,11-26,1,Z. Randolph makes free throw 2 of 2
0:09.0,R. Foye misses 3-pt shot from 26 ft,,11-26,,
0:07.0,Offensive rebound by D. Gallinari,,11-26,,
0:07.0,D. Gallinari misses 2-pt shot at rim,,11-26,,
0:05.0,,,11-26,,Defensive rebound by T. Allen
0:03.0,,,11-26,,Turnover by T. Allen (lost ball; steal by D. Arthur)
0:00.0,D. Gallinari misses 3-pt shot from 30 ft,,11-26,,
0:00.0,Offensive rebound by Team,,11-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,11-26,,V. Carter misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by J. Hickson,,11-26,,
11:23.0,D. Arthur makes 2-pt shot from 16 ft (assist by J. Nelson),2,13-26,,
11:10.0,,,13-26,,N. Calathes misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by J. Nelson,,13-26,,
10:56.0,Turnover by J. Nelson (bad pass),,13-26,,
10:45.0,,,13-26,,T. Allen misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by J. Hickson,,13-26,,
10:42.0,Turnover by J. Hickson (bad pass; steal by N. Calathes),,13-26,,
10:39.0,,,13-28,2,N. Calathes makes 2-pt shot at rim
10:23.0,Shooting foul by K. Koufos (drawn by D. Arthur),,13-28,,
10:23.0,D. Arthur makes free throw 1 of 2,1,14-28,,
10:23.0,D. Arthur misses free throw 2 of 2,,14-28,,
10:20.0,,,14-28,,Defensive rebound by V. Carter
10:07.0,,,14-28,,V. Carter misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by R. Foye,,14-28,,
9:51.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,16-28,,
9:35.0,,,16-28,,Shooting foul by J. Hickson (drawn by J. Leuer)
9:35.0,,,16-29,1,J. Leuer makes free throw 1 of 2
