time,Cleveland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Pekovic (L. Brown gains possession),,,,Jump ball: T. Mozgov vs. N. Pekovic (L. Brown gains possession)
11:48.0,Personal foul by K. Irving (drawn by L. Brown),,0-0,,
11:34.0,,,0-3,3,A. Wiggins makes 3-pt shot from 24 ft (assist by L. Brown)
11:16.0,K. Irving misses 3-pt shot from 23 ft,,0-3,,
11:15.0,Offensive rebound by K. Love,,0-3,,
11:13.0,K. Love makes 2-pt shot from 3 ft,2,2-3,,
10:56.0,,,2-3,,K. Martin misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by T. Mozgov,,2-3,,
10:47.0,L. James makes 2-pt shot from 6 ft,2,4-3,,
10:35.0,,,4-3,,A. Wiggins misses 2-pt shot from 1 ft (block by L. James)
10:34.0,Defensive rebound by Team,,4-3,,
10:16.0,T. Mozgov makes 2-pt shot from 3 ft,2,6-3,,
10:15.0,,,6-3,,Technical foul by Team
10:15.0,K. Irving misses technical free throw,,6-3,,
10:15.0,,,6-3,,Offensive rebound by Team
9:57.0,,,6-3,,N. Pekovic misses 2-pt shot from 6 ft
9:55.0,Defensive rebound by K. Love,,6-3,,
9:50.0,,,6-3,,Personal foul by A. Wiggins (drawn by L. James)
9:39.0,K. Love misses 3-pt shot from 24 ft,,6-3,,
9:38.0,,,6-3,,Defensive rebound by K. Martin
9:31.0,,,6-3,,K. Martin misses 2-pt shot from 3 ft
9:30.0,Defensive rebound by K. Love,,6-3,,
9:24.0,Shooting foul by L. Brown (drawn by K. Love),,6-3,,
9:24.0,K. Love misses free throw 1 of 2,,6-3,,
9:24.0,Offensive rebound by Team,,6-3,,
9:24.0,,,6-3,,Minnesota full timeout
9:24.0,K. Love makes free throw 2 of 2,1,7-3,,
9:15.0,,,7-3,,Shooting foul by J. Smith (drawn by K. Martin)
9:15.0,,,7-3,,K. Martin misses free throw 1 of 2
9:15.0,,,7-3,,Offensive rebound by Team
9:15.0,,,7-4,1,K. Martin makes free throw 2 of 2
8:54.0,T. Mozgov makes 2-pt shot at rim (assist by J. Smith),2,9-4,,
8:38.0,,,9-4,,N. Pekovic misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by K. Love,,9-4,,
8:27.0,L. James misses 2-pt shot from 5 ft,,9-4,,
8:26.0,Offensive rebound by K. Love,,9-4,,
8:24.0,K. Love misses 2-pt shot from 1 ft,,9-4,,
8:23.0,Offensive rebound by T. Mozgov,,9-4,,
8:23.0,T. Mozgov makes 2-pt shot at rim,2,11-4,,
8:03.0,,,11-4,,A. Wiggins misses 2-pt shot from 13 ft
8:01.0,,,11-4,,Offensive rebound by N. Pekovic
8:01.0,,,11-4,,N. Pekovic misses 2-pt shot at rim
7:59.0,Defensive rebound by K. Love,,11-4,,
7:58.0,Turnover by K. Love (bad pass; steal by A. Wiggins),,11-4,,
7:54.0,,,11-6,2,A. Wiggins makes 2-pt shot from 3 ft
7:43.0,T. Mozgov misses 2-pt shot from 1 ft,,11-6,,
7:42.0,,,11-6,,Defensive rebound by N. Pekovic
7:40.0,,,11-6,,Turnover by N. Pekovic (lost ball; steal by K. Irving)
7:34.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,14-6,,
7:18.0,,,14-6,,L. Brown misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by J. Smith,,14-6,,
7:00.0,J. Smith misses 3-pt shot from 25 ft,,14-6,,
6:59.0,,,14-6,,Defensive rebound by N. Pekovic
6:45.0,,,14-9,3,T. Young makes 3-pt shot from 24 ft (assist by L. Brown)
6:24.0,Turnover by L. James (lost ball; steal by A. Wiggins),,14-9,,
6:15.0,,,14-9,,T. Young misses 2-pt shot from 4 ft
6:14.0,,,14-9,,Offensive rebound by N. Pekovic
6:14.0,,,14-9,,N. Pekovic misses 2-pt shot at rim
6:13.0,Defensive rebound by K. Love,,14-9,,
5:58.0,L. James misses 2-pt shot from 1 ft,,14-9,,
5:57.0,Offensive rebound by K. Love,,14-9,,
5:57.0,K. Love misses 2-pt shot from 1 ft,,14-9,,
5:56.0,,,14-9,,Defensive rebound by N. Pekovic
