time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Zeller (J. Smith gains possession),,,,Jump ball: A. Drummond vs. T. Zeller (J. Smith gains possession)
11:38.0,A. Drummond misses 2-pt shot from 4 ft (block by T. Zeller),,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Green
11:19.0,,,0-3,3,J. Green makes 3-pt shot from 22 ft (assist by J. Sullinger)
10:58.0,J. Smith misses 2-pt shot from 20 ft,,0-3,,
10:56.0,,,0-3,,Defensive rebound by J. Green
10:33.0,,,0-3,,A. Bradley misses 3-pt shot from 23 ft
10:32.0,,,0-3,,Offensive rebound by Team
10:32.0,,,0-3,,Turnover by Team (shot clock)
10:21.0,B. Jennings misses 2-pt shot from 22 ft,,0-3,,
10:20.0,,,0-3,,Defensive rebound by T. Zeller
10:11.0,,,0-3,,Turnover by R. Rondo (bad pass)
9:57.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,0-3,,
9:56.0,Offensive rebound by A. Drummond,,0-3,,
9:53.0,A. Drummond makes 2-pt shot at rim,2,2-3,,
9:37.0,,,2-5,2,T. Zeller makes 2-pt shot from 5 ft
9:23.0,K. Singler misses 3-pt shot from 24 ft,,2-5,,
9:21.0,,,2-5,,Defensive rebound by Team
9:10.0,,,2-7,2,J. Green makes 2-pt shot from 8 ft (assist by R. Rondo)
8:55.0,J. Smith makes 2-pt shot from 7 ft (assist by B. Jennings),2,4-7,,
8:40.0,,,4-9,2,J. Sullinger makes 2-pt shot from 21 ft (assist by R. Rondo)
8:28.0,J. Smith misses 2-pt shot from 19 ft,,4-9,,
8:26.0,,,4-9,,Defensive rebound by T. Zeller
8:16.0,,,4-9,,J. Sullinger misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by Team,,4-9,,
8:00.0,K. Singler misses 3-pt shot from 25 ft,,4-9,,
7:59.0,,,4-9,,Defensive rebound by J. Sullinger
7:53.0,,,4-11,2,R. Rondo makes 2-pt shot from 17 ft
7:38.0,Turnover by J. Smith (lost ball; steal by R. Rondo),,4-11,,
7:27.0,,,4-11,,J. Green misses 2-pt shot from 14 ft
7:26.0,Defensive rebound by A. Drummond,,4-11,,
7:21.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,6-11,,
7:05.0,,,6-11,,J. Green misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by A. Drummond,,6-11,,
6:57.0,Turnover by B. Jennings (lost ball; steal by J. Sullinger),,6-11,,
6:51.0,,,6-14,3,A. Bradley makes 3-pt shot from 23 ft (assist by R. Rondo)
6:32.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,8-14,,
6:17.0,,,8-14,,J. Green misses 2-pt shot from 6 ft (block by A. Drummond)
6:16.0,Defensive rebound by J. Smith,,8-14,,
6:08.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,8-14,,
6:06.0,,,8-14,,Defensive rebound by T. Zeller
5:50.0,,,8-16,2,T. Zeller makes 2-pt shot from 14 ft (assist by J. Green)
5:44.0,Detroit full timeout,,8-16,,
5:44.0,,,8-16,,E. Turner enters the game for R. Rondo
5:44.0,G. Monroe enters the game for J. Smith,,8-16,,
5:26.0,K. Singler misses 2-pt shot from 12 ft,,8-16,,
5:25.0,,,8-16,,Defensive rebound by J. Sullinger
5:12.0,Violation by A. Drummond (def goaltending),,8-16,,
5:12.0,,,8-18,2,J. Green makes 2-pt shot from 5 ft
4:56.0,Shooting foul by J. Sullinger (drawn by G. Monroe),,8-18,,
4:56.0,G. Monroe makes free throw 1 of 2,1,9-18,,
4:56.0,,,9-18,,K. Olynyk enters the game for T. Zeller
4:56.0,C. Butler enters the game for K. Singler,,9-18,,
4:56.0,G. Monroe makes free throw 2 of 2,1,10-18,,
4:42.0,,,10-18,,J. Green misses 2-pt shot from 9 ft
4:41.0,Defensive rebound by A. Drummond,,10-18,,
4:25.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,12-18,,
4:16.0,,,12-18,,B. Bass enters the game for J. Sullinger
4:16.0,Jump ball: C. Butler vs. K. Olynyk (J. Green gains possession),,,,Jump ball: C. Butler vs. K. Olynyk (J. Green gains possession)
4:11.0,,,12-18,,J. Green misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by A. Drummond,,12-18,,
4:01.0,B. Jennings misses 2-pt shot from 15 ft,,12-18,,
4:00.0,,,12-18,,Defensive rebound by E. Turner
3:51.0,,,12-18,,J. Green misses 2-pt shot from 13 ft
3:49.0,Defensive rebound by A. Drummond,,12-18,,
3:39.0,Shooting foul by K. Olynyk (drawn by G. Monroe),,12-18,,
3:39.0,G. Monroe makes free throw 1 of 2,1,13-18,,
3:39.0,,,13-18,,P. Pressey enters the game for A. Bradley
3:39.0,G. Monroe makes free throw 2 of 2,1,14-18,,
3:17.0,,,14-18,,K. Olynyk misses 2-pt shot from 14 ft
3:16.0,Defensive rebound by C. Butler,,14-18,,
3:09.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,16-18,,
2:47.0,,,16-18,,B. Bass misses 2-pt shot from 5 ft
2:46.0,,,16-18,,Offensive rebound by Team
2:46.0,,,16-18,,Boston full timeout
2:38.0,Personal foul by K. Caldwell-Pope (drawn by J. Green),,16-18,,
2:32.0,,,16-18,,Turnover by E. Turner (bad pass; steal by A. Drummond)
2:29.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,18-18,,
2:29.0,Shooting foul by E. Turner (drawn by A. Drummond),,18-18,,
2:29.0,,,18-18,,M. Thornton enters the game for J. Green
2:29.0,A. Drummond makes free throw 1 of 1,1,19-18,,
2:13.0,,,19-18,,E. Turner misses 2-pt shot from 14 ft
2:12.0,Defensive rebound by G. Monroe,,19-18,,
2:01.0,B. Jennings misses 2-pt shot from 2 ft,,19-18,,
2:00.0,,,19-18,,Defensive rebound by B. Bass
1:46.0,,,19-18,,Turnover by K. Olynyk (lost ball)
1:46.0,,,19-18,,J. Sullinger enters the game for B. Bass
1:46.0,,,19-18,,T. Zeller enters the game for K. Olynyk
1:33.0,C. Butler makes 2-pt shot from 6 ft (assist by B. Jennings),2,21-18,,
1:22.0,,,21-21,3,P. Pressey makes 3-pt shot from 25 ft (assist by E. Turner)
1:03.0,G. Monroe misses 2-pt shot from 17 ft,,21-21,,
1:00.0,Offensive rebound by K. Caldwell-Pope,,21-21,,
0:45.0,C. Butler misses 2-pt shot from 16 ft,,21-21,,
0:43.0,,,21-21,,Defensive rebound by T. Zeller
0:38.0,,,21-21,,R. Rondo enters the game for P. Pressey
0:38.0,,,21-21,,Turnover by R. Rondo (lost ball; steal by K. Caldwell-Pope)
0:35.0,K. Caldwell-Pope makes 2-pt shot at rim,2,23-21,,
0:21.0,,,23-21,,M. Thornton misses 2-pt shot from 20 ft
0:18.0,Defensive rebound by Team,,23-21,,
0:02.0,G. Monroe misses 2-pt shot from 3 ft (block by J. Sullinger),,23-21,,
0:01.0,Offensive rebound by Team,,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-21,,E. Turner misses 2-pt shot from 3 ft
11:45.0,Defensive rebound by C. Butler,,23-21,,
11:31.0,C. Butler misses 2-pt shot from 12 ft,,23-21,,
11:30.0,,,23-21,,Defensive rebound by E. Turner
11:23.0,,,23-21,,M. Thornton misses 2-pt shot from 3 ft
11:22.0,Defensive rebound by K. Caldwell-Pope,,23-21,,
11:10.0,G. Monroe makes 2-pt shot from 4 ft,2,25-21,,
10:56.0,,,25-23,2,T. Zeller makes 2-pt shot at rim (assist by M. Thornton)
10:38.0,Shooting foul by T. Zeller (drawn by G. Monroe),,25-23,,
10:38.0,G. Monroe makes free throw 1 of 2,1,26-23,,
10:38.0,C. Martin enters the game for K. Caldwell-Pope,,26-23,,
10:38.0,,,26-23,,M. Smart enters the game for E. Turner
10:38.0,G. Monroe makes free throw 2 of 2,1,27-23,,
10:24.0,,,27-23,,J. Sullinger misses 2-pt shot from 3 ft
10:23.0,Defensive rebound by J. Smith,,27-23,,
10:17.0,C. Martin misses 3-pt shot from 23 ft,,27-23,,
10:16.0,Offensive rebound by Team,,27-23,,
10:13.0,,,27-23,,Personal foul by M. Smart (drawn by C. Martin)
9:53.0,Turnover by J. Smith (lost ball; steal by R. Rondo),,27-23,,
9:45.0,,,27-23,,R. Rondo misses 2-pt shot from 4 ft
9:42.0,Defensive rebound by J. Smith,,27-23,,
9:31.0,G. Monroe misses 2-pt shot from 13 ft,,27-23,,
9:30.0,,,27-23,,Defensive rebound by M. Thornton
9:11.0,,,27-25,2,T. Zeller makes 2-pt shot from 4 ft
8:49.0,D. Augustin misses 2-pt shot from 4 ft,,27-25,,
8:48.0,,,27-25,,Defensive rebound by R. Rondo
8:41.0,,,27-25,,M. Thornton misses 3-pt shot from 25 ft
8:40.0,,,27-25,,Offensive rebound by T. Zeller
8:37.0,,,27-25,,M. Smart misses 3-pt shot from 22 ft
8:35.0,Defensive rebound by J. Smith,,27-25,,
8:27.0,C. Butler misses 2-pt shot from 14 ft,,27-25,,
8:26.0,Offensive rebound by D. Augustin,,27-25,,
8:24.0,Shooting foul by T. Zeller (drawn by J. Smith),,27-25,,
8:24.0,Official timeout,,27-25,,
8:24.0,,,27-25,,K. Olynyk enters the game for T. Zeller
8:24.0,,,27-25,,A. Bradley enters the game for M. Thornton
8:24.0,J. Smith misses free throw 1 of 2,,27-25,,
8:24.0,Offensive rebound by Team,,27-25,,
8:24.0,J. Smith makes free throw 2 of 2,1,28-25,,
8:09.0,,,28-25,,J. Sullinger misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by D. Augustin,,28-25,,
