time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (Z. Randolph gains possession)
11:39.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,3-0,,
11:13.0,,,3-0,,K. Thompson misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by C. Lee,,3-0,,
10:56.0,C. Lee misses 2-pt shot from 13 ft,,3-0,,
10:55.0,,,3-0,,Defensive rebound by D. Green
10:29.0,,,3-3,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
10:06.0,Turnover by C. Lee (lost ball; steal by A. Bogut),,3-3,,
10:00.0,,,3-5,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
9:51.0,Turnover by N. Calathes (bad pass; steal by S. Curry),,3-5,,
9:42.0,,,3-5,,S. Curry misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by Z. Randolph,,3-5,,
9:32.0,T. Allen misses 2-pt shot from 4 ft,,3-5,,
9:31.0,,,3-5,,Defensive rebound by K. Thompson
9:21.0,,,3-8,3,D. Green makes 3-pt shot from 27 ft (assist by A. Bogut)
9:11.0,,,3-8,,Personal foul by S. Curry (drawn by N. Calathes)
9:02.0,Z. Randolph makes 2-pt shot from 18 ft (assist by N. Calathes),2,5-8,,
8:47.0,,,5-10,2,K. Thompson makes 2-pt shot from 14 ft (assist by H. Barnes)
8:33.0,M. Gasol makes 2-pt shot from 8 ft (assist by Z. Randolph),2,7-10,,
8:21.0,,,7-10,,Turnover by K. Thompson (bad pass; steal by M. Gasol)
8:13.0,T. Allen makes 2-pt shot from 2 ft (assist by C. Lee),2,9-10,,
8:02.0,,,9-10,,D. Green misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by M. Gasol,,9-10,,
7:44.0,M. Gasol misses 2-pt shot from 16 ft,,9-10,,
7:43.0,,,9-10,,Defensive rebound by H. Barnes
7:40.0,,,9-10,,Shooting foul by M. Gasol (drawn by H. Barnes)
7:40.0,,,9-11,1,H. Barnes makes free throw 1 of 2
7:40.0,,,9-12,1,H. Barnes makes free throw 2 of 2
7:24.0,T. Allen makes 2-pt shot from 3 ft,2,11-12,,
7:13.0,,,11-14,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
6:58.0,N. Calathes misses 2-pt shot from 4 ft,,11-14,,
6:57.0,Offensive rebound by T. Allen,,11-14,,
6:57.0,T. Allen misses 2-pt shot from 1 ft,,11-14,,
6:55.0,,,11-14,,Defensive rebound by D. Green
6:51.0,,,11-14,,Turnover by S. Curry (bad pass; steal by M. Gasol)
6:38.0,Z. Randolph misses 2-pt shot from 4 ft,,11-14,,
6:38.0,,,11-14,,Defensive rebound by Team
6:38.0,Loose ball foul by Z. Randolph (drawn by D. Green),,11-14,,
6:24.0,,,11-17,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
6:06.0,Shooting foul by D. Green (drawn by M. Gasol),,11-17,,
6:06.0,M. Gasol makes free throw 1 of 2,1,12-17,,
6:06.0,,,12-17,,A. Iguodala enters the game for H. Barnes
6:06.0,,,12-17,,Golden State full timeout
6:06.0,M. Gasol misses free throw 2 of 2,,12-17,,
