time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. R. Hibbert (J. Smith gains possession),,,,Jump ball: L. Amundson vs. R. Hibbert (J. Smith gains possession)
11:34.0,C. Anthony misses 2-pt shot from 16 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by R. Hibbert
11:12.0,,,0-0,,D. West misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by L. Amundson,,0-0,,
10:59.0,L. Amundson makes 2-pt shot from 2 ft (assist by J. Calderon),2,2-0,,
10:41.0,,,2-0,,S. Hill misses 3-pt shot from 27 ft
10:40.0,Defensive rebound by L. Galloway,,2-0,,
10:25.0,L. Amundson makes 2-pt shot from 19 ft (assist by J. Calderon),2,4-0,,
10:06.0,Violation by C. Anthony (kicked ball),,4-0,,
10:01.0,Personal foul by L. Amundson (drawn by R. Hibbert),,4-0,,
9:49.0,,,4-0,,C. Watson misses 2-pt shot from 2 ft
9:48.0,Defensive rebound by L. Amundson,,4-0,,
9:30.0,J. Calderon makes 2-pt shot from 18 ft,2,6-0,,
9:03.0,,,6-0,,Shooting foul by J. Smith (drawn by D. West)
9:03.0,,,6-1,1,D. West makes free throw 1 of 2
9:03.0,,,6-2,1,D. West makes free throw 2 of 2
8:50.0,Turnover by C. Anthony (bad pass; steal by R. Hibbert),,6-2,,
8:40.0,,,6-4,2,R. Stuckey makes 2-pt shot from 7 ft
8:24.0,J. Smith makes 2-pt shot from 15 ft (assist by J. Calderon),2,8-4,,
8:06.0,,,8-4,,S. Hill misses 2-pt shot from 1 ft (block by L. Amundson)
8:04.0,Defensive rebound by J. Smith,,8-4,,
7:59.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon),3,11-4,,
7:38.0,,,11-4,,Offensive charge foul by R. Hibbert
7:38.0,,,11-4,,Turnover by R. Hibbert (offensive foul)
7:29.0,L. Amundson misses 2-pt shot from 5 ft,,11-4,,
7:28.0,,,11-4,,Defensive rebound by R. Hibbert
7:19.0,,,11-6,2,D. West makes 2-pt shot from 1 ft (assist by S. Hill)
6:58.0,L. Amundson makes 2-pt shot from 1 ft (assist by J. Smith),2,13-6,,
6:58.0,Shooting foul by S. Hill (drawn by L. Amundson),,13-6,,
6:58.0,L. Amundson misses free throw 1 of 1,,13-6,,
