time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (O. Asik gains possession),,,,Jump ball: A. Davis vs. R. Gobert (O. Asik gains possession)
11:40.0,,,0-0,,Shooting foul by R. Gobert (drawn by O. Asik)
11:40.0,,,0-1,1,O. Asik makes free throw 1 of 2
11:40.0,,,0-2,1,O. Asik makes free throw 2 of 2
11:22.0,T. Burke makes 3-pt shot from 24 ft (assist by A. Burks),3,3-2,,
11:09.0,,,3-4,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
10:53.0,T. Burke makes 2-pt shot from 1 ft,2,5-4,,
10:43.0,,,5-4,,Turnover by O. Asik (lost ball; steal by A. Burks)
10:38.0,T. Burke makes 2-pt shot from 2 ft (assist by A. Burks),2,7-4,,
10:29.0,,,7-4,,L. Babbitt misses 3-pt shot from 22 ft
10:28.0,Defensive rebound by T. Burke,,7-4,,
10:16.0,G. Hayward misses 2-pt shot from 17 ft,,7-4,,
10:15.0,,,7-4,,Defensive rebound by A. Davis
10:08.0,,,7-4,,Turnover by T. Evans (bad pass)
9:59.0,,,7-4,,Personal foul by L. Babbitt (drawn by G. Hayward)
9:50.0,Turnover by T. Burke (lost ball; steal by J. Holiday),,7-4,,
9:45.0,,,7-4,,Turnover by L. Babbitt (lost ball; steal by A. Burks)
9:38.0,R. Gobert misses 2-pt shot from 5 ft (block by O. Asik),,7-4,,
9:36.0,,,7-4,,Defensive rebound by T. Evans
9:31.0,,,7-6,2,T. Evans makes 2-pt shot from 1 ft
9:12.0,A. Burks makes 2-pt shot from 2 ft (assist by E. Kanter),2,9-6,,
9:06.0,,,9-6,,Turnover by T. Evans (step out of bounds)
8:50.0,Turnover by T. Burke (lost ball; steal by O. Asik),,9-6,,
8:44.0,,,9-6,,L. Babbitt misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by A. Burks,,9-6,,
8:36.0,,,9-6,,Personal foul by L. Babbitt (drawn by G. Hayward)
8:36.0,,,9-6,,D. Cunningham enters the game for L. Babbitt
8:29.0,T. Burke makes 2-pt shot from 19 ft (assist by R. Gobert),2,11-6,,
8:17.0,,,11-6,,J. Holiday misses 2-pt shot from 11 ft (block by R. Gobert)
8:15.0,,,11-6,,Offensive rebound by D. Cunningham
8:11.0,,,11-6,,Turnover by O. Asik (traveling)
7:55.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,13-6,,
7:54.0,,,13-6,,New Orleans full timeout
7:45.0,,,13-6,,Turnover by J. Holiday (bad pass)
7:24.0,E. Kanter misses 2-pt shot from 17 ft,,13-6,,
7:23.0,,,13-6,,Defensive rebound by O. Asik
7:08.0,,,13-8,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans)
6:57.0,,,13-8,,Violation by J. Holiday (kicked ball)
6:48.0,E. Kanter misses 2-pt shot from 7 ft,,13-8,,
6:47.0,,,13-8,,Defensive rebound by A. Davis
6:36.0,,,13-8,,T. Evans misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by G. Hayward,,13-8,,
6:16.0,E. Kanter makes 2-pt shot at rim (assist by R. Gobert),2,15-8,,
5:51.0,,,15-10,2,A. Davis makes 2-pt shot from 19 ft
5:36.0,A. Burks misses 2-pt shot from 2 ft,,15-10,,
5:35.0,,,15-10,,Defensive rebound by O. Asik
5:22.0,,,15-10,,T. Evans misses 2-pt shot from 6 ft (block by T. Burke)
5:20.0,Defensive rebound by T. Burke,,15-10,,
5:16.0,R. Hood enters the game for A. Burks,,15-10,,
5:16.0,T. Booker enters the game for E. Kanter,,15-10,,
5:04.0,Shooting foul by T. Evans (drawn by T. Burke),,15-10,,
5:04.0,T. Burke makes free throw 1 of 2,1,16-10,,
5:04.0,T. Burke makes free throw 2 of 2,1,17-10,,
4:43.0,,,17-12,2,J. Holiday makes 2-pt shot from 15 ft
4:19.0,T. Burke makes 3-pt shot from 27 ft,3,20-12,,
4:03.0,,,20-12,,A. Davis misses 2-pt shot from 14 ft
4:02.0,,,20-12,,Offensive rebound by Team
3:51.0,,,20-12,,Turnover by J. Holiday (traveling)
3:29.0,T. Booker makes 2-pt shot at rim,2,22-12,,
3:15.0,,,22-12,,Shooting foul by R. Hood (drawn by O. Asik)
3:15.0,,,22-13,1,O. Asik makes free throw 1 of 2
3:15.0,,,22-13,,A. Rivers enters the game for T. Evans
3:15.0,,,22-13,,O. Asik misses free throw 2 of 2
3:15.0,Defensive rebound by R. Gobert,,22-13,,
3:04.0,G. Hayward makes 2-pt shot from 2 ft,2,24-13,,
2:38.0,Utah full timeout,,24-13,,
2:38.0,,,24-13,,R. Anderson enters the game for O. Asik
2:38.0,D. Exum enters the game for T. Burke,,24-13,,
2:37.0,,,24-13,,Turnover by D. Cunningham (bad pass; steal by R. Hood)
2:34.0,Offensive charge foul by R. Hood,,24-13,,
2:34.0,Turnover by R. Hood (offensive foul),,24-13,,
2:34.0,J. Evans enters the game for R. Gobert,,24-13,,
2:18.0,,,24-13,,Shooting foul by J. Evans (drawn by A. Davis)
2:18.0,,,24-14,1,A. Davis makes free throw 1 of 2
2:18.0,,,24-14,,J. Fredette enters the game for J. Holiday
2:18.0,,,24-15,1,A. Davis makes free throw 2 of 2
2:05.0,,,24-15,,Violation by D. Cunningham (kicked ball)
1:55.0,J. Evans misses 2-pt shot from 17 ft,,24-15,,
1:54.0,Offensive rebound by T. Booker,,24-15,,
1:39.0,G. Hayward makes 2-pt shot from 11 ft,2,26-15,,
1:23.0,,,26-18,3,R. Anderson makes 3-pt shot from 26 ft (assist by A. Rivers)
1:14.0,Turnover by D. Exum (lost ball),,26-18,,
1:01.0,,,26-18,,Offensive foul by A. Davis
1:01.0,,,26-18,,Turnover by A. Davis (offensive foul)
1:01.0,,,26-18,,J. Withey enters the game for A. Davis
0:52.0,Turnover by T. Booker (bad pass; steal by D. Cunningham),,26-18,,
0:39.0,,,26-20,2,D. Cunningham makes 2-pt shot from 18 ft (assist by J. Fredette)
0:32.0,G. Hayward misses 2-pt shot from 13 ft,,26-20,,
0:30.0,Offensive rebound by Team,,26-20,,
0:12.0,Turnover by G. Hayward (lost ball; steal by R. Anderson),,26-20,,
0:03.0,,,26-20,,J. Fredette misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by R. Hood,,26-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,E. Kanter makes 2-pt shot at rim (assist by D. Exum),2,28-20,,
11:21.0,,,28-22,2,J. Withey makes 2-pt shot from 2 ft (assist by R. Anderson)
10:57.0,E. Kanter misses 2-pt shot from 4 ft,,28-22,,
10:56.0,,,28-22,,Defensive rebound by R. Anderson
10:43.0,,,28-24,2,R. Anderson makes 2-pt shot from 2 ft
10:18.0,D. Exum misses 2-pt shot from 7 ft,,28-24,,
10:17.0,,,28-24,,Defensive rebound by D. Cunningham
