time,Boston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Len (P. Tucker gains possession),,,,Jump ball: B. Bass vs. A. Len (P. Tucker gains possession)
11:41.0,,,0-0,,M. Morris misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by B. Bass,,0-0,,
11:21.0,T. Zeller misses 2-pt shot from 13 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by A. Len
11:10.0,,,0-0,,B. Knight misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by Team,,0-0,,
10:54.0,Turnover by E. Turner (bad pass; steal by E. Bledsoe),,0-0,,
10:50.0,,,0-2,2,E. Bledsoe makes 2-pt shot at rim
10:35.0,B. Bass makes 2-pt shot from 14 ft (assist by M. Smart),2,2-2,,
10:24.0,,,2-2,,M. Morris misses 2-pt shot from 12 ft
10:22.0,Defensive rebound by A. Bradley,,2-2,,
10:05.0,Turnover by A. Bradley (bad pass; steal by M. Morris),,2-2,,
9:58.0,,,2-2,,Turnover by B. Knight (bad pass; steal by A. Bradley)
9:49.0,Shooting foul by B. Knight (drawn by A. Bradley),,2-2,,
9:49.0,A. Bradley makes free throw 1 of 2,1,3-2,,
9:49.0,A. Bradley makes free throw 2 of 2,1,4-2,,
9:30.0,,,4-2,,P. Tucker misses 2-pt shot from 6 ft
9:27.0,Defensive rebound by E. Turner,,4-2,,
9:20.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,6-2,,
9:10.0,,,6-2,,Turnover by B. Knight (lost ball; steal by M. Smart)
9:01.0,B. Bass misses 2-pt shot from 15 ft,,6-2,,
8:59.0,,,6-2,,Defensive rebound by A. Len
8:49.0,,,6-4,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
8:34.0,B. Bass misses 2-pt shot from 3 ft (block by A. Len),,6-4,,
8:31.0,,,6-4,,Defensive rebound by A. Len
8:19.0,,,6-4,,P. Tucker misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by M. Smart,,6-4,,
8:08.0,E. Turner makes 2-pt shot from 7 ft,2,8-4,,
7:59.0,,,8-4,,B. Knight misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by T. Zeller,,8-4,,
7:45.0,M. Smart makes 3-pt shot from 25 ft (assist by B. Bass),3,11-4,,
7:22.0,,,11-6,2,A. Len makes 2-pt shot from 7 ft
6:59.0,Turnover by E. Turner (bad pass; steal by M. Morris),,11-6,,
6:55.0,,,11-8,2,B. Knight makes 2-pt shot at rim (assist by M. Morris)
6:35.0,A. Bradley makes 2-pt shot from 15 ft,2,13-8,,
6:25.0,Personal foul by B. Bass (drawn by M. Morris),,13-8,,
6:16.0,,,13-8,,Turnover by E. Bledsoe (bad pass; steal by B. Bass)
6:15.0,B. Bass makes 2-pt shot from 1 ft (assist by M. Smart),2,15-8,,
6:04.0,,,15-8,,Phoenix full timeout
5:45.0,,,15-10,2,A. Len makes 2-pt shot from 7 ft
5:31.0,Turnover by M. Smart (bad pass),,15-10,,
5:24.0,,,15-13,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
5:05.0,A. Bradley makes 2-pt shot from 18 ft,2,17-13,,
5:00.0,,,17-13,,Turnover by E. Bledsoe (bad pass)
5:00.0,I. Thomas enters the game for M. Smart,,17-13,,
4:44.0,A. Bradley makes 3-pt shot from 23 ft (assist by E. Turner),3,20-13,,
4:33.0,,,20-13,,E. Bledsoe misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by B. Bass,,20-13,,
4:25.0,I. Thomas misses 3-pt shot from 23 ft,,20-13,,
4:23.0,,,20-13,,Defensive rebound by P. Tucker
4:12.0,,,20-13,,M. Morris misses 2-pt shot from 9 ft
4:08.0,Defensive rebound by E. Turner,,20-13,,
3:54.0,E. Turner misses 3-pt shot from 24 ft,,20-13,,
3:52.0,Offensive rebound by E. Turner,,20-13,,
3:49.0,A. Bradley makes 3-pt shot from 23 ft (assist by E. Turner),3,23-13,,
3:34.0,Personal foul by A. Bradley (drawn by B. Knight),,23-13,,
3:34.0,,,23-13,,M. Morris enters the game for P. Tucker
3:34.0,,,23-13,,A. Goodwin enters the game for M. Morris
3:34.0,,,23-13,,B. Wright enters the game for B. Knight
3:34.0,J. Crowder enters the game for B. Bass,,23-13,,
3:27.0,,,23-13,,M. Morris misses 3-pt shot from 23 ft
3:26.0,,,23-13,,Offensive rebound by Team
3:03.0,,,23-13,,Turnover by A. Goodwin (lost ball; steal by A. Bradley)
2:56.0,I. Thomas misses 2-pt shot from 4 ft,,23-13,,
2:54.0,,,23-13,,Defensive rebound by M. Morris
2:48.0,,,23-15,2,B. Wright makes 2-pt shot at rim (assist by M. Morris)
2:34.0,J. Crowder misses 3-pt shot from 24 ft,,23-15,,
2:33.0,Offensive rebound by T. Zeller,,23-15,,
2:27.0,J. Crowder misses 2-pt shot from 17 ft,,23-15,,
2:26.0,,,23-15,,Defensive rebound by B. Wright
2:09.0,,,23-15,,A. Len misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by J. Crowder,,23-15,,
1:53.0,,,23-15,,Personal foul by E. Bledsoe (drawn by J. Crowder)
1:53.0,Boston full timeout,,23-15,,
1:53.0,,,23-15,,E. Barron enters the game for A. Len
1:53.0,J. Young enters the game for E. Turner,,23-15,,
