time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. D. Howard (J. Terry gains possession),,,,Jump ball: G. Dieng vs. D. Howard (J. Terry gains possession)
11:41.0,,,0-0,,Turnover by J. Smith (bad pass)
11:24.0,A. Wiggins misses 2-pt shot from 20 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by Team
11:16.0,,,0-0,,Shooting foul by A. Payne (drawn by J. Harden)
11:16.0,,,0-1,1,J. Harden makes free throw 1 of 2
11:16.0,,,0-2,1,J. Harden makes free throw 2 of 2
11:00.0,A. Payne makes 2-pt shot from 9 ft,2,2-2,,
10:53.0,,,2-4,2,T. Ariza makes 2-pt shot from 21 ft (assist by J. Harden)
10:28.0,G. Dieng misses 2-pt shot from 19 ft,,2-4,,
10:27.0,,,2-4,,Defensive rebound by D. Howard
10:19.0,,,2-6,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
10:04.0,A. Payne misses 2-pt shot from 12 ft,,2-6,,
10:02.0,,,2-6,,Defensive rebound by J. Harden
9:55.0,,,2-9,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith)
9:31.0,Z. LaVine misses 2-pt shot from 22 ft,,2-9,,
9:29.0,,,2-9,,Defensive rebound by T. Ariza
9:24.0,,,2-11,2,J. Smith makes 2-pt shot from 2 ft (assist by T. Ariza)
9:23.0,Minnesota full timeout,,2-11,,
8:59.0,Turnover by Team (shot clock),,2-11,,
8:48.0,,,2-13,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:23.0,G. Dieng makes 2-pt shot from 16 ft (assist by A. Payne),2,4-13,,
8:13.0,,,4-13,,T. Ariza misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by Z. LaVine,,4-13,,
8:03.0,Shooting foul by D. Howard (drawn by A. Wiggins),,4-13,,
8:03.0,A. Wiggins makes free throw 1 of 2,1,5-13,,
8:03.0,,,5-13,,J. Dorsey enters the game for D. Howard
8:03.0,A. Wiggins makes free throw 2 of 2,1,6-13,,
7:51.0,,,6-13,,J. Harden misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by A. Payne,,6-13,,
7:47.0,Turnover by A. Payne (bad pass; steal by J. Harden),,6-13,,
7:46.0,,,6-13,,Offensive charge foul by J. Harden
7:46.0,,,6-13,,Turnover by J. Harden (offensive foul)
7:33.0,A. Payne makes 2-pt shot from 5 ft (assist by Z. LaVine),2,8-13,,
7:15.0,,,8-16,3,J. Terry makes 3-pt shot from 24 ft (assist by T. Ariza)
6:57.0,A. Wiggins makes 2-pt shot from 4 ft (assist by A. Payne),2,10-16,,
6:40.0,,,10-19,3,J. Smith makes 3-pt shot from 23 ft (assist by T. Ariza)
6:24.0,A. Payne misses 2-pt shot from 7 ft,,10-19,,
6:22.0,,,10-19,,Defensive rebound by J. Smith
6:16.0,,,10-19,,J. Harden misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by G. Dieng,,10-19,,
6:07.0,,,10-19,,Personal foul by J. Terry (drawn by G. Dieng)
5:57.0,A. Wiggins makes 2-pt shot from 3 ft,2,12-19,,
5:36.0,,,12-19,,Turnover by J. Smith (lost ball)
5:24.0,L. Brown misses 3-pt shot from 25 ft,,12-19,,
5:23.0,Offensive rebound by G. Dieng,,12-19,,
5:19.0,L. Brown makes 2-pt shot from 3 ft (assist by G. Dieng),2,14-19,,
5:03.0,,,14-19,,J. Dorsey misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by A. Payne,,14-19,,
4:56.0,Shooting foul by T. Ariza (drawn by A. Wiggins),,14-19,,
4:56.0,A. Wiggins makes free throw 1 of 2,1,15-19,,
4:56.0,C. Budinger enters the game for A. Payne,,15-19,,
4:56.0,,,15-19,,C. Brewer enters the game for J. Smith
4:56.0,,,15-19,,P. Prigioni enters the game for J. Terry
4:56.0,A. Wiggins misses free throw 2 of 2,,15-19,,
4:55.0,,,15-19,,Defensive rebound by J. Dorsey
4:43.0,,,15-19,,J. Harden misses 3-pt shot from 25 ft
4:41.0,,,15-19,,Offensive rebound by C. Brewer
4:34.0,,,15-22,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Brewer)
4:16.0,Z. LaVine misses 2-pt shot from 21 ft,,15-22,,
4:14.0,,,15-22,,Defensive rebound by C. Brewer
4:07.0,,,15-22,,T. Ariza misses 3-pt shot from 24 ft
4:06.0,,,15-22,,Offensive rebound by J. Dorsey
3:46.0,,,15-22,,Turnover by J. Harden (lost ball)
3:30.0,Turnover by Z. LaVine (bad pass; steal by J. Harden),,15-22,,
3:24.0,,,15-22,,J. Harden misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by A. Wiggins,,15-22,,
3:01.0,G. Dieng makes 2-pt shot from 6 ft (assist by L. Brown),2,17-22,,
2:40.0,,,17-22,,Turnover by P. Prigioni (bad pass; steal by G. Dieng)
2:32.0,A. Wiggins misses 2-pt shot from 20 ft,,17-22,,
2:29.0,,,17-22,,Defensive rebound by C. Brewer
2:26.0,Personal foul by L. Brown (drawn by J. Harden),,17-22,,
2:26.0,,,17-22,,Houston full timeout
2:26.0,S. Kilpatrick enters the game for Z. LaVine,,17-22,,
2:26.0,,,17-22,,J. Smith enters the game for T. Ariza
2:14.0,,,17-25,3,J. Harden makes 3-pt shot from 25 ft (assist by J. Dorsey)
1:54.0,C. Budinger makes 2-pt shot from 2 ft,2,19-25,,
1:42.0,,,19-25,,C. Brewer misses 2-pt shot from 17 ft
1:41.0,,,19-25,,Offensive rebound by P. Prigioni
1:36.0,,,19-25,,P. Prigioni misses 3-pt shot from 24 ft
1:35.0,,,19-25,,Offensive rebound by J. Dorsey
1:32.0,,,19-27,2,J. Dorsey makes 2-pt shot from 2 ft
1:12.0,G. Dieng misses 2-pt shot from 15 ft,,19-27,,
1:11.0,,,19-27,,Defensive rebound by C. Brewer
1:08.0,,,19-27,,Turnover by C. Brewer (bad pass)
0:55.0,C. Budinger makes 3-pt shot from 25 ft (assist by L. Brown),3,22-27,,
0:41.0,,,22-29,2,J. Harden makes 2-pt shot from 1 ft
0:35.0,L. Brown misses 2-pt shot from 1 ft (block by J. Dorsey),,22-29,,
0:34.0,,,22-29,,Defensive rebound by Team
0:32.0,Personal foul by A. Wiggins (drawn by C. Brewer),,22-29,,
0:32.0,J. Hamilton enters the game for G. Dieng,,22-29,,
0:14.0,,,22-29,,J. Harden misses 2-pt shot from 5 ft
0:12.0,,,22-29,,Offensive rebound by C. Brewer
0:11.0,,,22-29,,C. Brewer misses 2-pt shot from 1 ft
0:10.0,,,22-29,,Offensive rebound by C. Brewer
0:02.0,,,22-31,2,J. Dorsey makes 2-pt shot from 2 ft (assist by J. Smith)
0:02.0,Turnover by C. Budinger (bad pass; steal by J. Harden),,22-31,,
0:00.0,,,22-31,,J. Harden misses 3-pt shot from 41 ft
0:00.0,,,22-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by L. Brown (bad pass),,22-31,,
11:20.0,,,22-34,3,J. Smith makes 3-pt shot from 26 ft
11:03.0,Turnover by A. Wiggins (bad pass),,22-34,,
11:03.0,Z. LaVine enters the game for L. Brown,,22-34,,
11:03.0,A. Payne enters the game for A. Wiggins,,22-34,,
10:45.0,,,22-34,,C. Brewer misses 3-pt shot from 23 ft
10:44.0,,,22-34,,Offensive rebound by J. Smith
10:42.0,,,22-36,2,J. Smith makes 2-pt shot from 2 ft
10:35.0,Minnesota full timeout,,22-36,,
10:35.0,,,22-36,,J. Terry enters the game for P. Prigioni
10:26.0,Z. LaVine misses 2-pt shot from 17 ft,,22-36,,
10:23.0,,,22-36,,Defensive rebound by T. Ariza
10:11.0,,,22-36,,Turnover by J. Smith (bad pass; steal by J. Hamilton)
9:58.0,Turnover by Z. LaVine (lost ball; steal by D. Howard),,22-36,,
9:45.0,,,22-38,2,D. Howard makes 2-pt shot at rim (assist by J. Smith)
9:26.0,Shooting foul by C. Brewer (drawn by C. Budinger),,22-38,,
9:26.0,C. Budinger makes free throw 1 of 2,1,23-38,,
9:26.0,C. Budinger makes free throw 2 of 2,1,24-38,,
9:14.0,,,24-40,2,D. Howard makes 2-pt shot at rim (assist by J. Smith)
8:58.0,C. Budinger makes 2-pt shot from 2 ft (assist by J. Hamilton),2,26-40,,
8:58.0,,,26-40,,Violation by D. Howard (def goaltending)
8:39.0,,,26-40,,Turnover by T. Ariza (traveling)
8:25.0,Jump ball: J. Hamilton vs. J. Terry (S. Kilpatrick gains possession),,,,Jump ball: J. Hamilton vs. J. Terry (S. Kilpatrick gains possession)
8:19.0,Turnover by J. Hamilton (lost ball; steal by C. Brewer),,26-40,,
8:15.0,,,26-40,,Turnover by C. Brewer (bad pass)
8:06.0,,,26-40,,Shooting block foul by J. Smith (drawn by J. Hamilton)
8:06.0,J. Hamilton misses free throw 1 of 2,,26-40,,
8:06.0,Offensive rebound by Team,,26-40,,
8:06.0,J. Hamilton makes free throw 2 of 2,1,27-40,,
7:54.0,,,27-40,,Turnover by J. Smith (bad pass; steal by S. Kilpatrick)
7:51.0,S. Kilpatrick makes 2-pt shot at rim,2,29-40,,
7:31.0,,,29-40,,C. Brewer misses 2-pt shot from 10 ft
7:29.0,Defensive rebound by S. Kilpatrick,,29-40,,
7:25.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,31-40,,
7:19.0,,,31-42,2,C. Brewer makes 2-pt shot at rim (assist by J. Terry)
7:11.0,Z. LaVine misses 2-pt shot from 6 ft (block by D. Howard),,31-42,,
7:11.0,Offensive rebound by Team,,31-42,,
7:11.0,G. Dieng enters the game for C. Budinger,,31-42,,
7:11.0,A. Wiggins enters the game for S. Kilpatrick,,31-42,,
7:11.0,L. Brown enters the game for J. Hamilton,,31-42,,
7:11.0,,,31-42,,J. Harden enters the game for D. Howard
6:57.0,,,31-42,,Personal foul by C. Brewer (drawn by Z. LaVine)
6:50.0,,,31-42,,Def 3 sec tech foul by J. Smith
6:50.0,Z. LaVine makes technical free throw,1,32-42,,
6:41.0,Shooting foul by J. Terry (drawn by G. Dieng),,32-42,,
6:41.0,G. Dieng makes free throw 1 of 2,1,33-42,,
6:41.0,G. Dieng makes free throw 2 of 2,1,34-42,,
6:29.0,,,34-45,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Brewer)
6:11.0,A. Payne misses 2-pt shot from 1 ft (block by J. Smith),,34-45,,
6:09.0,,,34-45,,Defensive rebound by J. Terry
5:59.0,,,34-47,2,J. Smith makes 2-pt shot from 5 ft (assist by J. Terry)
5:45.0,A. Payne makes 2-pt shot from 3 ft (assist by Z. LaVine),2,36-47,,
5:36.0,,,36-50,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
5:35.0,Minnesota full timeout,,36-50,,
5:35.0,Minnesota full timeout,,36-50,,
5:35.0,,,36-50,,J. Dorsey enters the game for J. Smith
5:12.0,L. Brown misses 2-pt shot from 19 ft,,36-50,,
5:10.0,,,36-50,,Defensive rebound by J. Terry
5:05.0,,,36-50,,J. Harden misses 2-pt shot from 8 ft
5:04.0,,,36-50,,Offensive rebound by J. Harden
5:04.0,,,36-50,,Shooting foul by A. Payne (drawn by J. Harden)
5:04.0,,,36-51,1,J. Harden makes free throw 1 of 2
5:04.0,,,36-51,,J. Harden misses free throw 2 of 2
5:04.0,Defensive rebound by G. Dieng,,36-51,,
4:46.0,A. Wiggins makes 2-pt shot from 9 ft,2,38-51,,
4:31.0,Violation by G. Dieng (kicked ball),,38-51,,
4:31.0,C. Budinger enters the game for A. Payne,,38-51,,
4:18.0,,,38-51,,Offensive charge foul by T. Ariza
4:18.0,,,38-51,,Turnover by T. Ariza (offensive foul)
4:06.0,Shooting foul by J. Dorsey (drawn by A. Wiggins),,38-51,,
4:06.0,A. Wiggins makes free throw 1 of 2,1,39-51,,
4:06.0,A. Wiggins misses free throw 2 of 2,,39-51,,
4:05.0,,,39-51,,Defensive rebound by Team
3:52.0,,,39-51,,Turnover by T. Ariza (bad pass)
3:39.0,Shooting foul by J. Dorsey (drawn by A. Wiggins),,39-51,,
3:39.0,A. Wiggins makes free throw 1 of 2,1,40-51,,
3:39.0,A. Wiggins makes free throw 2 of 2,1,41-51,,
3:23.0,,,41-54,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Ariza)
3:12.0,,,41-54,,Personal foul by C. Brewer (drawn by A. Wiggins)
3:12.0,A. Wiggins makes free throw 1 of 2,1,42-54,,
3:12.0,,,42-54,,J. Smith enters the game for J. Dorsey
3:12.0,,,42-54,,N. Johnson enters the game for C. Brewer
3:12.0,A. Wiggins makes free throw 2 of 2,1,43-54,,
2:56.0,,,43-56,2,N. Johnson makes 2-pt shot from 4 ft
2:41.0,C. Budinger makes 3-pt shot from 25 ft (assist by A. Wiggins),3,46-56,,
2:28.0,,,46-56,,Shooting foul by Z. LaVine (drawn by J. Harden)
2:28.0,,,46-56,,Houston full timeout
2:28.0,,,46-57,1,J. Harden makes free throw 1 of 2
2:28.0,,,46-58,1,J. Harden makes free throw 2 of 2
2:11.0,A. Wiggins makes 3-pt shot from 23 ft (assist by Z. LaVine),3,49-58,,
1:46.0,,,49-58,,T. Ariza misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by A. Wiggins,,49-58,,
1:29.0,Turnover by A. Wiggins (bad pass; steal by J. Harden),,49-58,,
