time,Portland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (N. Hilario gains possession)
11:43.0,,,0-0,,B. Beal misses 2-pt shot from 5 ft
11:42.0,Defensive rebound by D. Lillard,,0-0,,
11:38.0,A. Afflalo makes 2-pt shot at rim (assist by D. Lillard),2,2-0,,
11:17.0,,,2-2,2,N. Hilario makes 2-pt shot from 14 ft (assist by B. Beal)
10:55.0,R. Lopez misses 2-pt shot from 9 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by J. Wall
10:34.0,,,2-2,,N. Hilario misses 2-pt shot from 2 ft
10:33.0,,,2-2,,Offensive rebound by N. Hilario
10:28.0,,,2-4,2,N. Hilario makes 2-pt shot from 3 ft
10:09.0,A. Afflalo misses 3-pt shot from 23 ft,,2-4,,
10:09.0,Offensive rebound by L. Aldridge,,2-4,,
10:03.0,Turnover by L. Aldridge (bad pass; steal by B. Beal),,2-4,,
9:58.0,,,2-4,,J. Wall misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by A. Afflalo,,2-4,,
9:39.0,Turnover by R. Lopez (bad pass),,2-4,,
9:18.0,,,2-4,,Turnover by N. Hilario (bad pass)
9:10.0,A. Afflalo misses 2-pt shot from 19 ft,,2-4,,
9:09.0,Offensive rebound by A. Afflalo,,2-4,,
9:03.0,L. Aldridge misses 3-pt shot from 26 ft,,2-4,,
9:02.0,,,2-4,,Defensive rebound by M. Gortat
8:49.0,,,2-6,2,J. Wall makes 2-pt shot from 15 ft
8:28.0,N. Batum makes 2-pt shot from 21 ft (assist by D. Lillard),2,4-6,,
8:17.0,,,4-6,,N. Hilario misses 2-pt shot from 1 ft
8:16.0,Defensive rebound by N. Batum,,4-6,,
8:05.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard),2,6-6,,
7:51.0,,,6-6,,M. Gortat misses 2-pt shot from 1 ft (block by L. Aldridge)
7:50.0,Defensive rebound by D. Lillard,,6-6,,
7:46.0,N. Batum misses 2-pt shot at rim,,6-6,,
7:44.0,,,6-6,,Defensive rebound by P. Pierce
7:39.0,,,6-8,2,J. Wall makes 2-pt shot from 16 ft (assist by B. Beal)
7:24.0,Shooting foul by N. Hilario (drawn by N. Batum),,6-8,,
7:24.0,N. Batum makes free throw 1 of 2,1,7-8,,
7:24.0,N. Batum makes free throw 2 of 2,1,8-8,,
7:11.0,,,8-10,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
6:55.0,,,8-10,,Personal foul by M. Gortat (drawn by L. Aldridge)
6:50.0,N. Batum misses 2-pt shot from 15 ft,,8-10,,
6:50.0,,,8-10,,Defensive rebound by N. Hilario
6:45.0,,,8-12,2,J. Wall makes 2-pt shot at rim
6:45.0,,,8-12,,Shooting foul by A. Afflalo (drawn by J. Wall)
6:45.0,,,8-12,,J. Wall misses free throw 1 of 1
6:44.0,Defensive rebound by N. Batum,,8-12,,
6:33.0,L. Aldridge misses 2-pt shot from 8 ft,,8-12,,
6:32.0,,,8-12,,Defensive rebound by M. Gortat
6:30.0,,,8-12,,Turnover by M. Gortat (bad pass)
6:17.0,,,8-12,,Personal foul by P. Pierce (drawn by A. Afflalo)
6:08.0,Turnover by D. Lillard (lost ball; steal by J. Wall),,8-12,,
5:57.0,,,8-14,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:28.0,L. Aldridge makes 2-pt shot from 13 ft,2,10-14,,
5:14.0,,,10-14,,P. Pierce misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by L. Aldridge,,10-14,,
5:03.0,A. Afflalo misses 3-pt shot from 24 ft,,10-14,,
5:01.0,,,10-14,,Defensive rebound by J. Wall
4:58.0,,,10-16,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:56.0,Portland full timeout,,10-16,,
4:56.0,C. McCollum enters the game for A. Afflalo,,10-16,,
4:56.0,C. Kaman enters the game for R. Lopez,,10-16,,
