time,Philadelphia,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession)
11:33.0,,,0-3,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
11:08.0,L. Mbah a Moute misses 2-pt shot from 6 ft,,0-3,,
11:07.0,Offensive rebound by N. Noel,,0-3,,
11:07.0,,,0-3,,Loose ball foul by D. Jordan (drawn by N. Noel)
10:49.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,2-3,,
10:42.0,,,2-3,,M. Barnes misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by K. McDaniels,,2-3,,
10:28.0,R. Covington makes 3-pt shot from 25 ft,3,5-3,,
10:06.0,,,5-5,2,B. Griffin makes 2-pt shot from 9 ft
9:42.0,R. Covington misses 2-pt shot from 1 ft,,5-5,,
9:41.0,,,5-5,,Defensive rebound by D. Jordan
9:24.0,,,5-5,,Turnover by B. Griffin (bad pass; steal by L. Mbah a Moute)
9:19.0,T. Wroten misses 2-pt shot from 2 ft,,5-5,,
9:17.0,,,5-5,,Defensive rebound by C. Paul
9:11.0,,,5-7,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:47.0,N. Noel misses 2-pt shot from 18 ft,,5-7,,
8:45.0,,,5-7,,Defensive rebound by J. Redick
8:39.0,,,5-9,2,C. Paul makes 2-pt shot from 11 ft
8:24.0,K. McDaniels makes 2-pt shot from 2 ft,2,7-9,,
8:06.0,,,7-11,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
7:50.0,T. Wroten misses 3-pt shot from 24 ft,,7-11,,
7:49.0,,,7-11,,Defensive rebound by D. Jordan
7:41.0,,,7-13,2,M. Barnes makes 2-pt shot from 2 ft (assist by J. Redick)
7:37.0,Turnover by T. Wroten (bad pass),,7-13,,
7:29.0,,,7-13,,M. Barnes misses 3-pt shot from 25 ft
7:28.0,,,7-13,,Offensive rebound by D. Jordan
7:26.0,,,7-13,,D. Jordan misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by T. Wroten,,7-13,,
7:20.0,T. Wroten makes 2-pt shot from 1 ft,2,9-13,,
7:06.0,,,9-16,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
6:49.0,N. Noel makes 2-pt shot at rim,2,11-16,,
6:27.0,,,11-18,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
6:09.0,R. Covington misses 3-pt shot from 25 ft,,11-18,,
6:08.0,,,11-18,,Defensive rebound by D. Jordan
5:55.0,,,11-20,2,B. Griffin makes 2-pt shot from 15 ft
5:52.0,Philadelphia full timeout,,11-20,,
5:52.0,J. Grant enters the game for L. Mbah a Moute,,11-20,,
5:30.0,J. Grant misses 2-pt shot from 19 ft,,11-20,,
5:28.0,Offensive rebound by N. Noel,,11-20,,
5:22.0,Turnover by N. Noel (lost ball),,11-20,,
5:08.0,,,11-20,,B. Griffin misses 2-pt shot from 4 ft (block by N. Noel)
5:05.0,,,11-20,,Offensive rebound by C. Paul
5:02.0,,,11-22,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
5:02.0,,,11-22,,Shooting foul by N. Noel (drawn by B. Griffin)
5:02.0,J. Sampson enters the game for K. McDaniels,,11-22,,
5:02.0,,,11-23,1,B. Griffin makes free throw 1 of 1
4:53.0,Turnover by N. Noel (lost ball),,11-23,,
4:44.0,,,11-23,,M. Barnes misses 3-pt shot from 26 ft
4:44.0,,,11-23,,Offensive rebound by Team
4:44.0,Loose ball foul by J. Sampson (drawn by D. Jordan),,11-23,,
4:44.0,H. Sims enters the game for N. Noel,,11-23,,
4:29.0,,,11-23,,Turnover by B. Griffin (bad pass; steal by J. Sampson)
4:09.0,J. Sampson makes 2-pt shot at rim (assist by T. Wroten),2,13-23,,
3:51.0,M. Thomas enters the game for R. Covington,,13-23,,
3:44.0,,,13-26,3,C. Paul makes 3-pt shot from 26 ft (assist by D. Jordan)
3:30.0,J. Sampson makes 2-pt shot at rim (assist by H. Sims),2,15-26,,
3:23.0,,,15-26,,Shooting foul by J. Sampson (drawn by D. Jordan)
3:23.0,,,15-26,,D. Jordan misses free throw 1 of 2
3:23.0,,,15-26,,Offensive rebound by Team
3:23.0,,,15-26,,S. Hawes enters the game for B. Griffin
3:23.0,,,15-26,,J. Crawford enters the game for M. Barnes
3:23.0,,,15-26,,D. Jordan misses free throw 2 of 2
3:21.0,,,15-26,,Offensive rebound by J. Crawford
3:17.0,,,15-29,3,J. Redick makes 3-pt shot from 26 ft (assist by J. Crawford)
3:07.0,T. Wroten makes 2-pt shot from 1 ft,2,17-29,,
2:56.0,,,17-29,,C. Paul misses 2-pt shot from 10 ft
2:54.0,,,17-29,,Offensive rebound by D. Jordan
2:52.0,,,17-29,,D. Jordan misses 2-pt shot at rim
2:51.0,Defensive rebound by J. Sampson,,17-29,,
2:34.0,T. Wroten makes 2-pt shot from 1 ft,2,19-29,,
2:32.0,Violation by Team (jump ball),,19-29,,
2:27.0,,,19-29,,LA Clippers full timeout
2:27.0,K. McDaniels enters the game for T. Wroten,,19-29,,
2:17.0,,,19-29,,J. Redick misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by M. Thomas,,19-29,,
2:13.0,Shooting foul by C. Paul (drawn by K. McDaniels),,19-29,,
2:13.0,K. McDaniels misses free throw 1 of 2,,19-29,,
2:13.0,Offensive rebound by Team,,19-29,,
2:13.0,,,19-29,,R. Bullock enters the game for J. Redick
2:13.0,K. McDaniels misses free throw 2 of 2,,19-29,,
2:10.0,,,19-29,,Defensive rebound by R. Bullock
1:58.0,,,19-29,,S. Hawes misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by K. McDaniels,,19-29,,
1:34.0,J. Sampson misses 3-pt shot from 23 ft,,19-29,,
1:32.0,,,19-29,,Defensive rebound by R. Bullock
1:22.0,,,19-29,,S. Hawes misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by K. McDaniels,,19-29,,
1:07.0,M. Thomas misses 2-pt shot from 15 ft,,19-29,,
1:06.0,,,19-29,,Defensive rebound by C. Paul
1:00.0,,,19-32,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
0:42.0,Turnover by H. Sims (bad pass),,19-32,,
0:42.0,,,19-32,,G. Davis enters the game for D. Jordan
0:42.0,,,19-32,,J. Farmar enters the game for C. Paul
0:32.0,Personal foul by K. McDaniels (drawn by J. Crawford),,19-32,,
0:32.0,L. Mbah a Moute enters the game for J. Sampson,,19-32,,
0:25.0,,,19-34,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Farmar)
0:04.0,K. McDaniels makes 2-pt shot from 1 ft (assist by H. Sims),2,21-34,,
0:02.0,,,21-34,,J. Crawford misses 3-pt shot from 30 ft
0:00.0,,,21-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Covington misses 3-pt shot from 23 ft,,21-34,,
11:43.0,,,21-34,,Defensive rebound by G. Davis
11:36.0,,,21-34,,J. Farmar misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by R. Covington,,21-34,,
11:23.0,Turnover by H. Sims (bad pass; steal by R. Bullock),,21-34,,
11:19.0,,,21-34,,Shooting foul by H. Sims (drawn by G. Davis)
11:19.0,,,21-35,1,G. Davis makes free throw 1 of 2
11:19.0,,,21-36,1,G. Davis makes free throw 2 of 2
11:10.0,T. Wroten misses 2-pt shot from 1 ft,,21-36,,
11:09.0,,,21-36,,Defensive rebound by S. Hawes
11:03.0,,,21-39,3,R. Bullock makes 3-pt shot from 25 ft (assist by S. Hawes)
10:52.0,,,21-39,,Personal foul by J. Crawford (drawn by R. Covington)
10:52.0,N. Noel enters the game for H. Sims,,21-39,,
10:38.0,T. Wroten misses 3-pt shot from 22 ft,,21-39,,
10:37.0,,,21-39,,Defensive rebound by R. Bullock
10:34.0,,,21-39,,Shooting foul by R. Covington (drawn by R. Bullock)
10:34.0,,,21-39,,R. Bullock misses free throw 1 of 2
10:34.0,,,21-39,,Offensive rebound by Team
10:34.0,,,21-40,1,R. Bullock makes free throw 2 of 2
10:23.0,Turnover by N. Noel (traveling),,21-40,,
10:12.0,,,21-40,,J. Farmar misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by M. Thomas,,21-40,,
10:03.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by T. Wroten),3,24-40,,
9:51.0,,,24-40,,J. Crawford misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by M. Thomas,,24-40,,
9:36.0,Shooting foul by R. Bullock (drawn by L. Mbah a Moute),,24-40,,
9:36.0,L. Mbah a Moute makes free throw 1 of 2,1,25-40,,
9:36.0,F. Aldemir enters the game for M. Thomas,,25-40,,
9:36.0,L. Mbah a Moute makes free throw 2 of 2,1,26-40,,
9:24.0,,,26-42,2,J. Crawford makes 2-pt shot from 13 ft
9:06.0,Shooting foul by S. Hawes (drawn by L. Mbah a Moute),,26-42,,
9:06.0,L. Mbah a Moute makes free throw 1 of 2,1,27-42,,
9:06.0,,,27-42,,B. Griffin enters the game for G. Davis
9:06.0,L. Mbah a Moute makes free throw 2 of 2,1,28-42,,
8:52.0,,,28-42,,Shooting foul by R. Covington (drawn by J. Crawford)
8:52.0,Official timeout,,28-42,,
8:52.0,,,28-43,1,J. Crawford makes free throw 1 of 2
8:52.0,,,28-44,1,J. Crawford makes free throw 2 of 2
8:38.0,F. Aldemir misses 2-pt shot from 17 ft,,28-44,,
8:37.0,,,28-44,,Defensive rebound by J. Farmar
8:26.0,,,28-46,2,B. Griffin makes 2-pt shot from 1 ft (assist by S. Hawes)
8:15.0,Shooting foul by B. Griffin (drawn by T. Wroten),,28-46,,
8:15.0,T. Wroten makes free throw 1 of 2,1,29-46,,
8:15.0,T. Wroten misses free throw 2 of 2,,29-46,,
8:13.0,Offensive rebound by N. Noel,,29-46,,
7:56.0,N. Noel misses 2-pt shot from 3 ft (block by S. Hawes),,29-46,,
7:55.0,Offensive rebound by F. Aldemir,,29-46,,
7:51.0,F. Aldemir misses 2-pt shot from 1 ft,,29-46,,
7:50.0,Offensive rebound by N. Noel,,29-46,,
7:50.0,N. Noel makes 2-pt shot at rim,2,31-46,,
7:30.0,,,31-46,,J. Crawford misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by F. Aldemir,,31-46,,
7:20.0,T. Wroten misses 2-pt shot at rim,,31-46,,
7:18.0,,,31-46,,Defensive rebound by B. Griffin
7:16.0,,,31-46,,C. Paul enters the game for J. Farmar
7:16.0,,,31-46,,M. Barnes enters the game for R. Bullock
7:10.0,,,31-46,,B. Griffin misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by F. Aldemir,,31-46,,
6:49.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,31-46,,
6:48.0,,,31-46,,Defensive rebound by M. Barnes
6:35.0,,,31-48,2,B. Griffin makes 2-pt shot at rim (assist by S. Hawes)
6:12.0,T. Wroten misses 3-pt shot from 26 ft,,31-48,,
6:10.0,,,31-48,,Defensive rebound by S. Hawes
5:59.0,,,31-48,,S. Hawes misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by F. Aldemir,,31-48,,
5:55.0,T. Wroten makes 2-pt shot from 1 ft,2,33-48,,
5:28.0,,,33-48,,B. Griffin misses 2-pt shot from 9 ft
5:25.0,Defensive rebound by R. Covington,,33-48,,
5:21.0,Philadelphia full timeout,,33-48,,
5:21.0,,,33-48,,D. Jordan enters the game for S. Hawes
5:21.0,,,33-48,,J. Redick enters the game for J. Crawford
5:21.0,M. Thomas enters the game for L. Mbah a Moute,,33-48,,
5:21.0,H. Sims enters the game for R. Covington,,33-48,,
5:21.0,K. McDaniels enters the game for N. Noel,,33-48,,
5:21.0,J. Sampson enters the game for F. Aldemir,,33-48,,
5:06.0,T. Wroten makes 2-pt shot from 3 ft (assist by J. Sampson),2,35-48,,
5:06.0,Shooting foul by J. Redick (drawn by J. Sampson),,35-48,,
5:06.0,T. Wroten makes free throw 1 of 1,1,36-48,,
4:53.0,,,36-48,,Turnover by B. Griffin (bad pass; steal by T. Wroten)
4:52.0,,,36-48,,Personal take foul by C. Paul (drawn by T. Wroten)
4:52.0,T. Wroten makes free throw 1 of 2,1,37-48,,
4:52.0,T. Wroten makes free throw 2 of 2,1,38-48,,
4:43.0,Personal foul by T. Wroten (drawn by C. Paul),,38-48,,
4:38.0,,,38-48,,LA Clippers full timeout
4:27.0,,,38-48,,Turnover by Team (shot clock)
4:14.0,Turnover by T. Wroten (lost ball; steal by M. Barnes),,38-48,,
4:09.0,,,38-48,,Turnover by D. Jordan (bad pass; steal by K. McDaniels)
4:02.0,H. Sims makes 2-pt shot from 17 ft (assist by K. McDaniels),2,40-48,,
3:51.0,,,40-50,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
3:44.0,Turnover by T. Wroten (bad pass; steal by D. Jordan),,40-50,,
3:39.0,,,40-52,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
3:20.0,Turnover by T. Wroten (bad pass; steal by C. Paul),,40-52,,
3:16.0,Personal foul by K. McDaniels (drawn by C. Paul),,40-52,,
3:16.0,,,40-53,1,C. Paul makes free throw 1 of 2
3:16.0,L. Mbah a Moute enters the game for M. Thomas,,40-53,,
3:16.0,R. Covington enters the game for K. McDaniels,,40-53,,
3:16.0,,,40-54,1,C. Paul makes free throw 2 of 2
2:55.0,R. Covington makes 2-pt shot from 11 ft (assist by T. Wroten),2,42-54,,
2:40.0,,,42-54,,J. Redick misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by H. Sims,,42-54,,
2:23.0,,,42-54,,J. Crawford enters the game for M. Barnes
2:23.0,N. Noel enters the game for H. Sims,,42-54,,
2:15.0,R. Covington makes 3-pt shot from 22 ft (assist by N. Noel),3,45-54,,
2:00.0,,,45-54,,J. Redick misses 2-pt shot from 20 ft
1:59.0,Defensive rebound by J. Sampson,,45-54,,
1:54.0,Philadelphia full timeout,,45-54,,
1:41.0,R. Covington makes 2-pt shot from 20 ft (assist by L. Mbah a Moute),2,47-54,,
1:08.0,,,47-54,,B. Griffin misses 3-pt shot from 24 ft
1:06.0,,,47-54,,Offensive rebound by C. Paul
1:03.0,,,47-56,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:46.0,L. Mbah a Moute makes 3-pt shot from 26 ft,3,50-56,,
0:41.0,,,50-59,3,C. Paul makes 3-pt shot from 25 ft
0:32.0,T. Wroten makes 3-pt shot from 26 ft,3,53-59,,
0:12.0,,,53-59,,Shooting foul by N. Noel (drawn by C. Paul)
0:12.0,,,53-61,2,C. Paul makes 2-pt shot from 3 ft
0:12.0,,,53-61,,M. Barnes enters the game for J. Crawford
0:12.0,J. Grant enters the game for J. Sampson,,53-61,,
0:12.0,K. McDaniels enters the game for N. Noel,,53-61,,
0:12.0,,,53-62,1,C. Paul makes free throw 1 of 1
0:04.0,T. Wroten misses 2-pt shot from 2 ft (block by D. Jordan),,53-62,,
0:04.0,Offensive rebound by Team,,53-62,,
0:04.0,N. Noel enters the game for J. Grant,,53-62,,
0:04.0,,,53-62,,J. Farmar enters the game for C. Paul
0:02.0,N. Noel misses 2-pt shot from 20 ft,,53-62,,
0:01.0,,,53-62,,Defensive rebound by D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,K. McDaniels misses 2-pt shot from 5 ft,,53-62,,
11:32.0,,,53-62,,Defensive rebound by C. Paul
11:21.0,,,53-62,,M. Barnes misses 3-pt shot from 24 ft
