time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Bass (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. B. Bass (L. Galloway gains possession)
11:41.0,,,0-0,,L. Galloway misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by Team,,0-0,,
11:27.0,J. Sullinger makes 2-pt shot from 17 ft (assist by A. Bradley),2,2-0,,
11:01.0,,,2-0,,L. Amundson misses 2-pt shot from 4 ft
10:59.0,,,2-0,,Offensive rebound by J. Smith
10:57.0,,,2-0,,J. Smith misses 2-pt shot at rim
10:56.0,,,2-0,,Offensive rebound by L. Amundson
10:56.0,,,2-0,,L. Amundson misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by E. Turner,,2-0,,
10:45.0,B. Bass makes 2-pt shot from 20 ft (assist by E. Turner),2,4-0,,
10:22.0,,,4-2,2,J. Smith makes 2-pt shot from 17 ft
10:02.0,,,4-2,,Personal foul by L. Galloway (drawn by A. Bradley)
9:54.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Sullinger),3,7-2,,
9:41.0,,,7-2,,C. Anthony misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by J. Sullinger,,7-2,,
9:30.0,M. Smart makes 3-pt shot from 26 ft (assist by A. Bradley),3,10-2,,
9:14.0,Personal foul by J. Sullinger (drawn by J. Calderon),,10-2,,
9:02.0,,,10-2,,C. Anthony misses 2-pt shot from 7 ft
9:00.0,Defensive rebound by E. Turner,,10-2,,
8:49.0,A. Bradley makes 2-pt shot from 19 ft,2,12-2,,
8:48.0,,,12-2,,New York full timeout
8:34.0,,,12-2,,C. Anthony misses 2-pt shot from 12 ft
8:32.0,Defensive rebound by A. Bradley,,12-2,,
8:20.0,E. Turner misses 2-pt shot from 17 ft,,12-2,,
8:18.0,Offensive rebound by J. Sullinger,,12-2,,
8:18.0,J. Sullinger misses 2-pt shot from 1 ft,,12-2,,
8:16.0,Offensive rebound by J. Sullinger,,12-2,,
8:16.0,J. Sullinger makes 2-pt shot from 2 ft,2,14-2,,
8:00.0,,,14-2,,J. Calderon misses 2-pt shot from 22 ft
7:58.0,Defensive rebound by J. Sullinger,,14-2,,
7:55.0,Turnover by E. Turner (bad pass),,14-2,,
7:38.0,,,14-2,,J. Calderon misses 2-pt shot from 18 ft
7:36.0,Defensive rebound by E. Turner,,14-2,,
7:24.0,B. Bass misses 2-pt shot from 3 ft,,14-2,,
7:23.0,,,14-2,,Defensive rebound by C. Anthony
7:12.0,,,14-4,2,C. Anthony makes 2-pt shot from 19 ft
6:55.0,J. Sullinger makes 2-pt shot from 15 ft,2,16-4,,
6:41.0,,,16-6,2,J. Smith makes 2-pt shot from 20 ft (assist by L. Galloway)
6:23.0,Turnover by J. Sullinger (back court),,16-6,,
6:12.0,,,16-9,3,J. Calderon makes 3-pt shot from 24 ft (assist by L. Galloway)
5:52.0,M. Smart misses 3-pt shot from 25 ft,,16-9,,
5:50.0,,,16-9,,Defensive rebound by C. Anthony
5:34.0,,,16-9,,C. Anthony misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by E. Turner,,16-9,,
5:24.0,A. Bradley makes 3-pt shot from 23 ft (assist by J. Sullinger),3,19-9,,
4:58.0,,,19-11,2,L. Galloway makes 2-pt shot from 2 ft (assist by J. Calderon)
4:38.0,M. Smart misses 3-pt shot from 26 ft,,19-11,,
4:37.0,,,19-11,,Defensive rebound by J. Smith
4:33.0,Personal foul by E. Turner (drawn by L. Amundson),,19-11,,
4:33.0,J. Crowder enters the game for M. Smart,,19-11,,
4:22.0,,,19-11,,J. Calderon misses 3-pt shot from 25 ft
4:20.0,,,19-11,,Offensive rebound by L. Galloway
4:01.0,,,19-11,,C. Anthony misses 2-pt shot from 17 ft
3:59.0,Defensive rebound by J. Sullinger,,19-11,,
3:46.0,B. Bass misses 2-pt shot from 4 ft,,19-11,,
3:44.0,,,19-11,,Defensive rebound by L. Galloway
3:36.0,,,19-11,,J. Smith misses 2-pt shot from 18 ft
3:35.0,,,19-11,,Offensive rebound by J. Smith
3:21.0,,,19-13,2,J. Smith makes 2-pt shot from 10 ft (assist by L. Amundson)
3:17.0,Boston full timeout,,19-13,,
3:17.0,J. Young enters the game for J. Sullinger,,19-13,,
3:17.0,T. Zeller enters the game for A. Bradley,,19-13,,
3:17.0,,,19-13,,Q. Acy enters the game for L. Amundson
3:17.0,,,19-13,,T. Hardaway enters the game for J. Calderon
2:56.0,J. Crowder makes 3-pt shot from 24 ft (assist by E. Turner),3,22-13,,
2:33.0,,,22-13,,L. Galloway misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by J. Young,,22-13,,
2:20.0,Turnover by J. Crowder (bad pass),,22-13,,
2:11.0,,,22-15,2,L. Galloway makes 2-pt shot from 15 ft
1:57.0,J. Young misses 3-pt shot from 25 ft,,22-15,,
1:55.0,,,22-15,,Defensive rebound by C. Anthony
1:49.0,,,22-15,,T. Hardaway misses 2-pt shot from 15 ft
1:47.0,Defensive rebound by T. Zeller,,22-15,,
1:37.0,T. Zeller makes 2-pt shot from 4 ft (assist by E. Turner),2,24-15,,
1:24.0,,,24-17,2,Q. Acy makes 2-pt shot from 1 ft
1:24.0,,,24-17,,Shooting foul by T. Zeller (drawn by Q. Acy)
1:24.0,,,24-17,,L. Thomas enters the game for C. Anthony
1:24.0,,,24-17,,Q. Acy misses free throw 1 of 1
1:23.0,,,24-17,,Offensive rebound by Team
1:07.0,,,24-19,2,J. Smith makes 2-pt shot from 18 ft (assist by L. Galloway)
0:51.0,Offensive foul by T. Zeller,,24-19,,
0:51.0,Turnover by T. Zeller (offensive foul),,24-19,,
0:51.0,M. Smart enters the game for E. Turner,,24-19,,
0:51.0,,,24-19,,S. Larkin enters the game for L. Galloway
0:33.0,,,24-19,,T. Hardaway misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by J. Crowder,,24-19,,
0:23.0,Shooting foul by L. Thomas (drawn by J. Crowder),,24-19,,
0:23.0,J. Crowder makes free throw 1 of 2,1,25-19,,
0:23.0,J. Crowder makes free throw 2 of 2,1,26-19,,
0:06.0,,,26-19,,L. Thomas misses 2-pt shot from 6 ft
0:05.0,Defensive rebound by M. Smart,,26-19,,
0:03.0,Boston full timeout,,26-19,,
0:03.0,,,26-19,,L. Amundson enters the game for J. Smith
0:03.0,M. Thornton enters the game for J. Crowder,,26-19,,
0:01.0,J. Sullinger enters the game for B. Bass,,26-19,,
0:01.0,,,26-19,,J. Smith enters the game for Q. Acy
0:01.0,J. Sullinger misses 3-pt shot from 25 ft,,26-19,,
0:00.0,Offensive rebound by Team,,26-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Young misses 2-pt shot from 2 ft (block by L. Amundson),,26-19,,
11:47.0,Offensive rebound by Team,,26-19,,
11:37.0,J. Sullinger misses 3-pt shot from 25 ft,,26-19,,
11:35.0,Offensive rebound by T. Zeller,,26-19,,
11:31.0,M. Smart misses 2-pt shot from 18 ft,,26-19,,
11:29.0,,,26-19,,Defensive rebound by T. Hardaway
11:10.0,,,26-22,3,T. Hardaway makes 3-pt shot from 25 ft (assist by S. Larkin)
10:55.0,J. Young misses 2-pt shot from 20 ft,,26-22,,
10:53.0,Offensive rebound by T. Zeller,,26-22,,
10:51.0,J. Young makes 2-pt shot from 1 ft (assist by T. Zeller),2,28-22,,
10:32.0,,,28-22,,Q. Acy misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by M. Smart,,28-22,,
10:17.0,Turnover by M. Smart (lost ball; steal by S. Larkin),,28-22,,
10:12.0,,,28-22,,Shooting foul by T. Zeller (drawn by L. Thomas)
10:12.0,,,28-22,,L. Thomas misses free throw 1 of 2
10:12.0,,,28-22,,Offensive rebound by Team
10:12.0,J. Crowder enters the game for T. Zeller,,28-22,,
10:12.0,,,28-23,1,L. Thomas makes free throw 2 of 2
10:00.0,J. Crowder makes 2-pt shot from 15 ft (assist by M. Smart),2,30-23,,
9:48.0,,,30-23,,Turnover by S. Larkin (bad pass; steal by M. Thornton)
9:35.0,Shooting foul by S. Larkin (drawn by M. Smart),,30-23,,
9:35.0,M. Smart makes free throw 1 of 2,1,31-23,,
9:35.0,,,31-23,,C. Early enters the game for Q. Acy
9:35.0,M. Smart misses free throw 2 of 2,,31-23,,
9:34.0,,,31-23,,Defensive rebound by L. Amundson
9:16.0,,,31-23,,Shooting foul by J. Sullinger (drawn by S. Larkin)
9:16.0,,,31-23,,S. Larkin misses free throw 1 of 2
9:16.0,,,31-23,,Offensive rebound by Team
9:16.0,,,31-24,1,S. Larkin makes free throw 2 of 2
8:56.0,M. Thornton misses 3-pt shot from 25 ft,,31-24,,
8:54.0,,,31-24,,Defensive rebound by C. Early
8:32.0,,,31-24,,L. Thomas misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by J. Sullinger,,31-24,,
8:24.0,J. Crowder misses 2-pt shot from 22 ft,,31-24,,
8:23.0,,,31-24,,Defensive rebound by S. Larkin
8:15.0,,,31-26,2,L. Amundson makes 2-pt shot from 14 ft (assist by L. Thomas)
7:56.0,,,31-26,,Def 3 sec tech foul by T. Hardaway
7:56.0,Official timeout,,31-26,,
7:56.0,M. Thornton makes technical free throw,1,32-26,,
7:44.0,J. Sullinger makes 2-pt shot from 6 ft,2,34-26,,
7:29.0,,,34-26,,T. Hardaway misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by M. Thornton,,34-26,,
7:13.0,M. Thornton makes 2-pt shot from 22 ft (assist by J. Young),2,36-26,,
6:58.0,,,36-26,,Turnover by C. Early (bad pass)
6:58.0,,,36-26,,C. Anthony enters the game for C. Early
6:58.0,,,36-26,,J. Calderon enters the game for T. Hardaway
6:58.0,,,36-26,,L. Galloway enters the game for L. Thomas
6:58.0,A. Bradley enters the game for J. Young,,36-26,,
6:41.0,J. Sullinger misses 2-pt shot from 15 ft,,36-26,,
6:39.0,,,36-26,,Defensive rebound by L. Amundson
6:16.0,,,36-29,3,J. Calderon makes 3-pt shot from 23 ft (assist by C. Anthony)
5:56.0,J. Sullinger makes 2-pt shot from 4 ft,2,38-29,,
5:40.0,,,38-31,2,C. Anthony makes 2-pt shot from 6 ft
5:24.0,M. Thornton misses 3-pt shot from 25 ft,,38-31,,
5:23.0,Offensive rebound by J. Crowder,,38-31,,
5:22.0,J. Crowder makes 2-pt shot from 3 ft,2,40-31,,
5:22.0,Shooting foul by L. Amundson (drawn by J. Crowder),,40-31,,
5:22.0,,,40-31,,New York full timeout
5:22.0,B. Bass enters the game for J. Sullinger,,40-31,,
5:22.0,E. Turner enters the game for M. Smart,,40-31,,
5:22.0,,,40-31,,J. Smith enters the game for L. Amundson
5:22.0,,,40-31,,L. Thomas enters the game for S. Larkin
5:22.0,J. Crowder misses free throw 1 of 1,,40-31,,
5:21.0,,,40-31,,Defensive rebound by J. Smith
