time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. P. Patterson (T. Hansbrough gains possession),,,,Jump ball: K. Olynyk vs. P. Patterson (T. Hansbrough gains possession)
11:42.0,P. Patterson makes 2-pt shot at rim (assist by D. DeRozan),2,2-0,,
11:22.0,,,2-2,2,J. Sullinger makes 2-pt shot at rim (assist by J. Green)
11:03.0,Offensive foul by D. DeRozan,,2-2,,
11:03.0,Turnover by D. DeRozan (offensive foul),,2-2,,
10:51.0,,,2-4,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
10:32.0,Shooting foul by A. Bradley (drawn by K. Lowry),,2-4,,
10:32.0,K. Lowry makes free throw 1 of 2,1,3-4,,
10:32.0,K. Lowry misses free throw 2 of 2,,3-4,,
10:31.0,,,3-4,,Defensive rebound by K. Olynyk
10:15.0,,,3-7,3,J. Green makes 3-pt shot from 25 ft (assist by R. Rondo)
9:57.0,D. DeRozan makes 2-pt shot from 20 ft (assist by P. Patterson),2,5-7,,
9:44.0,,,5-9,2,A. Bradley makes 2-pt shot at rim (assist by J. Green)
9:33.0,,,5-9,,Personal foul by J. Green (drawn by D. DeRozan)
9:23.0,,,5-9,,Personal foul by A. Bradley (drawn by K. Lowry)
9:18.0,D. DeRozan misses 2-pt shot from 17 ft,,5-9,,
9:17.0,,,5-9,,Defensive rebound by J. Sullinger
9:09.0,,,5-9,,Shooting foul by T. Hansbrough (drawn by K. Olynyk)
9:09.0,,,5-10,1,K. Olynyk makes free throw 1 of 2
9:09.0,,,5-11,1,K. Olynyk makes free throw 2 of 2
8:50.0,T. Ross misses 2-pt shot from 12 ft,,5-11,,
8:49.0,,,5-11,,Defensive rebound by R. Rondo
8:42.0,,,5-13,2,J. Sullinger makes 2-pt shot from 3 ft (assist by R. Rondo)
8:36.0,Toronto full timeout,,5-13,,
8:24.0,D. DeRozan misses 2-pt shot from 17 ft,,5-13,,
8:22.0,,,5-13,,Defensive rebound by R. Rondo
8:15.0,,,5-13,,Turnover by R. Rondo (bad pass; steal by D. DeRozan)
8:00.0,P. Patterson misses 2-pt shot at rim,,5-13,,
7:59.0,Offensive rebound by T. Hansbrough,,5-13,,
7:58.0,T. Hansbrough makes 2-pt shot from 1 ft,2,7-13,,
7:33.0,,,7-15,2,A. Bradley makes 2-pt shot from 1 ft
7:20.0,P. Patterson misses 3-pt shot from 25 ft,,7-15,,
7:19.0,,,7-15,,Defensive rebound by K. Olynyk
7:12.0,,,7-17,2,J. Green makes 2-pt shot at rim
6:52.0,T. Ross misses 2-pt shot from 10 ft (block by J. Green),,7-17,,
