time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee,,,,Jump ball: D. Jordan vs. M. Plumlee
11:52.0,,,0-0,,Personal foul by B. Griffin (drawn by E. Bledsoe)
11:43.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Dragic),3,3-0,,
11:24.0,,,3-0,,Turnover by J. Redick (lost ball; steal by G. Dragic)
11:18.0,P. Tucker misses 2-pt shot from 1 ft (block by M. Barnes),,3-0,,
11:18.0,Offensive rebound by Team,,3-0,,
11:10.0,M. Morris makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,5-0,,
10:57.0,,,5-0,,J. Redick misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by M. Plumlee,,5-0,,
10:48.0,P. Tucker misses 2-pt shot from 1 ft,,5-0,,
10:47.0,,,5-0,,Defensive rebound by D. Jordan
10:37.0,,,5-0,,B. Griffin misses 2-pt shot from 4 ft
10:36.0,,,5-0,,Offensive rebound by Team
10:29.0,,,5-0,,Shooting foul by G. Dragic (drawn by J. Redick)
10:29.0,,,5-0,,J. Redick misses free throw 1 of 3
10:29.0,,,5-0,,Offensive rebound by Team
10:29.0,,,5-1,1,J. Redick makes free throw 2 of 3
10:29.0,,,5-2,1,J. Redick makes free throw 3 of 3
10:11.0,Turnover by E. Bledsoe (bad pass; steal by B. Griffin),,5-2,,
10:07.0,,,5-4,2,B. Griffin makes 2-pt shot at rim (assist by M. Barnes)
9:55.0,M. Plumlee misses 2-pt shot from 4 ft (block by D. Jordan),,5-4,,
9:52.0,,,5-4,,Defensive rebound by C. Paul
9:48.0,,,5-4,,C. Paul misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by M. Morris,,5-4,,
9:37.0,M. Morris misses 3-pt shot from 24 ft,,5-4,,
9:36.0,,,5-4,,Defensive rebound by B. Griffin
9:33.0,,,5-6,2,M. Barnes makes 2-pt shot from 2 ft (assist by C. Paul)
9:15.0,G. Dragic makes 2-pt shot from 12 ft (assist by M. Plumlee),2,7-6,,
8:58.0,,,7-9,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
8:34.0,E. Bledsoe misses 2-pt shot from 18 ft,,7-9,,
8:33.0,,,7-9,,Defensive rebound by M. Barnes
8:21.0,Violation by M. Morris (kicked ball),,7-9,,
8:15.0,,,7-9,,M. Barnes misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by M. Morris,,7-9,,
8:02.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker),2,9-9,,
7:39.0,,,9-9,,M. Barnes misses 3-pt shot from 23 ft
7:37.0,,,9-9,,Offensive rebound by D. Jordan
7:31.0,,,9-9,,J. Redick misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by M. Morris,,9-9,,
7:23.0,G. Dragic makes 3-pt shot from 24 ft,3,12-9,,
7:17.0,,,12-9,,Turnover by M. Barnes (bad pass; steal by M. Plumlee)
7:09.0,G. Dragic makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,15-9,,
6:58.0,Personal foul by E. Bledsoe (drawn by M. Barnes),,15-9,,
6:48.0,,,15-11,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
6:35.0,Turnover by E. Bledsoe (lost ball; steal by D. Jordan),,15-11,,
6:31.0,,,15-11,,B. Griffin misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by M. Plumlee,,15-11,,
6:23.0,G. Dragic makes 2-pt shot from 1 ft,2,17-11,,
6:12.0,,,17-13,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
5:50.0,M. Morris misses 2-pt shot from 5 ft,,17-13,,
5:48.0,,,17-13,,Defensive rebound by D. Jordan
5:38.0,,,17-15,2,C. Paul makes 2-pt shot from 14 ft
5:31.0,Phoenix full timeout,,17-15,,
5:30.0,Turnover by P. Tucker (bad pass; steal by D. Jordan),,17-15,,
5:25.0,,,17-17,2,D. Jordan makes 2-pt shot at rim
5:04.0,G. Dragic misses 3-pt shot from 25 ft,,17-17,,
5:04.0,,,17-17,,Defensive rebound by Team
4:48.0,,,17-17,,Turnover by B. Griffin (bad pass; steal by M. Plumlee)
4:46.0,,,17-17,,Personal foul by M. Barnes (drawn by E. Bledsoe)
4:43.0,Turnover by M. Morris (offensive foul),,17-17,,
4:43.0,Offensive foul by M. Morris,,17-17,,
4:28.0,Personal foul by P. Tucker (drawn by C. Paul),,17-17,,
4:21.0,,,17-17,,C. Paul misses 2-pt shot from 17 ft
4:19.0,,,17-17,,Offensive rebound by D. Jordan
4:16.0,,,17-17,,C. Paul misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by Team,,17-17,,
4:03.0,Turnover by E. Bledsoe (lost ball; steal by M. Barnes),,17-17,,
4:01.0,Personal foul by P. Tucker (drawn by J. Redick),,17-17,,
4:01.0,A. Len enters the game for M. Plumlee,,17-17,,
4:01.0,G. Green enters the game for E. Bledsoe,,17-17,,
4:01.0,M. Morris enters the game for P. Tucker,,17-17,,
3:26.0,,,17-19,2,B. Griffin makes 2-pt shot from 1 ft
3:17.0,A. Len makes 2-pt shot from 15 ft (assist by G. Green),2,19-19,,
3:15.0,Technical foul by G. Dragic,,19-19,,
3:15.0,,,19-19,,C. Paul misses technical free throw
3:15.0,,,19-19,,Offensive rebound by Team
3:15.0,,,19-19,,J. Crawford enters the game for M. Barnes
3:01.0,,,19-22,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
2:48.0,M. Morris misses 3-pt shot from 25 ft,,19-22,,
2:46.0,,,19-22,,Defensive rebound by D. Jordan
2:33.0,,,19-22,,Shooting foul by M. Morris (drawn by B. Griffin)
2:33.0,,,19-22,,LA Clippers full timeout
2:33.0,,,19-22,,H. Turkoglu enters the game for J. Redick
2:33.0,A. Tolliver enters the game for M. Morris,,19-22,,
2:33.0,,,19-23,1,B. Griffin makes free throw 1 of 2
2:33.0,,,19-23,,S. Hawes enters the game for D. Jordan
2:33.0,,,19-24,1,B. Griffin makes free throw 2 of 2
2:22.0,Turnover by G. Dragic (bad pass; steal by S. Hawes),,19-24,,
2:17.0,,,19-26,2,B. Griffin makes 2-pt shot from 1 ft (assist by S. Hawes)
1:58.0,G. Green makes 3-pt shot from 24 ft,3,22-26,,
1:38.0,,,22-26,,Shooting foul by A. Len (drawn by B. Griffin)
1:38.0,,,22-27,1,B. Griffin makes free throw 1 of 2
1:38.0,,,22-28,1,B. Griffin makes free throw 2 of 2
1:34.0,,,22-28,,Personal foul by J. Crawford (drawn by G. Green)
1:34.0,,,22-28,,J. Cunningham enters the game for C. Paul
1:27.0,M. Morris makes 3-pt shot from 23 ft (assist by G. Dragic),3,25-28,,
1:12.0,,,25-28,,J. Crawford misses 2-pt shot from 15 ft
1:11.0,Defensive rebound by G. Dragic,,25-28,,
1:03.0,G. Dragic misses 2-pt shot from 7 ft,,25-28,,
1:01.0,,,25-28,,Defensive rebound by B. Griffin
0:55.0,,,25-28,,B. Griffin misses 2-pt shot from 7 ft
0:53.0,Defensive rebound by A. Len,,25-28,,
0:34.0,Shooting foul by S. Hawes (drawn by A. Len),,25-28,,
0:34.0,A. Len makes free throw 1 of 2,1,26-28,,
0:34.0,,,26-28,,G. Davis enters the game for B. Griffin
0:34.0,A. Len misses free throw 2 of 2,,26-28,,
0:32.0,,,26-28,,Defensive rebound by H. Turkoglu
0:15.0,,,26-28,,J. Cunningham misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by A. Tolliver,,26-28,,
0:00.0,G. Dragic makes 2-pt shot from 3 ft,2,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,28-28,,Turnover by J. Crawford (bad pass; steal by G. Green)
11:44.0,G. Green makes 3-pt shot from 25 ft,3,31-28,,
11:44.0,,,31-28,,LA Clippers full timeout
11:33.0,,,31-31,3,J. Crawford makes 3-pt shot from 27 ft
11:18.0,,,31-31,,Personal foul by J. Cunningham (drawn by E. Bledsoe)
11:09.0,M. Morris misses 2-pt shot from 15 ft,,31-31,,
11:08.0,,,31-31,,Defensive rebound by S. Hawes
11:01.0,,,31-31,,J. Crawford misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by E. Bledsoe,,31-31,,
10:53.0,A. Tolliver makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,34-31,,
10:35.0,,,34-34,3,J. Crawford makes 3-pt shot from 24 ft (assist by G. Davis)
10:18.0,G. Green misses 2-pt shot from 2 ft,,34-34,,
10:16.0,,,34-34,,Defensive rebound by J. Cunningham
10:11.0,,,34-34,,J. Crawford misses 2-pt shot from 8 ft (block by E. Bledsoe)
10:08.0,Defensive rebound by M. Morris,,34-34,,
10:04.0,G. Green makes 2-pt shot at rim (assist by E. Bledsoe),2,36-34,,
9:49.0,,,36-36,2,H. Turkoglu makes 2-pt shot from 19 ft (assist by S. Hawes)
9:38.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,38-36,,
9:16.0,,,38-36,,H. Turkoglu misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by M. Morris,,38-36,,
9:09.0,Turnover by A. Tolliver (lost ball),,38-36,,
9:09.0,,,38-36,,J. Redick enters the game for J. Cunningham
8:59.0,,,38-36,,J. Crawford misses 2-pt shot at rim
8:56.0,,,38-36,,Offensive rebound by G. Davis
8:53.0,,,38-38,2,G. Davis makes 2-pt shot from 1 ft
8:46.0,E. Bledsoe misses 3-pt shot from 25 ft,,38-38,,
8:45.0,,,38-38,,Defensive rebound by H. Turkoglu
8:30.0,,,38-40,2,S. Hawes makes 2-pt shot from 5 ft (assist by J. Crawford)
8:15.0,A. Tolliver misses 3-pt shot from 24 ft,,38-40,,
8:14.0,,,38-40,,Defensive rebound by S. Hawes
8:05.0,Personal foul by M. Morris (drawn by G. Davis),,38-40,,
8:05.0,Official timeout,,38-40,,
7:51.0,,,38-40,,S. Hawes misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by E. Bledsoe,,38-40,,
7:43.0,Turnover by E. Bledsoe (bad pass),,38-40,,
7:30.0,,,38-42,2,J. Redick makes 2-pt shot from 17 ft (assist by H. Turkoglu)
7:06.0,M. Morris makes 2-pt shot from 5 ft (assist by E. Bledsoe),2,40-42,,
6:50.0,,,40-42,,M. Barnes enters the game for H. Turkoglu
6:50.0,,,40-42,,D. Jordan enters the game for S. Hawes
6:50.0,,,40-42,,B. Griffin enters the game for G. Davis
6:43.0,,,40-42,,Shooting foul by E. Bledsoe (drawn by J. Redick)
6:43.0,,,40-43,1,J. Redick makes free throw 1 of 3
6:43.0,,,40-44,1,J. Redick makes free throw 2 of 3
6:43.0,,,40-44,,C. Paul enters the game for J. Crawford
6:43.0,,,40-45,1,J. Redick makes free throw 3 of 3
6:23.0,A. Tolliver makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,43-45,,
5:55.0,,,43-45,,M. Barnes misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by A. Tolliver,,43-45,,
5:48.0,G. Green misses 3-pt shot from 24 ft,,43-45,,
5:47.0,,,43-45,,Defensive rebound by C. Paul
5:36.0,,,43-45,,M. Barnes misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by A. Len,,43-45,,
5:15.0,A. Len misses 2-pt shot from 2 ft,,43-45,,
5:13.0,,,43-45,,Defensive rebound by D. Jordan
4:56.0,,,43-47,2,B. Griffin makes 2-pt shot from 5 ft
