time,Orlando,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Vucevic (J. Holiday gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (J. Holiday gains possession)
11:43.0,,,0-0,,A. Davis misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by E. Fournier,,0-0,,
11:31.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,2-0,,
11:18.0,,,2-0,,Turnover by J. Holiday (bad pass; steal by K. O'Quinn)
11:18.0,Turnover by E. Fournier (traveling),,2-0,,
11:06.0,,,2-0,,A. Davis misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by N. Vucevic,,2-0,,
10:54.0,E. Payton misses 2-pt shot from 1 ft (block by J. Holiday),,2-0,,
10:52.0,,,2-0,,Defensive rebound by T. Evans
10:50.0,,,2-0,,Shooting foul by K. O'Quinn (drawn by T. Evans)
10:50.0,,,2-1,1,T. Evans makes free throw 1 of 2
10:50.0,,,2-1,,T. Evans misses free throw 2 of 2
10:49.0,,,2-1,,Offensive rebound by O. Asik
10:46.0,,,2-1,,Shooting foul by N. Vucevic (drawn by O. Asik)
10:46.0,,,2-1,,O. Asik misses free throw 1 of 2
10:46.0,,,2-1,,Offensive rebound by Team
10:46.0,,,2-1,,O. Asik misses free throw 2 of 2
10:45.0,Defensive rebound by T. Harris,,2-1,,
10:33.0,Turnover by T. Harris (bad pass; steal by A. Davis),,2-1,,
10:29.0,,,2-3,2,A. Davis makes 2-pt shot at rim
10:19.0,N. Vucevic misses 2-pt shot from 6 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by J. Holiday
10:14.0,Personal foul by K. O'Quinn (drawn by A. Davis),,2-3,,
10:05.0,,,2-5,2,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans)
9:51.0,T. Harris misses 2-pt shot from 15 ft,,2-5,,
9:50.0,,,2-5,,Defensive rebound by J. Holiday
9:38.0,,,2-5,,O. Asik misses 2-pt shot from 2 ft (block by N. Vucevic)
9:36.0,,,2-5,,Offensive rebound by O. Asik
9:28.0,,,2-5,,T. Evans misses 2-pt shot from 4 ft (block by K. O'Quinn)
9:27.0,,,2-5,,Offensive rebound by O. Asik
9:18.0,,,2-7,2,T. Evans makes 2-pt shot from 2 ft
8:56.0,E. Fournier misses 2-pt shot from 20 ft,,2-7,,
8:53.0,Offensive rebound by N. Vucevic,,2-7,,
