time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Hill (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. J. Hill (R. Rondo gains possession)
11:44.0,M. Ellis misses 2-pt shot from 14 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Ellington
11:24.0,,,0-2,2,W. Johnson makes 2-pt shot from 20 ft (assist by J. Hill)
11:06.0,D. Nowitzki misses 2-pt shot from 18 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by W. Johnson
10:48.0,,,0-4,2,J. Hill makes 2-pt shot from 18 ft (assist by W. Johnson)
10:34.0,,,0-4,,Personal foul by T. Black (drawn by D. Nowitzki)
10:23.0,R. Rondo makes 2-pt shot from 20 ft (assist by D. Nowitzki),2,2-4,,
10:08.0,,,2-4,,W. Ellington misses 2-pt shot from 5 ft
10:04.0,,,2-4,,Offensive rebound by J. Hill
10:04.0,,,2-6,2,J. Hill makes 2-pt shot at rim
9:55.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Rondo),3,5-6,,
9:39.0,,,5-8,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
9:25.0,C. Parsons makes 2-pt shot at rim,2,7-8,,
9:25.0,Shooting foul by J. Hill (drawn by C. Parsons),,7-8,,
9:25.0,C. Parsons misses free throw 1 of 1,,7-8,,
9:23.0,,,7-8,,Defensive rebound by T. Black
9:09.0,,,7-8,,W. Ellington misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by T. Chandler,,7-8,,
9:00.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,9-8,,
8:36.0,,,9-8,,J. Hill misses 2-pt shot from 1 ft
8:35.0,,,9-8,,Offensive rebound by T. Black
8:29.0,,,9-10,2,J. Hill makes 2-pt shot from 17 ft (assist by T. Black)
8:04.0,D. Nowitzki misses 3-pt shot from 25 ft,,9-10,,
