time,Denver,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:46.0,,,0-0,,D. Rose misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by W. Chandler,,0-0,,
11:27.0,T. Mozgov makes 2-pt shot from 1 ft (assist by W. Chandler),2,2-0,,
11:14.0,,,2-0,,Turnover by D. Rose (bad pass; steal by K. Faried)
11:07.0,W. Chandler misses 3-pt shot from 25 ft,,2-0,,
11:05.0,Offensive rebound by K. Faried,,2-0,,
11:05.0,K. Faried misses 2-pt shot from 3 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Rose
10:46.0,,,2-0,,M. Dunleavy misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by K. Faried,,2-0,,
10:36.0,K. Faried makes 2-pt shot from 1 ft,2,4-0,,
10:16.0,,,4-0,,J. Butler misses 2-pt shot from 2 ft
10:15.0,,,4-0,,Offensive rebound by J. Noah
10:15.0,,,4-2,2,J. Noah makes 2-pt shot from 1 ft
10:02.0,W. Chandler misses 3-pt shot from 24 ft,,4-2,,
10:01.0,Offensive rebound by K. Faried,,4-2,,
9:59.0,K. Faried misses 2-pt shot from 2 ft,,4-2,,
9:58.0,,,4-2,,Defensive rebound by Team
9:42.0,,,4-2,,P. Gasol misses 2-pt shot from 3 ft (block by A. Afflalo)
9:40.0,Defensive rebound by T. Lawson,,4-2,,
9:37.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,6-2,,
9:25.0,,,6-2,,M. Dunleavy misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by K. Faried,,6-2,,
9:14.0,K. Faried makes 2-pt shot from 4 ft,2,8-2,,
8:51.0,,,8-4,2,P. Gasol makes 2-pt shot from 12 ft (assist by J. Butler)
8:27.0,W. Chandler misses 2-pt shot from 3 ft (block by J. Noah),,8-4,,
8:25.0,,,8-4,,Defensive rebound by J. Butler
