time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (D. Augustin gains possession)
11:36.0,,,0-0,,G. Monroe misses 2-pt shot from 7 ft
11:34.0,Defensive rebound by K. Love,,0-0,,
11:15.0,Turnover by K. Irving (lost ball; steal by D. Augustin),,0-0,,
11:09.0,,,0-0,,Turnover by K. Caldwell-Pope (bad pass)
10:47.0,K. Love misses 3-pt shot from 25 ft,,0-0,,
10:46.0,Offensive rebound by T. Mozgov,,0-0,,
10:45.0,T. Mozgov misses 2-pt shot at rim (block by A. Drummond),,0-0,,
10:43.0,,,0-0,,Defensive rebound by K. Singler
10:36.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by L. James,,0-0,,
10:19.0,L. James misses 2-pt shot at rim,,0-0,,
10:17.0,,,0-0,,Defensive rebound by A. Drummond
10:08.0,,,0-0,,K. Singler misses 3-pt shot from 22 ft
10:07.0,Defensive rebound by J. Smith,,0-0,,
9:51.0,T. Mozgov misses 2-pt shot from 6 ft,,0-0,,
9:50.0,,,0-0,,Defensive rebound by A. Drummond
9:44.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by D. Augustin)
9:32.0,K. Irving misses 2-pt shot at rim,,0-2,,
9:31.0,Offensive rebound by K. Irving,,0-2,,
9:31.0,K. Irving makes 2-pt shot at rim,2,2-2,,
9:10.0,,,2-2,,Offensive charge foul by G. Monroe
9:10.0,,,2-2,,Turnover by G. Monroe (offensive foul)
8:54.0,K. Irving misses 2-pt shot from 17 ft,,2-2,,
8:53.0,,,2-2,,Defensive rebound by K. Caldwell-Pope
8:30.0,,,2-5,3,K. Singler makes 3-pt shot from 25 ft (assist by D. Augustin)
8:25.0,L. James makes 2-pt shot at rim (assist by K. Love),2,4-5,,
8:05.0,,,4-7,2,G. Monroe makes 2-pt shot from 7 ft
7:40.0,L. James misses 2-pt shot from 7 ft,,4-7,,
7:38.0,,,4-7,,Defensive rebound by D. Augustin
7:35.0,,,4-9,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
7:27.0,T. Mozgov misses 2-pt shot from 1 ft,,4-9,,
7:26.0,,,4-9,,Defensive rebound by A. Drummond
7:18.0,,,4-9,,K. Singler misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by L. James,,4-9,,
7:13.0,Offensive charge foul by L. James,,4-9,,
7:13.0,Turnover by L. James (offensive foul),,4-9,,
7:13.0,T. Thompson enters the game for T. Mozgov,,4-9,,
7:02.0,,,4-9,,D. Augustin misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by T. Thompson,,4-9,,
6:55.0,J. Smith misses 3-pt shot from 26 ft,,4-9,,
6:54.0,Offensive rebound by Team,,4-9,,
6:51.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,6-9,,
6:33.0,,,6-9,,A. Drummond misses 2-pt shot from 7 ft
6:31.0,,,6-9,,Offensive rebound by G. Monroe
6:30.0,,,6-11,2,G. Monroe makes 2-pt shot from 1 ft
6:14.0,L. James misses 2-pt shot from 5 ft,,6-11,,
6:13.0,Offensive rebound by T. Thompson,,6-11,,
6:04.0,J. Smith misses 3-pt shot from 26 ft,,6-11,,
6:03.0,,,6-11,,Defensive rebound by K. Singler
5:40.0,,,6-11,,Shooting foul by K. Love (drawn by A. Drummond)
5:40.0,,,6-11,,Detroit full timeout
5:40.0,S. Marion enters the game for L. James,,6-11,,
5:40.0,,,6-11,,A. Drummond misses free throw 1 of 2
5:40.0,,,6-11,,Offensive rebound by Team
5:40.0,,,6-11,,A. Drummond misses free throw 2 of 2
5:39.0,Defensive rebound by T. Thompson,,6-11,,
5:29.0,K. Love misses 3-pt shot from 25 ft,,6-11,,
5:28.0,Offensive rebound by T. Thompson,,6-11,,
5:14.0,K. Irving makes 2-pt shot from 8 ft,2,8-11,,
4:50.0,,,8-11,,Turnover by K. Singler (lost ball)
4:50.0,,,8-11,,C. Butler enters the game for K. Singler
4:35.0,J. Smith misses 2-pt shot from 16 ft,,8-11,,
4:34.0,,,8-11,,Defensive rebound by C. Butler
4:25.0,,,8-13,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
4:04.0,J. Smith misses 3-pt shot from 26 ft,,8-13,,
4:03.0,,,8-13,,Defensive rebound by G. Monroe
4:00.0,,,8-13,,Shooting foul by J. Smith (drawn by G. Monroe)
4:00.0,,,8-14,1,G. Monroe makes free throw 1 of 2
4:00.0,I. Shumpert enters the game for J. Smith,,8-14,,
4:00.0,,,8-15,1,G. Monroe makes free throw 2 of 2
3:50.0,K. Irving misses 2-pt shot at rim,,8-15,,
3:49.0,,,8-15,,Defensive rebound by Team
3:33.0,,,8-15,,Turnover by K. Caldwell-Pope (lost ball; steal by I. Shumpert)
3:28.0,S. Marion makes 2-pt shot at rim (assist by K. Irving),2,10-15,,
3:02.0,,,10-15,,C. Butler misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by K. Love,,10-15,,
3:01.0,,,10-15,,Personal foul by A. Drummond (drawn by K. Love)
3:01.0,,,10-15,,A. Tolliver enters the game for G. Monroe
3:01.0,L. James enters the game for K. Love,,10-15,,
2:48.0,L. James misses 2-pt shot from 5 ft (block by A. Drummond),,10-15,,
2:47.0,,,10-15,,Defensive rebound by A. Tolliver
2:28.0,,,10-15,,Turnover by C. Butler (traveling)
2:28.0,Cleveland full timeout,,10-15,,
2:28.0,,,10-15,,J. Meeks enters the game for K. Caldwell-Pope
2:15.0,I. Shumpert misses 3-pt shot from 23 ft,,10-15,,
2:14.0,,,10-15,,Defensive rebound by A. Drummond
1:54.0,Personal foul by K. Irving (drawn by D. Augustin),,10-15,,
1:44.0,,,10-17,2,D. Augustin makes 2-pt shot at rim
1:30.0,L. James makes 2-pt shot at rim,2,12-17,,
1:30.0,Shooting foul by A. Drummond (drawn by L. James),,12-17,,
1:30.0,M. Dellavedova enters the game for K. Irving,,12-17,,
1:30.0,,,12-17,,G. Monroe enters the game for A. Drummond
1:30.0,L. James makes free throw 1 of 1,1,13-17,,
1:14.0,,,13-17,,A. Tolliver misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by S. Marion,,13-17,,
1:06.0,L. James makes 2-pt shot at rim,2,15-17,,
0:52.0,,,15-17,,J. Meeks misses 2-pt shot from 4 ft
0:50.0,,,15-17,,Offensive rebound by J. Meeks
0:49.0,,,15-17,,J. Meeks misses 2-pt shot at rim
0:48.0,Defensive rebound by M. Dellavedova,,15-17,,
0:41.0,S. Marion makes 2-pt shot at rim (assist by L. James),2,17-17,,
