time,Toronto,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Valanciunas (K. Faried gains possession),,,,Jump ball: T. Mozgov vs. J. Valanciunas (K. Faried gains possession)
11:44.0,,,0-0,,T. Mozgov misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by A. Johnson,,0-0,,
11:19.0,J. Valanciunas misses 2-pt shot from 14 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by W. Chandler
11:11.0,,,0-0,,W. Chandler misses 2-pt shot from 4 ft
11:10.0,Defensive rebound by J. Valanciunas,,0-0,,
11:10.0,,,0-0,,Personal foul by W. Chandler (drawn by J. Valanciunas)
10:57.0,T. Ross makes 2-pt shot from 3 ft (assist by K. Lowry),2,2-0,,
10:41.0,,,2-2,2,K. Faried makes 2-pt shot from 2 ft (assist by A. Afflalo)
10:23.0,A. Johnson misses 2-pt shot from 19 ft,,2-2,,
10:22.0,Offensive rebound by T. Ross,,2-2,,
10:15.0,Shooting foul by W. Chandler (drawn by J. Johnson),,2-2,,
10:15.0,J. Johnson makes free throw 1 of 2,1,3-2,,
10:15.0,J. Johnson misses free throw 2 of 2,,3-2,,
10:13.0,,,3-2,,Defensive rebound by K. Faried
9:52.0,,,3-2,,A. Afflalo misses 2-pt shot from 14 ft
9:50.0,Defensive rebound by T. Ross,,3-2,,
9:44.0,T. Ross makes 3-pt shot from 25 ft,3,6-2,,
9:31.0,,,6-2,,Shooting foul by J. Valanciunas (drawn by T. Mozgov)
9:31.0,,,6-3,1,T. Mozgov makes free throw 1 of 2
9:31.0,,,6-4,1,T. Mozgov makes free throw 2 of 2
9:13.0,J. Valanciunas misses 2-pt shot from 5 ft,,6-4,,
9:12.0,,,6-4,,Defensive rebound by K. Faried
9:04.0,,,6-4,,W. Chandler misses 2-pt shot from 2 ft
9:03.0,,,6-4,,Offensive rebound by W. Chandler
8:59.0,,,6-6,2,W. Chandler makes 2-pt shot from 2 ft
8:40.0,T. Ross misses 2-pt shot from 14 ft,,6-6,,
8:40.0,Offensive rebound by J. Valanciunas,,6-6,,
8:40.0,Shooting foul by T. Lawson (drawn by J. Valanciunas),,6-6,,
8:40.0,J. Valanciunas makes free throw 1 of 2,1,7-6,,
8:40.0,J. Valanciunas makes free throw 2 of 2,1,8-6,,
8:24.0,Personal foul by J. Johnson (drawn by A. Afflalo),,8-6,,
8:16.0,,,8-8,2,T. Lawson makes 2-pt shot from 14 ft
7:57.0,J. Johnson misses 3-pt shot from 23 ft,,8-8,,
7:55.0,,,8-8,,Defensive rebound by K. Faried
7:46.0,,,8-8,,K. Faried misses 2-pt shot from 2 ft
7:44.0,,,8-8,,Offensive rebound by K. Faried
7:44.0,,,8-10,2,K. Faried makes 2-pt shot at rim
7:31.0,Turnover by J. Johnson (bad pass; steal by A. Afflalo),,8-10,,
7:25.0,,,8-13,3,T. Lawson makes 3-pt shot from 24 ft (assist by K. Faried)
7:17.0,Toronto full timeout,,8-13,,
7:17.0,G. Vasquez enters the game for J. Johnson,,8-13,,
7:17.0,P. Patterson enters the game for A. Johnson,,8-13,,
7:08.0,P. Patterson misses 2-pt shot from 21 ft,,8-13,,
7:07.0,,,8-13,,Defensive rebound by W. Chandler
6:55.0,,,8-13,,T. Lawson misses 2-pt shot from 20 ft
6:54.0,,,8-13,,Offensive rebound by K. Faried
6:47.0,,,8-13,,A. Afflalo misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by P. Patterson,,8-13,,
6:33.0,G. Vasquez misses 2-pt shot from 21 ft,,8-13,,
6:31.0,,,8-13,,Defensive rebound by W. Chandler
6:15.0,Shooting block foul by G. Vasquez (drawn by T. Lawson),,8-13,,
6:15.0,,,8-14,1,T. Lawson makes free throw 1 of 2
6:15.0,,,8-14,,D. Arthur enters the game for K. Faried
6:15.0,,,8-14,,J. Hickson enters the game for W. Chandler
6:15.0,,,8-14,,T. Lawson misses free throw 2 of 2
6:14.0,Defensive rebound by Team,,8-14,,
6:04.0,K. Lowry makes 3-pt shot from 26 ft (assist by G. Vasquez),3,11-14,,
5:44.0,,,11-14,,T. Lawson misses 3-pt shot from 26 ft
5:42.0,,,11-14,,Offensive rebound by J. Hickson
5:39.0,,,11-14,,Turnover by J. Hickson (lost ball; steal by J. Valanciunas)
5:33.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,13-14,,
5:26.0,Shooting block foul by J. Valanciunas (drawn by T. Mozgov),,13-14,,
5:26.0,,,13-14,,T. Mozgov misses free throw 1 of 2
5:26.0,,,13-14,,Offensive rebound by Team
5:26.0,A. Johnson enters the game for J. Valanciunas,,13-14,,
5:26.0,,,13-15,1,T. Mozgov makes free throw 2 of 2
