time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession)
11:48.0,,,0-0,,Turnover by K. Durant (bad pass; steal by T. Evans)
11:31.0,Turnover by A. Davis (lost ball; steal by S. Adams),,0-0,,
11:25.0,,,0-0,,K. Durant misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by A. Davis,,0-0,,
11:09.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,2-0,,
10:57.0,,,2-2,2,S. Adams makes 2-pt shot from 4 ft (assist by K. Durant)
10:41.0,Turnover by E. Gordon (bad pass; steal by R. Westbrook),,2-2,,
10:33.0,,,2-4,2,S. Adams makes 2-pt shot from 2 ft (assist by K. Durant)
10:33.0,,,2-4,,Shooting foul by O. Asik (drawn by S. Adams)
10:33.0,,,2-5,1,S. Adams makes free throw 1 of 1
10:18.0,T. Evans makes 2-pt shot from 2 ft,2,4-5,,
9:56.0,,,4-5,,A. Roberson misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by A. Davis,,4-5,,
9:48.0,E. Gordon misses 2-pt shot from 1 ft (block by S. Ibaka),,4-5,,
9:46.0,,,4-5,,Defensive rebound by R. Westbrook
9:36.0,,,4-7,2,S. Ibaka makes 2-pt shot from 10 ft (assist by R. Westbrook)
9:15.0,D. Cunningham makes 2-pt shot from 4 ft (assist by A. Davis),2,6-7,,
8:59.0,,,6-9,2,K. Durant makes 2-pt shot from 23 ft
8:37.0,T. Evans misses 3-pt shot from 24 ft,,6-9,,
8:36.0,,,6-9,,Defensive rebound by A. Roberson
8:21.0,,,6-9,,Turnover by S. Adams (bad pass; steal by E. Gordon)
8:07.0,Turnover by T. Evans (bad pass; steal by A. Roberson),,6-9,,
7:45.0,,,6-9,,R. Westbrook misses 2-pt shot from 13 ft
7:45.0,Defensive rebound by O. Asik,,6-9,,
7:27.0,Turnover by T. Evans (lost ball),,6-9,,
7:12.0,,,6-9,,S. Ibaka misses 2-pt shot from 17 ft
7:11.0,Defensive rebound by O. Asik,,6-9,,
6:55.0,,,6-9,,Violation by R. Westbrook (kicked ball)
6:47.0,D. Cunningham misses 3-pt shot from 23 ft,,6-9,,
6:46.0,,,6-9,,Defensive rebound by A. Roberson
6:37.0,,,6-12,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:15.0,A. Davis misses 2-pt shot from 17 ft,,6-12,,
6:14.0,,,6-12,,Defensive rebound by S. Ibaka
5:55.0,,,6-14,2,S. Ibaka makes 2-pt shot from 3 ft
5:54.0,New Orleans full timeout,,6-14,,
5:41.0,,,6-14,,Personal foul by S. Adams (drawn by A. Davis)
5:34.0,A. Davis misses 2-pt shot from 4 ft (block by K. Durant),,6-14,,
5:32.0,Offensive rebound by A. Davis,,6-14,,
5:31.0,A. Davis misses 2-pt shot from 2 ft (block by S. Ibaka),,6-14,,
5:29.0,,,6-14,,Defensive rebound by A. Roberson
5:26.0,,,6-17,3,R. Westbrook makes 3-pt shot from 24 ft
5:05.0,T. Evans makes 3-pt shot from 22 ft (assist by E. Gordon),3,9-17,,
4:56.0,,,9-17,,Offensive foul by S. Adams
4:56.0,,,9-17,,Turnover by S. Adams (offensive foul)
4:56.0,,,9-17,,K. Perkins enters the game for S. Adams
4:39.0,O. Asik misses 2-pt shot from 2 ft (block by K. Perkins),,9-17,,
4:37.0,Offensive rebound by D. Cunningham,,9-17,,
4:31.0,E. Gordon misses 2-pt shot from 23 ft (block by A. Roberson),,9-17,,
4:30.0,,,9-17,,Defensive rebound by K. Perkins
4:22.0,,,9-17,,K. Durant misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by E. Gordon,,9-17,,
4:17.0,T. Evans makes 2-pt shot from 3 ft,2,11-17,,
4:17.0,Shooting foul by K. Perkins (drawn by T. Evans),,11-17,,
4:17.0,,,11-17,,Technical foul by K. Perkins (drawn by T. Evans)
4:17.0,Technical foul by T. Evans,,11-17,,
4:17.0,,,11-17,,D. Waiters enters the game for A. Roberson
4:17.0,T. Evans makes free throw 1 of 1,1,12-17,,
4:06.0,,,12-19,2,R. Westbrook makes 2-pt shot from 15 ft
3:49.0,A. Davis makes 2-pt shot from 13 ft (assist by T. Evans),2,14-19,,
3:39.0,Personal foul by E. Gordon (drawn by R. Westbrook),,14-19,,
3:39.0,R. Anderson enters the game for O. Asik,,14-19,,
3:39.0,Q. Pondexter enters the game for D. Cunningham,,14-19,,
3:27.0,,,14-19,,R. Westbrook misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by T. Evans,,14-19,,
3:17.0,T. Evans makes 2-pt shot from 2 ft,2,16-19,,
3:16.0,,,16-19,,Oklahoma City full timeout
3:16.0,,,16-19,,A. Morrow enters the game for S. Ibaka
3:03.0,,,16-21,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
2:49.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,18-21,,
2:49.0,Shooting foul by A. Morrow (drawn by A. Davis),,18-21,,
2:49.0,A. Davis makes free throw 1 of 1,1,19-21,,
2:38.0,,,19-23,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
2:18.0,R. Anderson misses 2-pt shot from 19 ft,,19-23,,
2:17.0,,,19-23,,Defensive rebound by D. Waiters
2:00.0,,,19-25,2,R. Westbrook makes 2-pt shot from 18 ft
1:44.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by T. Evans),3,22-25,,
1:30.0,,,22-28,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
1:11.0,E. Gordon makes 2-pt shot from 1 ft,2,24-28,,
0:54.0,,,24-28,,Shooting foul by E. Gordon (drawn by R. Westbrook)
0:54.0,,,24-29,1,R. Westbrook makes free throw 1 of 2
0:54.0,J. Fredette enters the game for E. Gordon,,24-29,,
0:54.0,,,24-30,1,R. Westbrook makes free throw 2 of 2
0:35.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans),3,27-30,,
0:31.0,,,27-33,3,R. Westbrook makes 3-pt shot from 25 ft
0:21.0,R. Anderson makes 2-pt shot from 1 ft (assist by T. Evans),2,29-33,,
0:03.0,,,29-33,,R. Westbrook misses 2-pt shot from 20 ft
0:02.0,Defensive rebound by T. Evans,,29-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Fredette),3,32-33,,
11:36.0,,,32-35,2,D. Waiters makes 2-pt shot from 16 ft
11:15.0,Turnover by R. Anderson (bad pass),,32-35,,
10:58.0,,,32-35,,D. Waiters misses 2-pt shot from 2 ft (block by A. Davis)
10:56.0,Defensive rebound by A. Davis,,32-35,,
10:42.0,R. Anderson misses 3-pt shot from 24 ft,,32-35,,
10:41.0,,,32-35,,Defensive rebound by N. Collison
10:32.0,,,32-37,2,R. Jackson makes 2-pt shot from 6 ft
10:10.0,J. Fredette misses 2-pt shot from 10 ft,,32-37,,
10:09.0,Offensive rebound by J. Fredette,,32-37,,
9:58.0,,,32-37,,Violation by R. Jackson (def goaltending)
9:58.0,J. Fredette makes 2-pt shot from 1 ft,2,34-37,,
9:47.0,Personal foul by J. Fredette (drawn by A. Morrow),,34-37,,
9:47.0,A. Ajinca enters the game for A. Davis,,34-37,,
9:43.0,,,34-37,,A. Morrow misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by A. Ajinca,,34-37,,
9:31.0,Turnover by A. Ajinca (bad pass; steal by R. Jackson),,34-37,,
9:14.0,,,34-37,,Turnover by K. Perkins (bad pass; steal by Q. Pondexter)
9:02.0,,,34-37,,Personal foul by D. Waiters (drawn by J. Fredette)
8:51.0,R. Anderson misses 2-pt shot from 3 ft,,34-37,,
8:50.0,Offensive rebound by A. Ajinca,,34-37,,
8:50.0,A. Ajinca misses 2-pt shot from 1 ft,,34-37,,
8:48.0,,,34-37,,Defensive rebound by K. Perkins
8:39.0,,,34-37,,R. Jackson misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by A. Ajinca,,34-37,,
8:29.0,J. Fredette makes 2-pt shot from 14 ft,2,36-37,,
8:28.0,,,36-37,,Oklahoma City full timeout
