time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (Z. Randolph gains possession)
11:44.0,,,0-0,,M. Gasol misses 2-pt shot from 13 ft
11:43.0,Defensive rebound by M. Barnes,,0-0,,
11:28.0,J. Redick misses 3-pt shot from 22 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by M. Gasol
11:12.0,,,0-0,,Z. Randolph misses 2-pt shot from 7 ft
11:12.0,,,0-0,,Offensive rebound by Team
11:01.0,,,0-2,2,C. Lee makes 2-pt shot from 15 ft (assist by M. Conley)
10:37.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,3-2,,
10:26.0,,,3-4,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
10:11.0,M. Barnes makes 2-pt shot from 1 ft (assist by J. Redick),2,5-4,,
9:58.0,,,5-4,,C. Lee misses 2-pt shot from 11 ft
9:55.0,Defensive rebound by D. Jordan,,5-4,,
9:51.0,D. Jordan misses 2-pt shot at rim,,5-4,,
9:49.0,,,5-4,,Defensive rebound by C. Lee
9:42.0,,,5-7,3,M. Conley makes 3-pt shot from 26 ft (assist by C. Lee)
9:29.0,B. Griffin misses 2-pt shot from 20 ft,,5-7,,
9:28.0,,,5-7,,Defensive rebound by M. Gasol
9:20.0,,,5-9,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
9:03.0,J. Redick makes 2-pt shot from 1 ft,2,7-9,,
8:42.0,,,7-9,,Turnover by Z. Randolph (lost ball; steal by C. Paul)
8:38.0,Shooting foul by M. Conley (drawn by B. Griffin),,7-9,,
8:38.0,B. Griffin misses free throw 1 of 2,,7-9,,
8:38.0,Offensive rebound by Team,,7-9,,
8:38.0,B. Griffin makes free throw 2 of 2,1,8-9,,
8:28.0,,,8-9,,Turnover by M. Conley (lost ball; steal by D. Jordan)
8:26.0,Turnover by D. Jordan (bad pass; steal by C. Lee),,8-9,,
8:20.0,,,8-11,2,M. Gasol makes 2-pt shot at rim (assist by T. Allen)
8:02.0,M. Barnes makes 2-pt shot from 21 ft (assist by B. Griffin),2,10-11,,
7:52.0,,,10-11,,Shooting foul by C. Paul (drawn by M. Conley)
7:52.0,,,10-11,,M. Conley misses free throw 1 of 2
7:52.0,,,10-11,,Offensive rebound by Team
7:52.0,,,10-12,1,M. Conley makes free throw 2 of 2
7:38.0,M. Barnes misses 3-pt shot from 24 ft,,10-12,,
7:37.0,,,10-12,,Defensive rebound by Z. Randolph
7:30.0,,,10-12,,T. Allen misses 2-pt shot from 5 ft
7:28.0,Defensive rebound by C. Paul,,10-12,,
7:18.0,Shooting foul by Z. Randolph (drawn by M. Barnes),,10-12,,
7:18.0,M. Barnes misses free throw 1 of 2,,10-12,,
7:18.0,Offensive rebound by Team,,10-12,,
7:18.0,M. Barnes misses free throw 2 of 2,,10-12,,
7:17.0,,,10-12,,Defensive rebound by T. Allen
6:59.0,,,10-14,2,Z. Randolph makes 2-pt shot from 2 ft
6:52.0,,,10-14,,Personal foul by M. Conley (drawn by C. Paul)
6:52.0,,,10-14,,V. Carter enters the game for T. Allen
6:52.0,,,10-14,,B. Udrih enters the game for M. Conley
6:48.0,M. Barnes makes 2-pt shot from 1 ft,2,12-14,,
6:31.0,,,12-16,2,M. Gasol makes 2-pt shot from 14 ft
6:22.0,J. Redick misses 3-pt shot from 24 ft,,12-16,,
6:21.0,,,12-16,,Defensive rebound by Z. Randolph
6:21.0,Loose ball foul by D. Jordan (drawn by M. Gasol),,12-16,,
6:03.0,,,12-18,2,M. Gasol makes 2-pt shot at rim
5:56.0,LA Clippers full timeout,,12-18,,
5:46.0,B. Griffin makes 2-pt shot from 6 ft,2,14-18,,
5:28.0,,,14-18,,Z. Randolph misses 2-pt shot from 4 ft
5:27.0,Defensive rebound by B. Griffin,,14-18,,
5:05.0,B. Griffin makes 2-pt shot from 20 ft,2,16-18,,
4:48.0,,,16-20,2,M. Gasol makes 2-pt shot from 19 ft (assist by B. Udrih)
4:31.0,B. Griffin makes 2-pt shot from 7 ft,2,18-20,,
4:18.0,J. Crawford enters the game for J. Redick,,18-20,,
4:18.0,Violation by Team (delay of game),,18-20,,
4:11.0,,,18-20,,Turnover by C. Lee (bad pass; steal by B. Griffin)
4:08.0,Turnover by B. Griffin (bad pass),,18-20,,
3:48.0,,,18-20,,M. Gasol misses 2-pt shot from 11 ft
3:46.0,Defensive rebound by C. Paul,,18-20,,
3:34.0,Turnover by B. Griffin (bad pass; steal by C. Lee),,18-20,,
3:29.0,Personal foul by B. Griffin (drawn by Z. Randolph),,18-20,,
3:29.0,,,18-20,,Memphis full timeout
3:20.0,,,18-20,,Turnover by Z. Randolph (bad pass; steal by J. Crawford)
3:00.0,B. Griffin misses 2-pt shot from 18 ft,,18-20,,
2:58.0,,,18-20,,Defensive rebound by V. Carter
2:50.0,,,18-22,2,V. Carter makes 2-pt shot from 2 ft
2:29.0,M. Barnes misses 3-pt shot from 25 ft,,18-22,,
2:28.0,,,18-22,,Defensive rebound by M. Gasol
2:14.0,,,18-22,,B. Udrih misses 3-pt shot from 23 ft
2:14.0,,,18-22,,Offensive rebound by Team
2:14.0,Loose ball foul by M. Barnes (drawn by M. Gasol),,18-22,,
2:14.0,H. Turkoglu enters the game for M. Barnes,,18-22,,
2:14.0,S. Hawes enters the game for D. Jordan,,18-22,,
2:14.0,,,18-22,,K. Koufos enters the game for M. Gasol
2:01.0,,,18-24,2,Z. Randolph makes 2-pt shot from 4 ft (assist by C. Lee)
1:46.0,J. Crawford makes 3-pt shot from 25 ft (assist by H. Turkoglu),3,21-24,,
1:31.0,,,21-24,,K. Koufos misses 2-pt shot from 11 ft
1:31.0,Defensive rebound by H. Turkoglu,,21-24,,
1:25.0,B. Griffin misses 2-pt shot at rim,,21-24,,
1:21.0,,,21-24,,Defensive rebound by K. Koufos
1:17.0,,,21-26,2,B. Udrih makes 2-pt shot from 14 ft
1:05.0,C. Paul misses 3-pt shot from 25 ft,,21-26,,
1:04.0,,,21-26,,Defensive rebound by Z. Randolph
0:56.0,,,21-26,,Turnover by C. Lee (bad pass)
0:56.0,J. Farmar enters the game for C. Paul,,21-26,,
0:56.0,G. Davis enters the game for B. Griffin,,21-26,,
0:40.0,J. Crawford misses 2-pt shot from 12 ft,,21-26,,
0:37.0,,,21-26,,Defensive rebound by K. Koufos
0:19.0,,,21-26,,Z. Randolph misses 2-pt shot at rim
0:16.0,Defensive rebound by S. Hawes,,21-26,,
0:03.0,J. Crawford misses 2-pt shot at rim,,21-26,,
0:01.0,,,21-26,,Defensive rebound by V. Carter
0:00.0,,,21-26,,V. Carter misses 3-pt shot from 79 ft
0:00.0,,,21-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Shooting foul by K. Koufos (drawn by G. Davis),,21-26,,
11:40.0,G. Davis misses free throw 1 of 2,,21-26,,
11:40.0,Offensive rebound by Team,,21-26,,
11:40.0,G. Davis misses free throw 2 of 2,,21-26,,
11:39.0,,,21-26,,Defensive rebound by K. Koufos
11:22.0,Personal foul by S. Hawes (drawn by K. Koufos),,21-26,,
11:18.0,Personal foul by J. Farmar (drawn by M. Conley),,21-26,,
11:11.0,,,21-26,,Offensive foul by Z. Randolph
11:11.0,,,21-26,,Turnover by Z. Randolph (offensive foul)
11:11.0,,,21-26,,J. Leuer enters the game for Z. Randolph
10:58.0,J. Crawford misses 2-pt shot from 11 ft,,21-26,,
10:55.0,,,21-26,,Defensive rebound by K. Koufos
10:42.0,,,21-26,,V. Carter misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by J. Farmar,,21-26,,
10:30.0,S. Hawes misses 3-pt shot from 25 ft,,21-26,,
10:28.0,,,21-26,,Defensive rebound by V. Carter
10:20.0,,,21-26,,Q. Pondexter misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by S. Hawes,,21-26,,
10:11.0,Offensive foul by G. Davis,,21-26,,
