time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession),,,,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession)
11:41.0,D. Williams makes 2-pt shot from 8 ft,2,2-0,,
11:27.0,,,2-2,2,G. Hill makes 2-pt shot from 2 ft (assist by D. West)
11:08.0,B. Lopez makes 2-pt shot from 16 ft (assist by D. Williams),2,4-2,,
11:03.0,Personal foul by B. Lopez (drawn by R. Hibbert),,4-2,,
10:46.0,,,4-4,2,S. Hill makes 2-pt shot from 11 ft
10:32.0,J. Johnson makes 2-pt shot from 12 ft,2,6-4,,
10:32.0,Shooting foul by S. Hill (drawn by J. Johnson),,6-4,,
10:32.0,J. Johnson makes free throw 1 of 1,1,7-4,,
10:13.0,Personal foul by T. Young (drawn by R. Hibbert),,7-4,,
10:05.0,,,7-4,,S. Hill misses 2-pt shot from 16 ft
10:02.0,,,7-4,,Offensive rebound by R. Hibbert
9:58.0,,,7-4,,G. Hill misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by T. Young,,7-4,,
9:50.0,D. Williams makes 2-pt shot from 19 ft,2,9-4,,
9:35.0,,,9-6,2,R. Hibbert makes 2-pt shot from 6 ft (assist by D. West)
9:29.0,Shooting foul by R. Hibbert (drawn by D. Williams),,9-6,,
9:29.0,D. Williams misses free throw 1 of 2,,9-6,,
9:29.0,Offensive rebound by Team,,9-6,,
9:29.0,D. Williams makes free throw 2 of 2,1,10-6,,
9:12.0,,,10-8,2,S. Hill makes 2-pt shot at rim (assist by G. Hill)
9:01.0,B. Lopez makes 2-pt shot from 22 ft (assist by D. Williams),2,12-8,,
8:48.0,,,12-8,,G. Hill misses 2-pt shot from 3 ft (block by B. Lopez)
8:46.0,,,12-8,,Offensive rebound by G. Hill
8:45.0,,,12-8,,G. Hill misses 2-pt shot from 10 ft
8:44.0,Defensive rebound by J. Johnson,,12-8,,
8:33.0,J. Johnson misses 2-pt shot from 10 ft,,12-8,,
8:32.0,,,12-8,,Defensive rebound by R. Hibbert
8:17.0,,,12-8,,Turnover by C. Miles (lost ball; steal by D. Williams)
8:11.0,J. Johnson misses 3-pt shot from 25 ft,,12-8,,
8:10.0,,,12-8,,Defensive rebound by R. Hibbert
