time,Phoenix,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. C. Zeller (P. Tucker gains possession),,,,Jump ball: A. Len vs. C. Zeller (P. Tucker gains possession)
11:43.0,M. Morris makes 2-pt shot from 12 ft (assist by G. Dragic),2,2-0,,
11:18.0,,,2-2,2,A. Jefferson makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
10:56.0,A. Len misses 2-pt shot from 7 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by C. Zeller
10:48.0,,,2-2,,K. Walker misses 2-pt shot at rim
10:48.0,Defensive rebound by Team,,2-2,,
10:30.0,E. Bledsoe misses 2-pt shot from 4 ft,,2-2,,
10:28.0,Offensive rebound by A. Len,,2-2,,
10:28.0,A. Len makes 2-pt shot at rim,2,4-2,,
10:12.0,,,4-2,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by P. Tucker,,4-2,,
10:05.0,G. Dragic makes 2-pt shot at rim (assist by P. Tucker),2,6-2,,
9:54.0,,,6-2,,Shooting foul by A. Len (drawn by A. Jefferson)
9:54.0,,,6-3,1,A. Jefferson makes free throw 1 of 2
9:54.0,,,6-4,1,A. Jefferson makes free throw 2 of 2
9:42.0,G. Dragic makes 2-pt shot from 16 ft,2,8-4,,
9:28.0,,,8-6,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
9:11.0,G. Dragic misses 3-pt shot from 25 ft,,8-6,,
9:10.0,,,8-6,,Defensive rebound by C. Zeller
9:01.0,,,8-6,,L. Stephenson misses 2-pt shot from 17 ft
8:58.0,Defensive rebound by M. Morris,,8-6,,
8:42.0,Turnover by E. Bledsoe (lost ball; steal by M. Kidd-Gilchrist),,8-6,,
8:38.0,,,8-8,2,L. Stephenson makes 2-pt shot from 1 ft (assist by C. Zeller)
8:38.0,,,8-8,,Shooting foul by M. Morris (drawn by L. Stephenson)
8:38.0,,,8-9,1,L. Stephenson makes free throw 1 of 1
8:19.0,E. Bledsoe misses 3-pt shot from 23 ft,,8-9,,
8:18.0,,,8-9,,Defensive rebound by L. Stephenson
8:12.0,,,8-9,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
8:12.0,,,8-9,,Offensive rebound by C. Zeller
8:04.0,,,8-9,,Turnover by A. Jefferson (lost ball; steal by A. Len)
7:54.0,G. Dragic makes 2-pt shot at rim,2,10-9,,
7:42.0,,,10-11,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
7:22.0,M. Morris misses 2-pt shot from 16 ft,,10-11,,
7:21.0,,,10-11,,Defensive rebound by K. Walker
7:11.0,,,10-14,3,K. Walker makes 3-pt shot from 26 ft
6:50.0,G. Dragic misses 2-pt shot from 1 ft,,10-14,,
6:49.0,,,10-14,,Defensive rebound by L. Stephenson
6:38.0,,,10-14,,A. Jefferson misses 2-pt shot from 16 ft
6:37.0,Defensive rebound by E. Bledsoe,,10-14,,
6:26.0,E. Bledsoe makes 2-pt shot from 17 ft,2,12-14,,
6:12.0,,,12-17,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
5:53.0,,,12-17,,Charlotte full timeout
5:49.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic),2,14-17,,
5:27.0,,,14-17,,K. Walker misses 2-pt shot from 16 ft
5:26.0,Defensive rebound by A. Len,,14-17,,
5:16.0,E. Bledsoe misses 2-pt shot from 18 ft,,14-17,,
5:15.0,,,14-17,,Defensive rebound by A. Jefferson
4:59.0,,,14-19,2,A. Jefferson makes 2-pt shot from 6 ft
4:39.0,P. Tucker misses 2-pt shot from 17 ft,,14-19,,
4:38.0,,,14-19,,Defensive rebound by A. Jefferson
4:27.0,,,14-21,2,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson)
4:12.0,E. Bledsoe misses 2-pt shot from 17 ft,,14-21,,
4:10.0,,,14-21,,Defensive rebound by A. Jefferson
3:58.0,,,14-23,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by A. Jefferson)
3:37.0,A. Len makes 2-pt shot from 13 ft (assist by P. Tucker),2,16-23,,
3:22.0,,,16-23,,A. Jefferson misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by M. Morris,,16-23,,
3:16.0,Shooting foul by K. Walker (drawn by E. Bledsoe),,16-23,,
3:16.0,E. Bledsoe makes free throw 1 of 2,1,17-23,,
3:16.0,M. Plumlee enters the game for A. Len,,17-23,,
3:16.0,M. Morris enters the game for P. Tucker,,17-23,,
3:16.0,,,17-23,,M. Williams enters the game for C. Zeller
3:16.0,,,17-23,,G. Henderson enters the game for M. Kidd-Gilchrist
3:16.0,E. Bledsoe makes free throw 2 of 2,1,18-23,,
3:02.0,,,18-25,2,A. Jefferson makes 2-pt shot from 5 ft (assist by L. Stephenson)
2:45.0,E. Bledsoe makes 2-pt shot at rim (assist by G. Dragic),2,20-25,,
2:32.0,,,20-27,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
2:28.0,,,20-27,,G. Neal enters the game for L. Stephenson
2:28.0,Phoenix full timeout,,20-27,,
2:28.0,I. Thomas enters the game for E. Bledsoe,,20-27,,
2:20.0,M. Morris misses 2-pt shot at rim (block by G. Henderson),,20-27,,
2:19.0,Offensive rebound by M. Morris,,20-27,,
2:19.0,M. Morris misses 2-pt shot at rim,,20-27,,
2:18.0,,,20-27,,Defensive rebound by Team
2:02.0,,,20-29,2,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Neal)
1:42.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,22-29,,
1:24.0,,,22-31,2,A. Jefferson makes 2-pt shot from 17 ft
1:07.0,M. Plumlee makes 2-pt shot from 6 ft,2,24-31,,
0:48.0,,,24-31,,G. Neal misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by M. Morris,,24-31,,
0:30.0,G. Dragic makes 3-pt shot from 22 ft (assist by M. Morris),3,27-31,,
0:09.0,,,27-31,,M. Williams misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by I. Thomas,,27-31,,
0:05.0,,,27-31,,Personal foul by A. Jefferson (drawn by I. Thomas)
0:02.0,G. Dragic misses 3-pt shot from 22 ft,,27-31,,
0:00.0,Offensive rebound by Team,,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by M. Morris (drawn by G. Henderson),,27-31,,
11:48.0,,,27-31,,Shooting foul by I. Thomas (drawn by B. Roberts)
