time,Boston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. R. Sacre (T. Zeller gains possession),,,,Jump ball: B. Bass vs. R. Sacre (T. Zeller gains possession)
11:45.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller),3,3-0,,
11:35.0,,,3-0,,Turnover by J. Clarkson (lost ball; steal by M. Smart)
11:35.0,,,3-0,,Clear path foul by J. Clarkson
11:35.0,M. Smart misses clear path free throw 1 of 2,,3-0,,
11:35.0,Offensive rebound by Team,,3-0,,
11:35.0,M. Smart makes clear path free throw 2 of 2,1,4-0,,
11:21.0,M. Smart misses 3-pt shot from 26 ft,,4-0,,
11:18.0,,,4-0,,Defensive rebound by R. Kelly
11:02.0,,,4-2,2,R. Kelly makes 2-pt shot from 13 ft (assist by W. Ellington)
10:38.0,B. Bass misses 2-pt shot from 12 ft,,4-2,,
10:37.0,,,4-2,,Defensive rebound by C. Boozer
10:20.0,,,4-4,2,J. Clarkson makes 2-pt shot from 13 ft
9:56.0,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner),2,6-4,,
9:42.0,,,6-4,,C. Boozer misses 2-pt shot from 13 ft
9:39.0,Defensive rebound by T. Zeller,,6-4,,
9:34.0,E. Turner makes 2-pt shot from 18 ft,2,8-4,,
9:14.0,,,8-7,3,W. Ellington makes 3-pt shot from 26 ft
9:01.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,10-7,,
8:50.0,,,10-9,2,J. Clarkson makes 2-pt shot from 2 ft
8:50.0,,,10-9,,Shooting foul by T. Zeller (drawn by J. Clarkson)
8:50.0,,,10-10,1,J. Clarkson makes free throw 1 of 1
8:31.0,B. Bass makes 2-pt shot from 3 ft,2,12-10,,
8:17.0,,,12-10,,C. Boozer misses 2-pt shot from 2 ft (block by T. Zeller)
8:12.0,Defensive rebound by M. Smart,,12-10,,
8:10.0,Turnover by E. Turner (bad pass),,12-10,,
7:50.0,,,12-10,,C. Boozer misses 2-pt shot from 13 ft (block by B. Bass)
7:45.0,Defensive rebound by T. Zeller,,12-10,,
7:38.0,E. Turner misses 2-pt shot from 14 ft,,12-10,,
7:35.0,,,12-10,,Defensive rebound by R. Sacre
7:31.0,,,12-12,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Clarkson)
7:18.0,A. Bradley makes 2-pt shot from 13 ft (assist by E. Turner),2,14-12,,
7:00.0,,,14-12,,R. Kelly misses 2-pt shot from 6 ft
6:57.0,Defensive rebound by B. Bass,,14-12,,
6:49.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,17-12,,
6:24.0,,,17-12,,J. Clarkson misses 3-pt shot from 25 ft (block by M. Smart)
6:23.0,,,17-12,,Offensive rebound by Team
6:23.0,,,17-12,,Turnover by Team (shot clock)
6:15.0,Turnover by E. Turner (traveling),,17-12,,
5:57.0,,,17-12,,R. Sacre misses 2-pt shot from 5 ft
5:54.0,Defensive rebound by B. Bass,,17-12,,
5:45.0,B. Bass makes 2-pt shot from 11 ft (assist by A. Bradley),2,19-12,,
5:31.0,,,19-12,,W. Ellington misses 2-pt shot from 20 ft
5:30.0,Defensive rebound by T. Zeller,,19-12,,
5:27.0,,,19-12,,LA Lakers full timeout
5:27.0,,,19-12,,E. Davis enters the game for C. Boozer
5:27.0,,,19-12,,J. Hill enters the game for R. Sacre
5:27.0,,,19-12,,W. Johnson enters the game for W. Ellington
5:27.0,I. Thomas enters the game for B. Bass,,19-12,,
5:27.0,J. Crowder enters the game for M. Smart,,19-12,,
5:14.0,T. Zeller misses 2-pt shot from 6 ft,,19-12,,
5:11.0,,,19-12,,Defensive rebound by E. Davis
4:58.0,,,19-12,,E. Davis misses 2-pt shot from 4 ft (block by J. Crowder)
4:56.0,Defensive rebound by J. Crowder,,19-12,,
4:48.0,A. Bradley misses 2-pt shot from 14 ft,,19-12,,
4:46.0,,,19-12,,Defensive rebound by E. Davis
4:36.0,,,19-12,,Turnover by J. Clarkson (lost ball; steal by A. Bradley)
4:33.0,I. Thomas makes 2-pt shot from 2 ft,2,21-12,,
4:15.0,,,21-14,2,W. Johnson makes 2-pt shot from 3 ft
3:58.0,J. Crowder misses 3-pt shot from 26 ft,,21-14,,
3:57.0,Offensive rebound by I. Thomas,,21-14,,
3:55.0,A. Bradley misses 3-pt shot from 24 ft,,21-14,,
3:53.0,Offensive rebound by T. Zeller,,21-14,,
3:47.0,E. Turner misses 2-pt shot from 12 ft,,21-14,,
3:44.0,,,21-14,,Defensive rebound by J. Hill
3:37.0,,,21-14,,Shooting foul by J. Crowder (drawn by J. Hill)
3:37.0,,,21-15,1,J. Hill makes free throw 1 of 2
3:37.0,,,21-15,,N. Young enters the game for R. Kelly
3:37.0,,,21-15,,R. Price enters the game for J. Clarkson
3:37.0,,,21-16,1,J. Hill makes free throw 2 of 2
3:26.0,A. Bradley misses 2-pt shot from 18 ft,,21-16,,
3:24.0,,,21-16,,Defensive rebound by R. Price
3:12.0,,,21-16,,Shooting foul by I. Thomas (drawn by R. Price)
3:12.0,,,21-17,1,R. Price makes free throw 1 of 2
3:12.0,,,21-18,1,R. Price makes free throw 2 of 2
2:55.0,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner),2,23-18,,
2:40.0,,,23-20,2,J. Hill makes 2-pt shot from 20 ft (assist by W. Johnson)
2:29.0,J. Crowder makes 2-pt shot at rim (assist by E. Turner),2,25-20,,
2:11.0,,,25-20,,Shooting foul by T. Zeller (drawn by J. Hill)
2:11.0,Boston full timeout,,25-20,,
2:11.0,B. Bass enters the game for T. Zeller,,25-20,,
2:11.0,,,25-21,1,J. Hill makes free throw 1 of 2
2:11.0,,,25-22,1,J. Hill makes free throw 2 of 2
1:56.0,I. Thomas makes 2-pt shot from 17 ft,2,27-22,,
1:46.0,,,27-22,,Turnover by W. Johnson (traveling)
1:34.0,Shooting foul by R. Price (drawn by B. Bass),,27-22,,
1:34.0,B. Bass misses free throw 1 of 2,,27-22,,
1:34.0,Offensive rebound by Team,,27-22,,
1:34.0,J. Young enters the game for E. Turner,,27-22,,
1:34.0,B. Bass makes free throw 2 of 2,1,28-22,,
1:14.0,,,28-22,,Turnover by R. Price (bad pass; steal by A. Bradley)
0:53.0,I. Thomas misses 3-pt shot from 27 ft,,28-22,,
0:51.0,Offensive rebound by Team,,28-22,,
0:40.0,,,28-22,,Personal foul by R. Price (drawn by I. Thomas)
0:40.0,I. Thomas misses free throw 1 of 2,,28-22,,
0:40.0,Offensive rebound by Team,,28-22,,
0:40.0,I. Thomas makes free throw 2 of 2,1,29-22,,
0:32.0,,,29-24,2,N. Young makes 2-pt shot from 20 ft (assist by R. Price)
0:20.0,I. Thomas makes 3-pt shot from 26 ft,3,32-24,,
0:02.0,,,32-24,,J. Hill misses 2-pt shot from 11 ft
0:01.0,,,32-24,,Offensive rebound by W. Johnson
0:01.0,,,32-26,2,W. Johnson makes 2-pt shot from 2 ft
